Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-07-20,2018-08-03,LONG,Breakout,0.660833,0.671623,184083.51,1986.19,1.99,14,1000.0,20.25,3.68,Target
2018-08-03,2018-08-27,LONG,Breakout,0.669906,0.663873,171174.23,-1032.7,-1.01,24,1019.86,18.83,3.42,Stop
2019-07-16,2019-08-05,LONG,Breakout,0.652001,0.646776,196026.21,-1024.24,-1.01,20,1009.53,21.56,3.92,Stop
2020-01-14,2020-01-29,SHORT,Breakout,0.656926,0.662545,180251.61,-1012.81,-1.01,15,999.29,19.83,3.61,Stop
2020-01-29,2020-01-30,SHORT,Breakout,0.658822,0.664399,179796.03,-1002.65,-1.01,1,989.16,19.78,3.6,Stop
2020-02-06,2020-02-10,LONG,Breakout,0.674315,0.668111,159743.07,-991.12,-1.01,4,979.14,17.57,3.19,Stop
2020-02-10,2020-03-12,LONG,Breakout,0.668872,0.662964,166157.17,-981.69,-1.01,31,969.23,18.28,3.32,Stop
2020-07-02,2020-07-06,SHORT,Breakout,0.695043,0.702137,136687.64,-969.66,-1.01,4,959.41,15.04,2.73,Stop
2020-07-06,2020-07-07,SHORT,Breakout,0.695156,0.702558,129615.06,-959.43,-1.01,1,949.71,14.26,2.59,Stop
2020-07-07,2020-07-27,SHORT,Breakout,0.703098,0.688988,132548.63,1870.3,1.99,20,940.12,14.58,2.65,Target
2020-09-04,2020-09-16,SHORT,Breakout,0.669859,0.658341,165414.69,1905.24,1.99,12,958.82,18.2,3.31,Target
2020-09-16,2020-09-17,SHORT,Breakout,0.658471,0.664551,162846.07,-990.09,-1.01,1,977.87,17.91,3.26,Stop
2020-09-17,2020-09-18,SHORT,Breakout,0.663338,0.669796,151653.31,-979.35,-1.01,1,967.97,16.68,3.03,Stop
2020-09-18,2020-10-05,SHORT,Breakout,0.669461,0.656427,146186.36,1905.4,1.99,17,958.18,16.08,2.92,Target
2020-10-05,2020-10-09,SHORT,Breakout,0.657386,0.647385,193989.42,1939.92,1.99,4,977.23,21.34,3.88,Target
2020-10-09,2020-10-15,SHORT,Breakout,0.650871,0.655011,245181.11,-1015.02,-1.02,6,996.63,26.97,4.9,Stop
2020-10-15,2020-10-22,SHORT,Breakout,0.65051,0.655443,203075.8,-1001.71,-1.02,7,986.48,22.34,4.06,Stop
2020-10-22,2020-11-05,SHORT,Breakout,0.654391,0.644398,193985.65,1938.38,1.99,14,976.47,21.34,3.88,Target
2021-01-12,2021-03-23,SHORT,Breakout,0.639967,0.64483,208000.12,-1011.45,-1.02,70,995.85,22.88,4.16,Stop
2021-06-17,2021-06-18,LONG,Breakout,0.676638,0.670464,161622.66,-997.86,-1.01,1,985.74,17.78,3.23,Stop
2021-06-18,2021-06-22,LONG,Breakout,0.670778,0.665181,176682.27,-989.01,-1.01,4,975.76,19.44,3.53,Stop
