Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-06-19,2018-07-12,SHORT,MeanReversion,0.645769,0.651171,187718.91,-1014.08,-1.01,23,1000.0,20.65,3.75,Stop
2018-07-16,2018-07-20,SHORT,MeanReversion,0.656282,0.661492,192760.04,-1004.32,-1.01,4,989.86,21.2,3.86,Stop
2018-07-20,2018-07-26,SHORT,MeanReversion,0.660683,0.666191,180367.98,-993.34,-1.01,6,979.82,19.84,3.61,Stop
2018-07-26,2018-07-27,SHORT,MeanReversion,0.661846,0.667476,174592.61,-982.98,-1.01,1,969.88,19.21,3.49,Stop
2018-07-27,2018-08-03,SHORT,MeanReversion,0.666369,0.672112,169360.34,-972.75,-1.01,7,960.05,18.63,3.39,Stop
2018-08-03,2018-08-08,SHORT,MeanReversion,0.669756,0.675789,159503.16,-962.29,-1.01,5,950.33,17.55,3.19,Stop
2018-08-08,2018-08-13,SHORT,MeanReversion,0.673678,0.679078,176670.47,-953.95,-1.01,5,940.7,19.43,3.53,Stop
2018-08-13,2018-08-20,SHORT,MeanReversion,0.674912,0.680771,160999.47,-943.24,-1.01,7,931.16,17.71,3.22,Stop
2018-08-20,2018-08-27,SHORT,MeanReversion,0.678781,0.666634,150837.04,1832.15,1.99,7,921.73,16.59,3.02,Target
2018-10-09,2018-10-10,LONG,MeanReversion,0.647572,0.642439,185857.8,-953.99,-1.01,1,940.05,20.44,3.72,Stop
2018-10-10,2018-10-12,LONG,MeanReversion,0.644041,0.638956,185733.48,-944.44,-1.01,2,930.51,20.43,3.71,Stop
2018-10-12,2018-10-15,LONG,MeanReversion,0.643226,0.637742,170278.87,-933.84,-1.01,3,921.07,18.73,3.41,Stop
2018-10-15,2018-10-22,LONG,MeanReversion,0.637092,0.648308,161507.08,1811.35,1.99,7,911.73,17.77,3.23,Target
2018-10-22,2018-11-06,LONG,MeanReversion,0.647239,0.659207,154430.98,1848.1,1.99,15,929.84,16.99,3.09,Target
2019-07-18,2019-08-13,SHORT,MeanReversion,0.656119,0.645894,184143.64,1882.84,1.99,26,948.32,20.26,3.68,Target
2020-07-29,2020-09-01,LONG,MeanReversion,0.684479,0.678936,176890.9,-980.42,-1.01,34,967.15,19.46,3.54,Stop
2021-04-05,2021-04-16,SHORT,MeanReversion,0.652875,0.657692,201859.88,-972.49,-1.02,11,957.35,22.2,4.04,Stop
2021-04-16,2021-05-03,SHORT,MeanReversion,0.656353,0.646897,198850.09,1880.33,1.98,17,947.62,21.87,3.98,Target
2021-08-09,2021-08-17,LONG,MeanReversion,0.648149,0.657237,210937.44,1917.03,1.98,8,966.43,23.2,4.22,Target
2022-10-03,2022-10-14,SHORT,MeanReversion,0.681987,0.687121,194833.23,-1000.21,-1.01,11,985.6,21.43,3.9,Stop
2022-10-14,2022-10-17,SHORT,MeanReversion,0.682169,0.687691,179098.56,-989.03,-1.01,3,975.59,19.7,3.58,Stop
2022-10-17,2022-11-01,SHORT,MeanReversion,0.687484,0.693454,163820.44,-977.99,-1.01,15,965.7,18.02,3.28,Stop
2022-11-01,2022-11-02,SHORT,MeanReversion,0.690068,0.695955,164484.73,-968.26,-1.01,1,955.92,18.09,3.29,Stop
2022-11-02,2022-11-24,SHORT,MeanReversion,0.695587,0.701296,167930.58,-958.84,-1.01,22,946.24,18.47,3.36,Stop
2024-05-15,2024-05-16,LONG,MeanReversion,0.736652,0.731523,185323.29,-950.55,-1.01,1,936.65,20.39,3.71,Stop
2024-05-16,2024-05-17,LONG,MeanReversion,0.736532,0.731031,170883.64,-939.96,-1.01,1,927.15,18.8,3.42,Stop
2024-05-17,2024-06-05,LONG,MeanReversion,0.730316,0.724876,171039.95,-930.58,-1.01,19,917.75,18.81,3.42,Stop
2024-08-16,2024-08-22,SHORT,MeanReversion,0.739672,0.729291,173769.69,1803.85,1.99,6,908.44,19.11,3.48,Target
