Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-04-05,2018-04-23,SHORT,Trend,0.635979,0.642594,152902.63,-1011.47,-1.01,18,1000.0,16.82,3.06,Stop
2018-04-23,2018-05-01,SHORT,Trend,0.640826,0.644659,263435.8,-1009.64,-1.02,8,989.89,28.98,5.27,Stop
2018-05-25,2018-06-08,SHORT,Trend,0.62646,0.631468,198638.66,-994.69,-1.02,14,979.79,21.85,3.97,Stop
2018-06-08,2018-06-11,SHORT,Trend,0.628599,0.634019,181472.29,-983.45,-1.01,3,969.84,19.96,3.63,Stop
2018-08-16,2018-08-23,LONG,Trend,0.676976,0.6708,157344.07,-971.81,-1.01,7,960.01,17.31,3.15,Stop
2018-08-23,2018-08-27,LONG,Trend,0.673673,0.667385,152954.51,-961.76,-1.01,4,950.29,16.82,3.06,Stop
2018-08-27,2018-08-28,LONG,Trend,0.668493,0.661342,132937.69,-950.64,-1.01,1,940.67,14.62,2.66,Stop
2018-10-19,2018-10-25,SHORT,Trend,0.646249,0.652492,150972.78,-942.49,-1.01,6,931.17,16.61,3.02,Stop
2018-10-25,2018-10-26,SHORT,Trend,0.650101,0.656301,150490.66,-933.03,-1.01,1,921.74,16.55,3.01,Stop
2019-02-06,2019-02-13,LONG,Trend,0.665836,0.660383,169659.68,-925.13,-1.01,7,912.41,18.66,3.39,Stop
2019-02-13,2019-02-18,LONG,Trend,0.66261,0.65663,152948.6,-914.63,-1.01,5,903.16,16.82,3.06,Stop
2019-03-08,2019-03-11,SHORT,Trend,0.64267,0.649064,141478.03,-904.62,-1.01,3,894.01,15.56,2.83,Stop
2019-03-11,2019-03-26,SHORT,Trend,0.649361,0.637684,150606.93,1758.64,1.99,15,884.97,16.57,3.01,Target
2019-03-26,2019-07-12,SHORT,Trend,0.642738,0.648977,146427.76,-913.53,-1.01,108,902.55,16.11,2.93,Stop
2019-10-10,2019-11-07,LONG,Trend,0.658504,0.669377,163202.17,1774.59,1.99,28,893.42,17.95,3.26,Target
2019-11-07,2019-11-08,LONG,Trend,0.669332,0.66483,205812.67,-926.6,-1.02,1,911.16,22.64,4.12,Stop
