Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-07-12,2018-08-02,LONG,Breakout,165.271082,167.302691,3025.33,6146.29,6.15,21,1000.0,0.33,0.04,Target
2018-08-02,2018-08-15,LONG,Breakout,167.179818,169.144402,3174.61,6236.8,5.88,13,1061.46,0.34,0.04,Target
2018-08-15,2018-08-23,LONG,Breakout,168.865339,171.057861,3327.59,7295.82,6.49,8,1123.83,0.35,0.04,Target
2018-08-23,2018-08-29,LONG,Breakout,170.907852,173.155748,3501.27,7870.49,6.58,6,1196.79,0.37,0.04,Target
2018-08-29,2018-09-10,LONG,Breakout,172.216027,170.841136,3703.18,-5091.47,-3.99,12,1275.49,0.39,0.04,Stop
2018-09-10,2018-09-12,LONG,Breakout,171.33751,170.141864,3573.59,-4272.74,-3.49,2,1224.58,0.38,0.04,Stop
2019-06-03,2019-06-06,SHORT,Breakout,166.702416,167.902852,3544.8,-4255.3,-3.6,3,1181.85,0.38,0.04,Stop
2019-06-06,2019-06-07,SHORT,Breakout,166.748255,167.868164,3416.22,-3825.86,-3.36,1,1139.3,0.37,0.04,Stop
2019-06-07,2019-06-12,SHORT,Breakout,167.82705,168.940416,3280.28,-3652.15,-3.32,5,1101.04,0.35,0.04,Stop
2019-07-02,2019-07-05,SHORT,Breakout,166.096589,167.254261,3204.52,-3709.78,-3.48,3,1064.52,0.35,0.04,Stop
2019-07-05,2019-07-10,SHORT,Breakout,166.992842,168.160515,3076.24,-3592.04,-3.5,5,1027.42,0.33,0.04,Stop
2019-07-10,2019-07-12,SHORT,Breakout,167.543096,168.67153,2958.94,-3338.97,-3.37,2,991.5,0.32,0.04,Stop
2019-11-22,2019-12-11,LONG,Breakout,178.24099,176.755891,2687.68,-3991.48,-4.17,19,958.11,0.27,0.03,Stop
2019-12-11,2019-12-25,LONG,Breakout,177.460448,176.332449,2587.04,-2918.18,-3.18,14,918.2,0.26,0.03,Stop
2020-01-16,2020-01-21,SHORT,Breakout,173.266527,174.440979,2565.45,-3013.0,-3.39,5,889.01,0.27,0.03,Stop
2020-01-21,2020-02-03,SHORT,Breakout,173.997301,175.145781,2468.1,-2834.56,-3.3,13,858.88,0.26,0.03,Stop
2020-11-25,2020-12-03,LONG,Breakout,169.601434,168.412435,2448.5,-2911.26,-3.51,8,830.54,0.26,0.03,Stop
2020-12-03,2020-12-07,LONG,Breakout,168.909874,167.747723,2372.35,-2757.03,-3.44,4,801.43,0.25,0.03,Stop
2020-12-15,2020-12-25,SHORT,Breakout,165.500857,166.94358,2337.92,-3372.97,-4.36,10,773.86,0.25,0.03,Stop
2020-12-25,2021-01-22,SHORT,Breakout,166.097286,163.300481,2227.99,6231.25,8.42,28,740.13,0.24,0.03,Target
2021-09-16,2021-09-27,LONG,Breakout,163.639816,162.362579,2451.84,-3131.58,-3.9,11,802.44,0.27,0.03,Stop
2021-09-27,2021-09-29,LONG,Breakout,163.134834,162.034428,2363.45,-2600.76,-3.37,2,771.12,0.26,0.03,Stop
2023-01-06,2023-01-19,LONG,Breakout,173.036007,171.760145,2153.06,-2747.01,-3.69,13,745.12,0.22,0.02,Stop
2023-01-19,2023-01-25,LONG,Breakout,172.055105,174.280233,2085.51,4640.52,6.47,6,717.64,0.22,0.02,Target
2023-06-12,2023-06-26,LONG,Breakout,177.137337,179.830939,2156.66,5809.19,7.6,14,764.05,0.22,0.02,Target
2023-06-26,2023-06-30,LONG,Breakout,179.744414,178.480106,2286.98,-2891.44,-3.52,4,822.14,0.23,0.03,Stop
2023-06-30,2023-08-17,LONG,Breakout,178.939737,177.653104,2216.47,-2851.78,-3.6,48,793.23,0.22,0.02,Stop
2023-12-11,2023-12-13,LONG,Breakout,175.629207,174.317647,2177.06,-2855.34,-3.73,2,764.71,0.22,0.02,Stop
2023-12-13,2023-12-20,LONG,Breakout,174.742957,177.168063,2106.4,5108.24,6.94,7,736.16,0.22,0.02,Target
2023-12-20,2023-12-26,LONG,Breakout,176.518561,179.170462,2229.9,5913.48,7.51,6,787.24,0.23,0.03,Target
2023-12-26,2024-01-22,LONG,Breakout,178.459685,177.103712,2371.33,-3215.46,-3.8,27,846.37,0.24,0.03,Stop
2025-01-13,2025-01-17,SHORT,Breakout,169.664496,170.89963,2399.5,-2963.7,-3.64,4,814.22,0.25,0.03,Stop
2025-01-17,2025-01-20,SHORT,Breakout,170.051793,171.193941,2306.89,-2634.81,-3.36,3,784.58,0.24,0.03,Stop
2025-01-20,2025-01-21,SHORT,Breakout,170.743188,171.897944,2220.39,-2564.01,-3.38,1,758.23,0.23,0.03,Stop
2025-06-18,2025-07-09,LONG,Breakout,180.182517,178.672945,2032.92,-3068.84,-4.19,21,732.59,0.2,0.02,Stop
2026-03-16,2026-03-19,LONG,Breakout,188.835363,187.591796,1858.51,-2311.18,-3.29,3,701.91,0.18,0.02,Stop
2026-03-19,2026-03-20,LONG,Breakout,188.017449,186.66773,1805.13,-2436.42,-3.59,1,678.79,0.17,0.02,Stop
2026-03-20,2026-04-09,LONG,Breakout,187.632075,188.030873,1743.92,695.47,1.06,20,654.43,0.17,0.02,EndOfTest
