Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2020-07-22,2020-08-07,SHORT,MeanReversion,172.355876,170.090004,2900.97,6573.24,6.57,16,1000.0,0.3,0.03,Target
2020-11-27,2020-12-04,SHORT,MeanReversion,170.148027,167.79156,3131.78,7379.94,6.92,7,1065.73,0.33,0.04,Target
2022-06-28,2022-06-30,SHORT,MeanReversion,170.589967,171.711014,3339.97,-3744.27,-3.29,2,1139.53,0.35,0.04,Stop
2022-06-30,2022-07-01,SHORT,MeanReversion,171.282108,172.588855,3217.18,-4204.03,-3.81,1,1102.09,0.34,0.04,Stop
2022-07-01,2022-07-11,SHORT,MeanReversion,173.002884,170.469395,3063.67,7761.78,7.32,10,1060.05,0.32,0.04,Target
2022-07-11,2022-08-26,SHORT,MeanReversion,171.242433,168.831162,3321.8,8009.76,7.04,46,1137.67,0.35,0.04,Target
2022-08-30,2022-10-20,LONG,MeanReversion,168.166445,170.334933,3620.71,7851.47,6.45,51,1217.76,0.39,0.04,Target
2023-10-09,2023-10-18,LONG,MeanReversion,175.584897,174.459733,3691.32,-4153.34,-3.2,9,1296.28,0.38,0.04,Stop
2023-10-18,2023-10-30,LONG,MeanReversion,174.957609,173.775356,3585.86,-4239.39,-3.38,12,1254.75,0.37,0.04,Stop
2023-10-30,2023-10-31,LONG,MeanReversion,174.592761,173.470306,3471.94,-3897.1,-3.21,1,1212.35,0.36,0.04,Stop
2023-10-31,2023-11-02,LONG,MeanReversion,173.349136,172.227684,3384.44,-3795.49,-3.23,2,1173.38,0.35,0.04,Stop
2023-11-02,2023-11-03,LONG,MeanReversion,172.793395,171.657799,3285.5,-3731.0,-3.29,1,1135.43,0.34,0.04,Stop
2023-11-03,2023-11-29,LONG,MeanReversion,171.729003,174.116747,3197.23,7634.17,6.95,26,1098.12,0.34,0.04,Target
2024-07-17,2024-07-22,SHORT,MeanReversion,176.774947,177.951111,3321.9,-3907.1,-3.33,5,1174.46,0.34,0.04,Stop
2024-07-22,2024-07-23,SHORT,MeanReversion,177.761696,179.008461,3193.56,-3981.62,-3.51,1,1135.39,0.32,0.04,Stop
2024-07-23,2024-09-10,SHORT,MeanReversion,178.222497,179.483489,3073.6,-3875.79,-3.54,49,1095.57,0.31,0.03,Stop
2024-12-09,2024-12-27,LONG,MeanReversion,173.520339,172.407533,3045.21,-3388.73,-3.21,18,1056.81,0.32,0.04,Stop
2024-12-27,2024-12-30,LONG,MeanReversion,172.872501,171.77894,2958.61,-3235.42,-3.16,3,1022.93,0.31,0.03,Stop
2024-12-30,2025-01-09,LONG,MeanReversion,171.502066,170.410262,2887.93,-3153.05,-3.18,10,990.57,0.3,0.03,Stop
2025-01-09,2025-01-10,LONG,MeanReversion,171.335166,170.118017,2798.73,-3406.47,-3.55,1,959.04,0.29,0.03,Stop
2025-01-10,2025-01-15,LONG,MeanReversion,170.303146,169.039993,2715.67,-3430.31,-3.71,5,924.98,0.29,0.03,Stop
2025-01-15,2025-01-21,LONG,MeanReversion,169.300331,171.69892,2630.45,6309.37,7.08,6,890.67,0.28,0.03,Target
2025-04-10,2025-04-14,SHORT,MeanReversion,175.109978,172.943255,2723.34,5900.71,6.19,4,953.77,0.28,0.03,Target
2025-04-14,2025-04-29,SHORT,MeanReversion,174.664131,175.97244,2899.2,-3793.05,-3.75,15,1012.77,0.3,0.03,Stop
