Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-08-15,2018-08-23,LONG,Trend,168.865339,171.057861,2960.94,6491.92,6.49,8,1000.0,0.32,0.04,Target
2018-08-23,2018-08-29,LONG,Trend,170.907852,173.155748,3115.48,7003.27,6.58,6,1064.92,0.33,0.04,Target
2018-08-29,2018-09-10,LONG,Trend,172.216027,170.841136,3295.14,-4530.46,-3.99,12,1134.95,0.34,0.04,Stop
2018-09-10,2018-09-12,LONG,Trend,171.33751,170.141864,3179.83,-3801.95,-3.49,2,1089.65,0.33,0.04,Stop
2018-09-12,2018-09-14,LONG,Trend,171.294486,170.050039,3069.65,-3820.01,-3.63,2,1051.63,0.32,0.04,Stop
2018-09-14,2018-09-21,LONG,Trend,170.401978,169.31039,2973.64,-3245.99,-3.2,7,1013.43,0.31,0.03,Stop
2019-05-15,2019-05-16,LONG,Trend,170.831615,169.595806,2871.15,-3548.2,-3.62,1,980.97,0.3,0.03,Stop
2019-05-16,2019-05-21,LONG,Trend,170.304623,169.049272,2775.87,-3484.69,-3.69,5,945.49,0.29,0.03,Stop
2019-05-21,2019-05-30,LONG,Trend,169.292455,168.109367,2689.54,-3181.97,-3.49,9,910.64,0.29,0.03,Stop
2019-11-14,2019-11-21,LONG,Trend,175.399587,178.218985,2505.19,7063.13,8.04,7,878.82,0.26,0.03,Target
2019-11-21,2019-12-26,LONG,Trend,177.061725,175.571874,2681.13,-3994.48,-4.21,35,949.45,0.27,0.03,Stop
2020-06-26,2020-07-17,SHORT,Trend,169.599672,170.928144,2681.33,-3562.07,-3.92,21,909.51,0.28,0.03,Stop
2020-07-17,2020-07-20,SHORT,Trend,170.016988,171.023873,2569.99,-2587.69,-2.96,3,873.89,0.27,0.03,Stop
2020-09-07,2020-11-24,SHORT,Trend,168.158305,169.448096,2521.46,-3252.15,-3.84,78,848.01,0.27,0.03,Stop
2020-12-22,2020-12-25,SHORT,Trend,165.654174,167.025095,2461.41,-3374.4,-4.14,3,815.49,0.27,0.03,Stop
2020-12-25,2021-01-22,SHORT,Trend,166.097286,163.300481,2353.27,6581.63,8.42,28,781.74,0.26,0.03,Target
2021-01-22,2021-02-03,SHORT,Trend,164.279539,165.165855,2579.62,-2286.36,-2.7,12,847.56,0.28,0.03,Stop
2021-03-11,2021-03-15,SHORT,Trend,161.661115,162.826882,2550.69,-2973.51,-3.61,4,824.7,0.28,0.03,Stop
2021-03-15,2021-05-13,SHORT,Trend,162.41128,163.597002,2447.37,-2901.9,-3.65,59,794.96,0.27,0.03,Stop
2021-08-27,2021-09-09,SHORT,Trend,161.2908,162.488717,2374.41,-2844.35,-3.71,13,765.94,0.26,0.03,Stop
2021-09-09,2021-09-14,SHORT,Trend,161.802069,163.17718,2279.01,-3133.89,-4.25,5,737.5,0.25,0.03,Stop
2021-10-26,2021-10-29,SHORT,Trend,161.372446,162.452888,2187.98,-2363.98,-3.35,3,706.16,0.24,0.03,Stop
2021-10-29,2021-11-01,SHORT,Trend,161.6524,162.740973,2111.07,-2298.05,-3.37,3,682.52,0.24,0.03,Stop
2022-01-07,2022-02-24,LONG,Trend,165.394962,167.8075,1993.83,4810.19,7.29,48,659.54,0.22,0.02,Target
2022-03-15,2022-03-29,LONG,Trend,168.594417,170.714976,2098.65,4450.31,6.29,14,707.64,0.22,0.02,Target
2022-03-29,2022-03-31,LONG,Trend,170.163491,169.012591,2210.06,-2543.56,-3.38,2,752.14,0.23,0.03,Stop
2022-03-31,2022-04-01,LONG,Trend,169.805635,168.62396,2139.82,-2528.57,-3.48,1,726.71,0.23,0.03,Stop
2022-04-01,2022-04-22,LONG,Trend,168.769301,167.622582,2078.05,-2382.94,-3.4,21,701.42,0.22,0.02,Stop
2022-07-07,2022-07-12,LONG,Trend,171.196977,169.957951,1978.99,-2452.02,-3.62,5,677.59,0.21,0.02,Stop
2022-07-12,2022-08-22,LONG,Trend,170.520503,169.294234,1914.94,-2348.23,-3.6,41,653.07,0.2,0.02,Stop
2022-11-04,2022-11-21,LONG,Trend,171.34997,170.126011,1837.15,-2248.59,-3.57,17,629.59,0.19,0.02,Stop
2022-11-21,2022-11-22,LONG,Trend,171.093635,169.989187,1774.19,-1959.5,-3.23,1,607.1,0.19,0.02,Stop
2023-01-10,2023-01-20,LONG,Trend,172.76615,171.465641,1700.3,-2211.26,-3.76,10,587.51,0.18,0.02,Stop
2023-01-20,2023-01-25,LONG,Trend,171.62837,173.836069,1647.15,3636.42,6.43,5,565.4,0.17,0.02,Target
2023-01-25,2023-02-15,LONG,Trend,172.832481,171.603265,1740.88,-2139.92,-3.56,21,601.76,0.18,0.02,Stop
2023-04-21,2023-05-04,LONG,Trend,175.260606,174.106848,1655.71,-1910.29,-3.29,13,580.36,0.17,0.02,Stop
2023-05-04,2023-05-18,LONG,Trend,174.890091,173.51635,1604.6,-2204.31,-3.93,14,561.26,0.17,0.02,Stop
2023-06-09,2023-06-14,LONG,Trend,176.182504,178.910338,1530.28,4174.34,7.74,5,539.22,0.16,0.02,Target
2023-06-14,2023-10-05,LONG,Trend,178.118333,176.768711,1630.82,-2201.0,-3.79,113,580.96,0.16,0.02,Stop
2024-01-01,2024-01-22,LONG,Trend,178.687702,177.306294,1564.04,-2160.58,-3.87,21,558.95,0.16,0.02,Stop
2024-01-22,2024-01-23,LONG,Trend,178.200754,177.166063,1507.69,-1559.99,-2.9,1,537.34,0.15,0.02,Stop
2024-03-28,2024-04-02,LONG,Trend,179.742504,178.409928,1451.36,-1934.05,-3.71,5,521.74,0.15,0.02,Stop
2024-04-02,2024-04-15,LONG,Trend,178.630445,177.276613,1406.26,-1903.84,-3.79,13,502.4,0.14,0.02,Stop
2024-06-03,2024-07-03,SHORT,Trend,174.812459,172.265931,1382.52,3520.63,7.28,30,483.36,0.14,0.02,Target
2024-07-03,2024-07-04,SHORT,Trend,172.551821,173.657215,1502.65,-1661.02,-3.2,1,518.57,0.16,0.02,Stop
2024-07-04,2024-07-05,SHORT,Trend,173.108306,174.30622,1449.85,-1736.79,-3.46,1,501.96,0.15,0.02,Stop
2024-07-05,2024-07-09,SHORT,Trend,174.021727,175.178815,1392.33,-1611.05,-3.32,4,484.59,0.14,0.02,Stop
2025-02-06,2025-02-12,SHORT,Trend,170.453406,172.012164,1374.22,-2142.08,-4.57,6,468.48,0.15,0.02,Stop
2025-02-12,2025-03-06,SHORT,Trend,171.812072,173.344345,1301.02,-1993.52,-4.46,22,447.06,0.14,0.02,Stop
