Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-03-13,2018-04-19,SHORT,Breakout,1.090865,1.100287,106919.44,-1007.48,-1.01,37,1000.0,10.69,2.14,Stop
2018-07-11,2018-09-07,SHORT,Breakout,1.077641,1.089392,84749.11,-995.86,-1.01,58,989.93,8.47,1.69,Stop
2018-11-22,2018-12-05,SHORT,Breakout,1.075184,1.084368,107517.65,-987.49,-1.01,13,979.97,10.75,2.15,Stop
2018-12-05,2018-12-06,SHORT,Breakout,1.075153,1.083796,113153.16,-978.01,-1.01,1,970.09,11.32,2.26,Stop
2018-12-06,2018-12-19,SHORT,Breakout,1.083418,1.06849,128055.3,1911.66,1.99,13,960.31,12.81,2.56,Target
2019-05-13,2019-06-05,SHORT,Breakout,1.041269,1.023006,106848.81,1951.38,1.99,23,979.43,10.68,2.14,Target
2019-06-05,2019-06-18,SHORT,Breakout,1.02885,1.035566,150296.32,-1009.46,-1.01,13,998.94,15.03,3.01,Stop
2019-07-05,2019-07-12,LONG,Breakout,1.051215,1.043366,127110.84,-997.75,-1.01,7,988.85,12.71,2.54,Stop
2019-07-12,2019-07-22,LONG,Breakout,1.046394,1.038067,118553.13,-987.17,-1.01,10,978.87,11.86,2.37,Stop
2019-08-20,2019-08-28,LONG,Breakout,1.059471,1.050856,113392.56,-976.94,-1.01,8,969.0,11.34,2.27,Stop
2019-08-28,2019-09-18,LONG,Breakout,1.054524,1.073685,99761.28,1911.47,1.99,21,959.23,9.98,2.0,Target
2019-09-19,2019-10-11,LONG,Breakout,1.079445,1.097216,109668.69,1949.01,1.99,22,978.34,10.97,2.19,Target
2019-10-11,2019-10-15,LONG,Breakout,1.096155,1.088373,129381.08,-1006.89,-1.01,4,997.83,12.94,2.59,Stop
2019-10-15,2019-10-17,LONG,Breakout,1.090888,1.082781,122903.47,-996.37,-1.01,2,987.76,12.29,2.46,Stop
2020-03-09,2020-03-10,SHORT,Breakout,1.110573,1.119353,112260.46,-985.66,-1.01,1,977.8,11.23,2.25,Stop
2020-03-10,2020-03-11,SHORT,Breakout,1.112903,1.122129,105715.62,-975.34,-1.01,1,967.94,10.57,2.11,Stop
2020-03-11,2020-03-23,SHORT,Breakout,1.122979,1.103197,96535.79,1909.62,1.99,12,958.19,9.65,1.93,Target
2020-03-23,2020-04-02,SHORT,Breakout,1.104086,1.085679,105786.02,1947.17,1.99,10,977.29,10.58,2.12,Target
2020-04-02,2020-05-18,SHORT,Breakout,1.08903,1.069685,102678.52,1986.33,1.99,46,996.76,10.27,2.05,Target
2020-06-29,2020-07-15,LONG,Breakout,1.094403,1.083339,92470.22,-1023.1,-1.01,16,1016.62,9.25,1.85,Stop
2020-09-24,2020-09-25,LONG,Breakout,1.119232,1.108381,93350.88,-1012.93,-1.01,1,1006.39,9.34,1.87,Stop
2020-09-25,2020-10-12,LONG,Breakout,1.108095,1.096508,86506.03,-1002.32,-1.01,17,996.26,8.65,1.73,Stop
