Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2019-03-20,2019-03-22,LONG,MeanReversion,1.050143,1.064071,142879.76,1990.0,1.99,2,1000.0,14.29,2.86,Target
2020-06-23,2020-06-29,SHORT,MeanReversion,1.086846,1.096509,106327.91,-1027.34,-1.01,6,1019.9,10.63,2.13,Stop
2020-06-29,2020-07-03,SHORT,MeanReversion,1.094263,1.105327,91833.91,-1016.05,-1.01,4,1009.63,9.18,1.84,Stop
2020-07-03,2020-07-16,SHORT,MeanReversion,1.099429,1.075856,84544.76,1993.01,1.99,13,999.47,8.45,1.69,Target
2020-09-14,2020-09-22,SHORT,MeanReversion,1.101516,1.110331,116571.91,-1027.56,-1.01,8,1019.4,11.66,2.33,Stop
2020-09-22,2020-09-23,SHORT,MeanReversion,1.099518,1.109397,102873.84,-1016.32,-1.01,1,1009.12,10.29,2.06,Stop
2020-09-23,2020-11-17,SHORT,MeanReversion,1.112708,1.092995,100993.11,1990.85,1.99,55,998.96,10.1,2.02,Target
2020-11-20,2020-11-27,LONG,MeanReversion,1.078183,1.069155,113742.54,-1026.83,-1.01,7,1018.87,11.37,2.27,Stop
2020-11-27,2020-11-30,LONG,MeanReversion,1.075827,1.066975,114840.57,-1016.64,-1.01,3,1008.6,11.48,2.3,Stop
2020-11-30,2020-12-04,LONG,MeanReversion,1.066217,1.0571,110368.68,-1006.16,-1.01,4,998.43,11.04,2.21,Stop
2020-12-04,2020-12-28,LONG,MeanReversion,1.058931,1.07656,111682.4,1968.92,1.99,24,988.37,11.17,2.23,Target
2021-02-09,2021-02-10,SHORT,MeanReversion,1.106059,1.115914,103016.41,-1015.27,-1.01,1,1008.06,10.3,2.06,Stop
2021-02-10,2021-02-16,SHORT,MeanReversion,1.110592,1.120487,101566.77,-1005.02,-1.01,6,997.91,10.16,2.03,Stop
2021-02-16,2021-02-25,SHORT,MeanReversion,1.116183,1.097881,107538.02,1968.18,1.99,9,987.86,10.75,2.15,Target
2021-11-11,2021-12-10,LONG,MeanReversion,1.05229,1.066974,136584.49,2005.51,1.99,29,1007.54,13.66,2.73,Target
2023-01-25,2023-01-30,SHORT,MeanReversion,1.020714,1.029058,124189.34,-1036.29,-1.01,5,1027.59,12.42,2.48,Stop
2023-01-30,2023-02-13,SHORT,MeanReversion,1.025527,1.033353,131141.4,-1026.41,-1.01,14,1017.23,13.11,2.62,Stop
2023-02-13,2023-02-21,SHORT,MeanReversion,1.029248,1.013057,123852.88,2005.26,1.99,8,1006.97,12.39,2.48,Target
2023-06-08,2023-06-12,SHORT,MeanReversion,0.995128,1.002804,135031.12,-1036.47,-1.01,4,1027.02,13.5,2.7,Stop
2023-06-12,2023-06-14,SHORT,MeanReversion,0.999393,1.007396,128141.7,-1025.62,-1.01,2,1016.65,12.81,2.56,Stop
2023-06-14,2023-06-19,SHORT,MeanReversion,1.000928,1.009177,123054.74,-1015.01,-1.01,5,1006.4,12.31,2.46,Stop
2023-06-19,2023-07-24,SHORT,MeanReversion,1.004279,0.986232,109981.1,1984.8,1.99,35,996.25,11.0,2.2,Target
2023-07-25,2023-08-17,LONG,MeanReversion,0.980299,0.993718,150662.96,2021.64,1.99,23,1016.1,15.07,3.01,Target
2025-05-14,2025-05-30,SHORT,MeanReversion,0.891129,0.878887,168351.96,2060.84,1.99,16,1036.31,16.84,3.37,Target
2025-05-30,2025-06-06,SHORT,MeanReversion,0.883065,0.890928,135627.29,-1066.41,-1.01,7,1056.92,13.56,2.71,Stop
