Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-07-13,2018-07-30,SHORT,Trend,1.083469,1.061138,89282.19,1993.75,1.99,17,1000.0,8.93,1.79,Target
2018-07-30,2018-08-13,SHORT,Trend,1.065506,1.074034,120590.79,-1028.38,-1.01,14,1019.94,12.06,2.41,Stop
2018-08-13,2018-08-14,SHORT,Trend,1.068237,1.07698,116410.37,-1017.8,-1.01,1,1009.65,11.64,2.33,Stop
2019-01-01,2019-01-28,SHORT,Trend,1.058841,1.067705,113657.55,-1007.43,-1.01,27,999.48,11.37,2.27,Stop
2019-05-15,2019-06-05,SHORT,Trend,1.044658,1.025339,102057.98,1971.66,1.99,21,989.4,10.21,2.04,Target
2019-06-05,2019-06-18,SHORT,Trend,1.02885,1.035566,151827.37,-1019.75,-1.01,13,1009.12,15.18,3.04,Stop
2019-06-18,2019-06-25,SHORT,Trend,1.034278,1.041982,130846.23,-1008.08,-1.01,7,998.92,13.08,2.62,Stop
2019-06-25,2019-06-26,SHORT,Trend,1.035348,1.042509,139450.2,-998.6,-1.01,1,988.84,13.95,2.79,Stop
2019-11-18,2019-12-16,LONG,Trend,1.092062,1.111552,100087.1,1950.7,1.99,28,978.85,10.01,2.0,Target
2019-12-18,2020-01-13,LONG,Trend,1.104334,1.121868,113426.32,1988.78,1.99,26,998.36,11.34,2.27,Target
2020-01-13,2020-02-03,LONG,Trend,1.115348,1.13366,110788.17,2028.74,1.99,21,1018.25,11.08,2.22,Target
2020-02-03,2020-02-19,LONG,Trend,1.132195,1.123758,124118.5,-1047.22,-1.01,16,1038.54,12.41,2.48,Stop
2020-02-19,2020-03-02,LONG,Trend,1.129252,1.119265,103673.28,-1035.32,-1.01,12,1028.06,10.37,2.07,Stop
2020-09-24,2020-09-25,LONG,Trend,1.119232,1.108381,94400.83,-1024.32,-1.01,1,1017.71,9.44,1.89,Stop
2020-09-25,2020-10-12,LONG,Trend,1.108095,1.096508,87478.99,-1013.59,-1.01,17,1007.47,8.75,1.75,Stop
2020-10-22,2020-10-29,LONG,Trend,1.111627,1.101175,96059.23,-1004.06,-1.01,7,997.33,9.61,1.92,Stop
2020-10-29,2020-11-16,LONG,Trend,1.106571,1.096763,101384.25,-994.39,-1.01,18,987.29,10.14,2.03,Stop
2021-02-19,2021-02-26,LONG,Trend,1.103168,1.093406,100840.93,-984.41,-1.01,7,977.35,10.08,2.02,Stop
2021-02-26,2021-03-02,LONG,Trend,1.097656,1.086424,86681.51,-973.57,-1.01,4,967.5,8.67,1.73,Stop
2021-05-28,2021-06-07,SHORT,Trend,1.041558,1.021796,96586.6,1908.77,1.99,10,957.77,9.66,1.93,Target
2021-06-07,2021-06-16,SHORT,Trend,1.028855,1.039199,95080.88,-983.51,-1.01,9,976.85,9.51,1.9,Stop
2021-06-16,2021-06-17,SHORT,Trend,1.037805,1.046317,114557.76,-975.04,-1.01,1,967.02,11.46,2.29,Stop
2021-09-29,2021-10-20,LONG,Trend,1.075877,1.067012,108847.84,-964.89,-1.01,21,957.27,10.88,2.18,Stop
2021-11-24,2021-11-26,SHORT,Trend,1.050584,1.059054,112808.62,-955.52,-1.01,2,947.62,11.28,2.26,Stop
2021-11-26,2021-12-10,SHORT,Trend,1.055135,1.064766,98114.51,-944.93,-1.01,14,938.07,9.81,1.96,Stop
2022-03-08,2022-03-09,LONG,Trend,1.076507,1.06661,94502.23,-935.23,-1.01,1,928.62,9.45,1.89,Stop
2022-03-09,2022-03-16,LONG,Trend,1.068769,1.058719,92110.03,-925.71,-1.01,7,919.26,9.21,1.84,Stop
2022-04-18,2022-05-09,SHORT,Trend,1.041402,1.050264,103510.11,-917.25,-1.01,21,910.01,10.35,2.07,Stop
2022-05-09,2022-05-10,SHORT,Trend,1.043008,1.050122,127886.25,-909.79,-1.01,1,900.83,12.79,2.56,Stop
2022-08-05,2022-08-16,SHORT,Trend,1.039989,1.023367,106843.35,1775.99,1.99,11,891.74,10.68,2.14,Target
2022-08-16,2022-08-24,SHORT,Trend,1.028797,1.011548,105031.71,1811.64,1.99,8,909.5,10.5,2.1,Target
2022-08-24,2022-09-13,SHORT,Trend,1.012917,0.998458,127691.88,1846.29,1.99,20,927.61,12.77,2.55,Target
2022-09-13,2022-09-19,SHORT,Trend,1.001283,0.986991,131749.26,1882.93,1.99,6,946.08,13.17,2.63,Target
2022-09-19,2022-09-23,SHORT,Trend,0.988639,0.995893,134320.58,-974.31,-1.01,4,964.9,13.43,2.69,Stop
2022-09-23,2022-09-29,SHORT,Trend,0.993146,1.001479,115591.59,-963.25,-1.01,6,955.16,11.56,2.31,Stop
2022-09-29,2022-10-04,SHORT,Trend,0.998925,1.007143,116045.05,-953.65,-1.01,5,945.53,11.6,2.32,Stop
2022-10-04,2022-10-05,SHORT,Trend,1.001844,1.010719,106296.11,-943.43,-1.01,1,935.99,10.63,2.13,Stop
2022-10-18,2022-11-04,SHORT,Trend,0.987883,0.96828,94194.9,1846.52,1.99,17,926.56,9.42,1.88,Target
2022-11-04,2022-11-10,SHORT,Trend,0.970128,0.977804,124250.31,-953.72,-1.01,6,945.02,12.43,2.49,Stop
2022-11-10,2022-11-11,SHORT,Trend,0.974398,0.982474,116848.26,-943.67,-1.01,1,935.49,11.68,2.34,Stop
2022-11-11,2022-11-14,SHORT,Trend,0.979817,0.988174,111753.16,-933.87,-1.01,3,926.05,11.18,2.24,Stop
2022-11-14,2022-11-18,SHORT,Trend,0.983499,0.992182,106432.43,-924.16,-1.01,4,916.71,10.64,2.13,Stop
2023-04-27,2023-05-04,SHORT,Trend,0.982983,0.967686,118104.61,1806.67,1.99,7,907.47,11.81,2.36,Target
2023-05-04,2023-05-29,SHORT,Trend,0.971824,0.979716,118323.26,-933.82,-1.01,25,925.54,11.83,2.37,Stop
2023-05-29,2023-05-31,SHORT,Trend,0.975632,0.9813,163669.19,-927.65,-1.01,2,916.2,16.37,3.27,Stop
2023-12-14,2024-01-01,LONG,Trend,1.02082,1.012587,111105.09,-914.7,-1.01,18,906.92,11.11,2.22,Stop
2024-01-01,2024-01-03,LONG,Trend,1.014729,1.007077,118406.88,-906.06,-1.01,2,897.77,11.84,2.37,Stop
2024-01-23,2024-01-24,LONG,Trend,1.01361,1.028496,118843.57,1769.11,1.99,1,888.71,11.88,2.38,Target
2024-01-24,2024-02-19,LONG,Trend,1.015838,1.007077,104299.33,-913.71,-1.01,26,906.4,10.43,2.09,Stop
2024-05-13,2024-05-20,SHORT,Trend,0.972325,0.980925,105194.66,-904.63,-1.01,7,897.27,10.52,2.1,Stop
2024-05-20,2024-06-10,SHORT,Trend,0.975354,0.983821,105776.93,-895.63,-1.01,21,888.22,10.58,2.12,Stop
2024-06-10,2024-06-18,SHORT,Trend,0.979723,0.986635,128499.97,-888.26,-1.01,8,879.27,12.85,2.57,Stop
2024-07-04,2024-07-15,SHORT,Trend,0.970304,0.9546,110350.84,1733.04,1.99,11,870.38,11.04,2.21,Target
2024-07-15,2024-07-29,SHORT,Trend,0.957331,0.965758,106225.18,-895.15,-1.01,14,887.71,10.62,2.12,Stop
2024-08-08,2024-08-19,SHORT,Trend,0.941509,0.950196,101983.66,-885.9,-1.01,11,878.76,10.2,2.04,Stop
2024-08-19,2024-08-20,SHORT,Trend,0.946664,0.954265,115516.93,-877.99,-1.01,1,869.9,11.55,2.31,Stop
2024-09-26,2024-10-04,SHORT,Trend,0.929366,0.914686,116764.64,1714.07,1.99,8,861.12,11.68,2.34,Target
2024-10-04,2024-10-29,SHORT,Trend,0.916637,0.901414,114861.63,1748.49,1.99,25,878.26,11.49,2.3,Target
2024-10-29,2024-11-08,SHORT,Trend,0.902179,0.887168,118793.36,1783.18,1.99,10,895.75,11.88,2.38,Target
2024-11-08,2024-11-13,SHORT,Trend,0.888053,0.894916,134478.86,-922.99,-1.01,5,913.58,13.45,2.69,Stop
2024-11-13,2024-11-22,SHORT,Trend,0.890949,0.898258,124923.93,-913.09,-1.01,9,904.35,12.49,2.5,Stop
2024-11-22,2024-11-25,SHORT,Trend,0.896053,0.901559,164700.68,-906.75,-1.01,3,895.22,16.47,3.29,Stop
