Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-06-25,2018-07-03,SHORT,Breakout,1.220536,1.231269,93957.6,-1008.46,-1.01,8,1000.0,13.15,1.88,Stop
2018-07-03,2018-07-04,SHORT,Breakout,1.228266,1.239064,92442.05,-998.24,-1.01,1,989.92,12.94,1.85,Stop
2019-04-09,2019-04-22,LONG,Breakout,1.31324,1.304085,108095.68,-989.66,-1.01,13,979.93,15.13,2.16,Stop
2019-05-03,2019-05-27,SHORT,Breakout,1.267751,1.242635,76966.22,1933.15,1.99,24,970.04,10.78,1.54,Target
2019-05-27,2019-07-19,SHORT,Breakout,1.250977,1.259561,116480.79,-999.85,-1.01,53,989.37,16.31,2.33,Stop
2019-12-09,2019-12-10,LONG,Breakout,1.257239,1.246423,91301.89,-987.59,-1.01,1,979.37,12.78,1.83,Stop
2019-12-10,2019-12-13,LONG,Breakout,1.248489,1.237542,89298.78,-977.53,-1.01,3,969.49,12.5,1.79,Stop
2019-12-13,2019-12-18,LONG,Breakout,1.240037,1.229112,88578.22,-967.69,-1.01,5,959.72,12.4,1.77,Stop
2020-01-31,2020-02-04,LONG,Breakout,1.24413,1.233219,87798.06,-957.94,-1.01,4,950.04,12.29,1.76,Stop
2020-02-04,2020-02-05,LONG,Breakout,1.249222,1.236399,73862.46,-947.11,-1.01,1,940.46,10.34,1.48,Stop
2020-02-05,2020-02-07,LONG,Breakout,1.234193,1.220439,68133.47,-937.12,-1.01,2,930.99,9.54,1.36,Stop
2020-08-14,2020-08-19,LONG,Breakout,1.243218,1.265975,80680.27,1835.98,1.99,5,921.62,11.3,1.61,Target
2020-08-19,2020-09-07,LONG,Breakout,1.264226,1.289028,75524.11,1873.16,1.99,19,939.98,10.57,1.51,Target
2020-09-07,2020-09-15,LONG,Breakout,1.287632,1.276859,89747.73,-966.79,-1.01,8,958.71,12.56,1.79,Stop
2020-09-15,2020-09-24,LONG,Breakout,1.282584,1.302615,94336.88,1889.6,1.99,9,949.04,13.21,1.89,Target
2020-09-24,2020-09-30,LONG,Breakout,1.300385,1.28994,93475.16,-976.35,-1.01,6,967.94,13.09,1.87,Stop
2020-09-30,2020-10-08,LONG,Breakout,1.295938,1.28419,82190.66,-965.57,-1.01,8,958.18,11.51,1.64,Stop
2021-01-12,2021-01-13,LONG,Breakout,1.307271,1.296437,88284.24,-956.47,-1.01,1,948.52,12.36,1.77,Stop
2021-01-13,2021-02-09,LONG,Breakout,1.294042,1.28327,87900.83,-946.87,-1.01,27,938.96,12.31,1.76,Stop
2021-09-22,2021-10-05,SHORT,Breakout,1.285544,1.296674,84192.74,-937.06,-1.01,13,929.49,11.79,1.68,Stop
2021-10-05,2021-10-06,SHORT,Breakout,1.2883,1.300685,74834.39,-926.85,-1.01,1,920.12,10.48,1.5,Stop
2022-01-03,2022-01-07,LONG,Breakout,1.359406,1.383231,76173.63,1814.84,1.99,4,910.85,10.66,1.52,Target
2022-01-07,2022-01-14,LONG,Breakout,1.379068,1.366959,77291.43,-935.95,-1.01,7,929.0,10.82,1.55,Stop
2022-01-14,2022-01-28,LONG,Breakout,1.371626,1.360397,82562.25,-927.07,-1.01,14,919.64,11.56,1.65,Stop
2022-07-11,2022-08-11,SHORT,Breakout,1.327902,1.301924,69847.54,1814.44,1.99,31,910.37,9.78,1.4,Target
2022-09-14,2022-09-26,SHORT,Breakout,1.273877,1.251445,82453.91,1849.6,1.99,12,928.51,11.54,1.65,Target
2022-09-26,2022-10-20,SHORT,Breakout,1.260406,1.236421,78670.45,1886.93,1.99,24,947.01,11.01,1.57,Target
2022-10-20,2022-10-27,SHORT,Breakout,1.238872,1.219456,99034.47,1922.84,1.99,7,965.88,13.86,1.98,Target
2022-10-27,2022-10-28,SHORT,Breakout,1.220335,1.231409,89688.14,-993.18,-1.01,1,985.1,12.56,1.79,Stop
2022-10-28,2022-12-13,SHORT,Breakout,1.226761,1.238404,84409.31,-982.77,-1.01,46,975.17,11.82,1.69,Stop
2023-03-09,2023-03-10,LONG,Breakout,1.202723,1.191718,88447.03,-973.3,-1.01,1,965.34,12.38,1.77,Stop
2023-03-10,2023-03-13,LONG,Breakout,1.198437,1.187528,88327.61,-963.56,-1.01,3,955.61,12.37,1.77,Stop
2023-03-13,2023-03-14,LONG,Breakout,1.187978,1.175434,75961.31,-952.81,-1.01,1,945.98,10.63,1.52,Stop
2023-04-18,2023-05-23,SHORT,Breakout,1.14682,1.158039,84147.45,-944.02,-1.01,35,936.45,11.78,1.68,Stop
2023-06-01,2023-06-08,LONG,Breakout,1.179917,1.169334,88351.13,-934.96,-1.01,7,927.01,12.37,1.77,Stop
2023-06-08,2023-06-09,LONG,Breakout,1.177411,1.167384,92350.91,-925.97,-1.01,1,917.66,12.93,1.85,Stop
2023-06-09,2023-06-21,LONG,Breakout,1.169686,1.190159,88354.82,1808.84,1.99,12,908.4,12.37,1.77,Target
2023-11-23,2023-11-27,SHORT,Breakout,1.190066,1.199282,101523.06,-935.62,-1.01,4,926.49,14.21,2.03,Stop
2023-11-27,2023-11-28,SHORT,Breakout,1.194389,1.203427,102492.61,-926.35,-1.01,1,917.13,14.35,2.05,Stop
2023-11-28,2023-11-30,SHORT,Breakout,1.198584,1.207823,99231.64,-916.8,-1.01,2,907.87,13.89,1.98,Stop
2024-05-24,2024-06-03,SHORT,Breakout,1.197216,1.208969,77055.78,-905.63,-1.01,10,898.7,10.79,1.54,Stop
2024-06-03,2024-06-28,SHORT,Breakout,1.207441,1.184254,76441.49,1772.4,1.99,25,889.64,10.7,1.53,Target
2024-09-02,2024-09-04,SHORT,Breakout,1.168128,1.179077,83560.76,-914.89,-1.01,2,907.37,11.7,1.67,Stop
2024-09-04,2024-09-05,SHORT,Breakout,1.174322,1.184606,88108.07,-906.15,-1.01,1,898.22,12.34,1.76,Stop
2024-09-05,2024-09-11,SHORT,Breakout,1.181582,1.191788,87903.28,-897.07,-1.01,6,889.16,12.31,1.76,Stop
2024-09-18,2024-10-09,LONG,Breakout,1.207756,1.197565,87139.97,-888.03,-1.01,21,880.19,12.2,1.74,Stop
2025-02-20,2025-03-06,SHORT,Breakout,1.147882,1.127381,84630.21,1734.99,1.99,14,871.31,11.85,1.69,Target
2025-03-06,2025-03-21,SHORT,Breakout,1.129023,1.111252,99510.82,1768.35,1.99,15,888.66,13.93,1.99,Target
2025-03-21,2025-03-26,SHORT,Breakout,1.112345,1.092184,89509.27,1804.62,1.99,5,906.34,12.53,1.79,Target
2025-03-26,2025-04-01,SHORT,Breakout,1.09543,1.07541,91929.52,1840.5,1.99,6,924.38,12.87,1.84,Target
2025-04-01,2025-04-09,SHORT,Breakout,1.076571,1.088079,82566.24,-950.22,-1.01,8,942.79,11.56,1.65,Stop
2025-04-09,2025-04-10,SHORT,Breakout,1.084029,1.09447,90169.85,-941.4,-1.01,1,933.29,12.62,1.8,Stop
2025-04-10,2025-04-18,SHORT,Breakout,1.090283,1.100927,87534.88,-931.75,-1.01,8,923.87,12.25,1.75,Stop
2025-10-20,2025-10-27,SHORT,Breakout,1.061045,1.070153,101424.21,-923.68,-1.01,7,914.56,14.2,2.03,Stop
2025-10-27,2025-11-17,SHORT,Breakout,1.06795,1.076647,105183.01,-914.79,-1.01,21,905.32,14.73,2.1,Stop
2025-11-21,2025-11-26,LONG,Breakout,1.085941,1.077111,102540.11,-905.4,-1.01,5,896.17,14.36,2.05,Stop
2025-11-26,2025-11-28,LONG,Breakout,1.081773,1.073326,106152.51,-896.67,-1.01,2,887.12,14.86,2.12,Stop
2025-11-28,2025-12-01,LONG,Breakout,1.080733,1.071649,97638.58,-886.94,-1.01,3,878.15,13.67,1.95,Stop
