Date,Open,High,Low,Close,Signal,Position,Units,Cash_Equity,Portfolio_Value,Stop_Price,Take_Profit,Action
2018-01-01,1.2770785257753272,1.2783540684485222,1.2758029831021322,1.2770785257753272,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-02,1.2770785257753272,1.2795194891938526,1.275636537851616,1.2780775012701413,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-03,1.2780775012701413,1.2782117822704555,1.2756677530690248,1.2758020340693392,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-04,1.2758020340693392,1.2776479628516229,1.2700833458313554,1.271929274613639,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-05,1.271929274613639,1.2743502372790805,1.26831093544025,1.2707318981056914,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-08,1.2707318981056914,1.2732072704612227,1.2692987104307805,1.2717740827863118,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-09,1.2717740827863118,1.274057025076257,1.2690561814075436,1.271339123697489,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-10,1.271339123697489,1.277359470394986,1.2699741064021837,1.2759944530996807,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-11,1.2759944530996807,1.2816378399657469,1.2744973736776266,1.2801407605436927,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-12,1.2801407605436927,1.280214020661744,1.2760096159998322,1.2760828761178835,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-15,1.2760828761178835,1.2772303296456675,1.2626355814815056,1.2637830350092898,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-16,1.2637830350092898,1.2692904878436355,1.2628885468321425,1.2683959996664884,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-17,1.2683959996664884,1.2694122278592057,1.262494889085888,1.263511117278605,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-18,1.263511117278605,1.267184330464999,1.261975244509018,1.265648457695412,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-19,1.265648457695412,1.2675494180538345,1.264088573024828,1.2659895333832507,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-22,1.2659895333832507,1.266637564805649,1.2650789125653528,1.265726943987751,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-23,1.265726943987751,1.269612909036264,1.2648085059531269,1.2686944710016397,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-24,1.2686944710016397,1.2689298295490252,1.2600860861653744,1.26032144471276,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-25,1.26032144471276,1.2705022108382535,1.258905312753183,1.2690860788786766,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-26,1.2690860788786766,1.2699756902939892,1.262112281124668,1.2630018925399804,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-29,1.2630018925399804,1.2636201651055932,1.2557297402202956,1.2563480127859084,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-30,1.2563480127859084,1.2580885661872885,1.2542725212465788,1.2560130746479587,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-31,1.2560130746479587,1.2570021895938934,1.252571873132299,1.2535609880782337,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-01,1.2535609880782337,1.2572531765046264,1.2525405052236729,1.2562326936500656,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-02,1.2562326936500656,1.259915127432874,1.2540552019645483,1.2577376357473566,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-05,1.2577376357473566,1.2590174727128658,1.2546411816866192,1.2559210186521284,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-06,1.2559210186521284,1.2594549994962203,1.2548447211644456,1.2583787020085375,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-07,1.2583787020085375,1.264628493663859,1.2564839418597389,1.26273373351506,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-08,1.26273373351506,1.2720278309436297,1.2614630878446913,1.2707571852732609,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-09,1.2707571852732609,1.273830143890932,1.2677395128939974,1.2708124715116689,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-12,1.2708124715116689,1.2733015289392104,1.2634050149557554,1.2658940723832972,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-13,1.2658940723832972,1.2675029546022798,1.2623038321685165,1.263912714387499,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-14,1.263912714387499,1.2652545773772244,1.2620766457538022,1.2634185087435277,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-15,1.2634185087435277,1.2751685344086798,1.2631744974951105,1.2749245231602628,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-16,1.2749245231602628,1.2764792903350308,1.2668262991317405,1.2683810663065085,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-19,1.2683810663065085,1.2700321281166345,1.2672690983731445,1.2689201601832705,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-20,1.2689201601832705,1.2701134081735543,1.261017104472895,1.2622103524631791,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-21,1.2622103524631791,1.2658845733920536,1.260911478025878,1.2645856989547526,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-22,1.2645856989547526,1.2695297318577827,1.264018824784977,1.2689628576880072,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-23,1.2689628576880072,1.2697277012761847,1.2680687987991397,1.2688336423873172,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-26,1.2688336423873172,1.2694203369019603,1.2683700723632445,1.2689567668778876,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-27,1.2689567668778876,1.2718954111719667,1.268798494287788,1.271737138581867,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-28,1.271737138581867,1.273368429794644,1.2630909513316824,1.2647222425444593,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-01,1.2647222425444593,1.2650654816447424,1.2569391437626434,1.2572823828629265,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-02,1.2572823828629265,1.2583301138185472,1.2516661523519073,1.252713883307528,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-05,1.252713883307528,1.2539679342682952,1.2457682044682514,1.247022255429019,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-06,1.247022255429019,1.2490713631331,1.2395200964765123,1.2415692041805937,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-07,1.2415692041805937,1.2424335996585625,1.2368283864604035,1.2376927819383725,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-08,1.2376927819383725,1.2440527542316449,1.2369667400401847,1.243326712333457,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-09,1.243326712333457,1.2489365643120285,1.2432979293464643,1.2489077813250358,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-12,1.2489077813250358,1.25357623823653,1.246497057651914,1.251165514563408,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-13,1.251165514563408,1.253090680288398,1.2417595558136552,1.2436847215386453,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-14,1.2436847215386453,1.245297170712797,1.2414654103945644,1.2430778595687162,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-15,1.2430778595687162,1.2456957065923575,1.2417801237093375,1.244397970732979,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-16,1.244397970732979,1.2505903058315624,1.2432441690222076,1.2494365041207909,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-19,1.2494365041207909,1.2511352977675572,1.248308086522662,1.2500068801694282,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-20,1.2500068801694282,1.2518575481640437,1.2459065373229816,1.247757205317597,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-21,1.247757205317597,1.2481955098151474,1.2419639721068874,1.2424022766044378,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-22,1.2424022766044378,1.2441532996372109,1.2357300742001704,1.2374810972329435,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-23,1.2374810972329435,1.23949608152651,1.232952020982844,1.2349670052764106,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-26,1.2349670052764106,1.2439250509782966,1.2335162758724838,1.24247432157437,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-27,1.24247432157437,1.247234704891438,1.2424114287932664,1.2471718121103346,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-28,1.2471718121103346,1.2495123715704022,1.2401190743015242,1.242459633761592,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-29,1.242459633761592,1.2458179043644997,1.241208267562608,1.2445665381655158,0,0,0.0,100000.0,100000.0,,,HOLD
2018-03-30,1.2445665381655158,1.2453246607958233,1.2397894772492053,1.2405475998795128,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-02,1.2405475998795128,1.2436009857367332,1.2386208548924706,1.241674240749691,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-03,1.241674240749691,1.2430052606682924,1.23511454583778,1.236445565756381,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-04,1.236445565756381,1.2374541161945487,1.2334454886975488,1.2344540391357162,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-05,1.2344540391357162,1.234966012709291,1.2338432960363657,1.2343552696099405,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-06,1.2343552696099405,1.2351094077661695,1.2325042207021892,1.2332583588584185,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-09,1.2332583588584185,1.2426158054588197,1.2319251657463075,1.241282612346709,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-10,1.241282612346709,1.248223575639777,1.2394317722754016,1.24637273556847,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-11,1.24637273556847,1.2472692437465804,1.24453826097073,1.2454347691488403,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-12,1.2454347691488403,1.251570694639272,1.2448738607763323,1.2510097862667635,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-13,1.2510097862667635,1.2518787903091857,1.2415079079894402,1.242376912031862,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-16,1.242376912031862,1.24349642102697,1.2404976079879475,1.2416171169830557,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-17,1.2416171169830557,1.2519166548982512,1.241482404109866,1.2517819420250615,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-18,1.2517819420250615,1.253067238162223,1.2510622254201218,1.2523475215572832,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-19,1.2523475215572832,1.2558365745028948,1.2501317097938205,1.253620762739432,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-20,1.253620762739432,1.2541488183066525,1.251291879472533,1.2518199350397532,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-23,1.2518199350397532,1.2581955101582631,1.2500087271137563,1.2563843022322665,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-24,1.2563843022322665,1.2594965364101354,1.255759168241278,1.258871402419147,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-25,1.258871402419147,1.2595817112637266,1.2539186079625877,1.2546289168071674,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-26,1.2546289168071674,1.2550836332571158,1.245925966994209,1.2463806834441575,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-27,1.2463806834441575,1.2538958741340436,1.2442740149965936,1.2517892056864797,0,0,0.0,100000.0,100000.0,,,HOLD
2018-04-30,1.2517892056864797,1.2523482066589438,1.246581955154716,1.2471409561271802,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-01,1.2471409561271802,1.2481320799400355,1.2397834544945692,1.2407745783074244,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-02,1.2407745783074244,1.244616330133681,1.239698046991136,1.2435397988173926,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-03,1.2435397988173926,1.2449822837882047,1.241498877066714,1.2429413620375265,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-04,1.2429413620375265,1.248972245480365,1.2419064785983154,1.247937362041154,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-07,1.247937362041154,1.2550835577115325,1.246510804339738,1.2536570000101164,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-08,1.2536570000101164,1.2543022367521937,1.2487906766960513,1.2494359134381283,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-09,1.2494359134381283,1.2505979735452173,1.2469147565607084,1.2480768166677971,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-10,1.2480768166677971,1.2576135535890052,1.2458998692074692,1.2554366061286772,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-11,1.2554366061286772,1.259768891010163,1.2550053208984464,1.259337605779932,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-14,1.259337605779932,1.2610314045647737,1.259075811737501,1.2607696105223425,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-15,1.2607696105223425,1.261983598004805,1.259305692470274,1.2605196799527367,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-16,1.2605196799527367,1.2628403297985875,1.259629296009194,1.261949945855045,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-17,1.261949945855045,1.2711193689029068,1.2603242928184084,1.2694937158662702,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-18,1.2694937158662702,1.2714629570211513,1.2598056578981731,1.2617748990530544,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-21,1.2617748990530544,1.2639661256877113,1.2605248766674138,1.2627161033020706,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-22,1.2627161033020706,1.2658732220538875,1.2614439408933913,1.2646010596452082,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-23,1.2646010596452082,1.2729870262417722,1.263244623542526,1.27163059013909,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-24,1.27163059013909,1.2719808377301005,1.270013280498287,1.270363528089298,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-25,1.270363528089298,1.2704308399114277,1.2699075831648567,1.2699748949869865,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-28,1.2699748949869865,1.2715724588965305,1.2662073352669905,1.2678048991765345,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-29,1.2678048991765345,1.270600255074272,1.2650988675683954,1.2678942234661332,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-30,1.2678942234661332,1.26919124301373,1.260756114584644,1.2620531341322407,0,0,0.0,100000.0,100000.0,,,HOLD
2018-05-31,1.2620531341322407,1.2654924317215304,1.259976085080885,1.2634153826701746,0,0,0.0,100000.0,100000.0,,,HOLD
2018-06-01,1.2634153826701746,1.265372712773775,1.2589786477363862,1.260935977839987,0,0,0.0,100000.0,100000.0,,,HOLD
2018-06-04,1.260935977839987,1.2617865907516643,1.2528494195533193,1.2537000324649972,0,0,0.0,100000.0,100000.0,,,HOLD
2018-06-05,1.2537000324649972,1.2582191953561703,1.2521879383899572,1.2567071012811304,0,0,0.0,100000.0,100000.0,,,HOLD
2018-06-06,1.2567071012811304,1.257621234557445,1.2539249789605464,1.254839112236861,0,0,0.0,100000.0,100000.0,,,HOLD
2018-06-07,1.254839112236861,1.2548699699781785,1.2489718154521388,1.2490026731934565,0,0,0.0,100000.0,100000.0,,,HOLD
2018-06-08,1.2490026731934565,1.2506490509714692,1.2375514185522127,1.2391977963302256,0,0,0.0,100000.0,100000.0,,,HOLD
2018-06-11,1.2391977963302256,1.24050878922867,1.2336365158752618,1.2349475087737063,0,0,0.0,100000.0,100000.0,,,HOLD
2018-06-12,1.2349475087737063,1.2452952127224626,1.2334308745738984,1.2437785785226547,1,1,103588.67,100000.0,100905.48,1.225384,1.254345,BUY
2018-06-13,1.2437785785226547,1.2446914087291945,1.240392190539675,1.2413050207462146,1,1,103588.67,100000.0,100649.24,1.225384,1.254345,HOLD
2018-06-14,1.2413050207462146,1.2440861551758824,1.239498304014556,1.2422794384442235,1,1,103588.67,100000.0,100750.18,1.225384,1.254345,HOLD
2018-06-15,1.2422794384442235,1.2438516439880176,1.233422463685854,1.2349946692296478,1,1,103588.67,100000.0,99995.56,1.225384,1.254345,HOLD
2018-06-18,1.2349946692296478,1.2359513831594693,1.225143381044817,1.226100094974638,1,1,86454.57,98990.68,98213.92,1.223635,1.257985,BUY
2018-06-19,1.226100094974638,1.2272218287190433,1.225401706173678,1.226523439918083,1,1,86454.57,98990.68,98250.52,1.223635,1.257985,HOLD
2018-06-20,1.226523439918083,1.2314299002276194,1.22545340546187,1.2303598657714063,1,1,86454.57,98990.68,98582.2,1.223635,1.257985,HOLD
2018-06-21,1.2303598657714063,1.231673305079391,1.2234509171057777,1.2247643564137625,1,1,89194.29,97992.99,97485.87,1.219463,1.252423,BUY
2018-06-22,1.2247643564137625,1.2263244808410445,1.2190661649983972,1.220626289425679,1,1,89764.72,97005.03,96625.5,1.214048,1.246468,BUY
2018-06-25,1.220626289425679,1.221995188488973,1.2174898235289435,1.2188587225922378,1,1,89764.72,97005.03,96466.84,1.214048,1.246468,HOLD
2018-06-26,1.2188587225922378,1.2257836636396675,1.2183630078189422,1.2252879488663722,1,1,89764.72,97005.03,97043.95,1.214048,1.246468,HOLD
2018-06-27,1.2252879488663722,1.2255504393966612,1.2180131456023242,1.2182756361326132,1,1,89764.72,97005.03,96414.49,1.214048,1.246468,HOLD
2018-06-28,1.2182756361326132,1.2262201154185075,1.216438177076124,1.2243826563620186,1,1,89764.72,97005.03,96962.69,1.214048,1.246468,HOLD
2018-06-29,1.2243826563620186,1.2258218325154884,1.223175990681777,1.2246151668352467,1,1,89764.72,97005.03,96983.56,1.214048,1.246468,HOLD
2018-07-02,1.2246151668352467,1.2300530336176143,1.222918006825207,1.2283558736075748,1,1,89764.72,97005.03,97319.34,1.214048,1.246468,HOLD
2018-07-03,1.2283558736075748,1.239581757842895,1.2277642602690408,1.238990144504361,1,1,89764.72,97005.03,98273.93,1.214048,1.246468,HOLD
2018-07-04,1.238990144504361,1.2408134863277582,1.236068274935354,1.2378916167587513,0,1,89764.72,97005.03,98175.32,1.214048,1.246468,HOLD
2018-07-05,1.2378916167587513,1.2417347653448718,1.2368544754026731,1.240697623988794,0,1,89764.72,97005.03,98427.2,1.214048,1.246468,HOLD
2018-07-06,1.240697623988794,1.242157301824089,1.2326471475961294,1.2341068254314245,0,1,89764.72,97005.03,97835.58,1.214048,1.246468,HOLD
2018-07-09,1.2341068254314245,1.2384736289861706,1.2337889411789194,1.2381557447336655,0,1,89764.72,97005.03,98199.03,1.214048,1.246468,HOLD
2018-07-10,1.2381557447336655,1.2395536639230949,1.235891407698084,1.2372893268875134,0,1,89764.72,97005.03,98121.25,1.214048,1.246468,HOLD
2018-07-11,1.2372893268875134,1.239864527874706,1.2330365013998188,1.2356117023870117,0,1,89764.72,97005.03,97970.66,1.214048,1.246468,HOLD
2018-07-12,1.2356117023870117,1.237191800459024,1.2342301548523915,1.2358102529244042,0,1,89764.72,97005.03,97988.48,1.214048,1.246468,HOLD
2018-07-13,1.2358102529244042,1.2367607203403594,1.2329612791079343,1.2339117465238896,0,1,89764.72,97005.03,97818.07,1.214048,1.246468,HOLD
2018-07-16,1.2339117465238896,1.2409122848836471,1.232125969092928,1.2391265074526856,0,1,89764.72,97005.03,98286.17,1.214048,1.246468,HOLD
2018-07-17,1.2391265074526856,1.249566736085178,1.2378696295634506,1.2483098581959429,0,0,0.0,98937.05,98937.05,,,TARGET
2018-07-18,1.2483098581959429,1.2637687521471423,1.2463314555323188,1.2617903494835183,0,0,0.0,98937.05,98937.05,,,HOLD
2018-07-19,1.2617903494835183,1.2646496531202316,1.2606565798381986,1.2635158834749118,0,0,0.0,98937.05,98937.05,,,HOLD
2018-07-20,1.2635158834749118,1.2650037778351446,1.2631357151592095,1.2646236095194423,0,0,0.0,98937.05,98937.05,,,HOLD
2018-07-23,1.2646236095194423,1.2680555758506162,1.263006950721382,1.2664389170525556,0,0,0.0,98937.05,98937.05,,,HOLD
2018-07-24,1.2664389170525556,1.2671761554841787,1.2641357309176555,1.2648729693492788,0,0,0.0,98937.05,98937.05,,,HOLD
2018-07-25,1.2648729693492788,1.273827214570186,1.263814223283809,1.2727684685047165,0,0,0.0,98937.05,98937.05,,,HOLD
2018-07-26,1.2727684685047165,1.2735628390388574,1.2704019722573798,1.271196342791521,0,0,0.0,98937.05,98937.05,,,HOLD
2018-07-27,1.271196342791521,1.274443311648391,1.2705158814723232,1.2737628503291931,0,0,0.0,98937.05,98937.05,,,HOLD
2018-07-30,1.2737628503291931,1.2748604778558597,1.2712803965927089,1.2723780241193752,0,0,0.0,98937.05,98937.05,,,HOLD
2018-07-31,1.2723780241193752,1.2739606879258825,1.2558461539059642,1.2574288177124715,0,0,0.0,98937.05,98937.05,,,HOLD
2018-08-01,1.2574288177124715,1.263687202506367,1.25647371790362,1.2627321026975156,0,0,0.0,98937.05,98937.05,,,HOLD
2018-08-02,1.2627321026975156,1.2653986651895233,1.2608746894925853,1.263541251984593,0,0,0.0,98937.05,98937.05,,,HOLD
2018-08-03,1.263541251984593,1.2723166031106172,1.262966721774993,1.2717420729010172,0,0,0.0,98937.05,98937.05,,,HOLD
2018-08-06,1.2717420729010172,1.2729703702354418,1.2697611759659244,1.270989473300349,0,0,0.0,98937.05,98937.05,,,HOLD
