Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-06-12,2018-06-18,LONG,MeanReversion,1.235038,1.225294,103588.67,-1009.32,-1.01,6,1000.0,14.5,2.07,Stop
2018-06-18,2018-06-21,LONG,MeanReversion,1.235085,1.223545,86454.57,-997.69,-1.01,3,989.91,12.1,1.73,Stop
2018-06-21,2018-06-22,LONG,MeanReversion,1.23045,1.219373,89194.29,-987.96,-1.01,1,979.93,12.49,1.78,Stop
2018-06-22,2018-07-17,LONG,MeanReversion,1.224854,1.246378,89764.72,1932.02,1.99,25,970.05,12.57,1.8,Target
2021-01-11,2021-02-09,SHORT,MeanReversion,1.303748,1.283499,97291.04,1969.98,1.99,29,989.37,13.62,1.95,Target
2021-06-09,2021-06-22,SHORT,MeanReversion,1.3036,1.313165,106501.12,-1018.66,-1.01,13,1009.07,14.91,2.13,Stop
2021-06-22,2021-06-23,SHORT,MeanReversion,1.307926,1.315828,127869.75,-1010.39,-1.01,1,998.88,17.9,2.56,Stop
2021-06-23,2021-07-05,SHORT,MeanReversion,1.314728,1.298106,118327.28,1966.91,1.99,12,988.78,16.57,2.37,Target
2023-08-31,2023-09-04,LONG,MeanReversion,1.175122,1.16595,111032.36,-1018.44,-1.01,4,1008.45,15.54,2.22,Stop
2023-09-04,2023-09-05,LONG,MeanReversion,1.168209,1.158985,109290.35,-1008.1,-1.01,1,998.26,15.3,2.19,Stop
2023-09-05,2023-09-18,LONG,MeanReversion,1.16403,1.183397,101578.01,1967.23,1.99,13,988.18,14.22,2.03,Target
2023-09-18,2023-09-21,LONG,MeanReversion,1.174913,1.194751,101149.94,2006.61,1.99,3,1007.86,14.16,2.02,Target
2023-10-24,2023-11-15,SHORT,MeanReversion,1.217644,1.200548,119623.19,2045.08,1.99,22,1027.92,16.75,2.39,Target
2024-03-07,2024-03-14,LONG,MeanReversion,1.19939,1.215305,131002.46,2084.96,1.99,7,1048.37,18.34,2.62,Target
2024-03-14,2024-03-20,LONG,MeanReversion,1.210499,1.226019,136985.0,2126.12,1.99,6,1069.22,19.18,2.74,Target
2024-10-15,2024-10-17,LONG,MeanReversion,1.182065,1.173912,135240.17,-1102.66,-1.01,2,1090.48,18.93,2.7,Stop
2024-10-17,2024-10-22,LONG,MeanReversion,1.177947,1.169997,137343.54,-1091.82,-1.01,5,1079.46,19.23,2.75,Stop
2024-10-22,2024-10-23,LONG,MeanReversion,1.171452,1.163574,137202.22,-1080.89,-1.01,1,1068.54,19.21,2.74,Stop
2024-10-23,2024-10-25,LONG,MeanReversion,1.169196,1.160763,126779.48,-1069.14,-1.01,2,1057.73,17.75,2.54,Stop
2024-10-25,2024-11-13,LONG,MeanReversion,1.163395,1.179624,128321.51,2082.53,1.99,19,1047.04,17.97,2.57,Target
2025-08-12,2025-08-21,LONG,MeanReversion,1.078174,1.092036,153075.34,2121.95,1.99,9,1067.86,21.43,3.06,Target
