Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-03-16,2018-04-19,SHORT,Trend,1.244308,1.254871,95482.32,-1008.59,-1.01,34,1000.0,13.37,1.91,Stop
2018-06-21,2018-07-05,SHORT,Trend,1.23027,1.241346,90103.06,-998.02,-1.01,14,989.91,12.61,1.8,Stop
2018-08-17,2018-09-10,LONG,Trend,1.276931,1.265325,85091.42,-987.59,-1.01,24,979.93,11.91,1.7,Stop
2018-09-10,2018-09-11,LONG,Trend,1.273813,1.261605,80051.77,-977.26,-1.01,1,970.06,11.21,1.6,Stop
2019-02-06,2019-02-28,LONG,Trend,1.290435,1.281219,105226.66,-969.76,-1.01,22,960.29,14.73,2.1,Stop
2019-03-22,2019-04-09,LONG,Trend,1.295755,1.316086,93096.88,1892.8,1.99,18,950.59,13.03,1.86,Target
2019-04-09,2019-04-22,LONG,Trend,1.31324,1.304085,106946.54,-979.14,-1.01,13,969.52,14.97,2.14,Stop
2019-04-22,2019-04-23,LONG,Trend,1.305642,1.292938,76083.94,-966.57,-1.01,1,959.72,10.65,1.52,Stop
2019-05-22,2019-07-19,SHORT,Trend,1.249231,1.259222,95950.38,-958.69,-1.01,58,950.06,13.43,1.92,Stop
2019-11-07,2019-11-13,SHORT,Trend,1.219519,1.230789,84119.66,-948.04,-1.01,6,940.47,11.78,1.68,Stop
2019-11-13,2019-11-15,SHORT,Trend,1.227157,1.237059,94886.59,-939.53,-1.01,2,930.99,13.28,1.9,Stop
2019-11-19,2019-12-04,SHORT,Trend,1.226256,1.235729,98212.89,-930.44,-1.01,15,921.6,13.75,1.96,Stop
2020-01-16,2020-01-20,SHORT,Trend,1.221431,1.231662,89965.54,-920.39,-1.01,4,912.29,12.6,1.8,Stop
2020-01-20,2020-01-29,SHORT,Trend,1.230344,1.241793,79507.95,-910.24,-1.01,9,903.09,11.13,1.59,Stop
2020-02-17,2020-03-18,SHORT,Trend,1.222568,1.23374,80668.5,-901.25,-1.01,30,893.99,11.29,1.61,Stop
2020-04-23,2020-05-07,SHORT,Trend,1.206775,1.218101,78767.94,-892.06,-1.01,14,884.97,11.03,1.58,Stop
2020-05-07,2020-06-16,SHORT,Trend,1.214155,1.223661,93041.66,-884.43,-1.01,40,876.05,13.03,1.86,Stop
2020-08-28,2020-09-04,LONG,Trend,1.26148,1.284379,75446.69,1727.63,1.99,7,867.21,10.56,1.51,Target
