Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,432.69,100000.0,0.0,HOLD
2018-01-02,100000.0,0,436.85,100000.0,0.0,HOLD
2018-01-03,100000.0,0,432.26,100000.0,0.0,HOLD
2018-01-04,100000.0,0,433.95,100000.0,0.0,HOLD
2018-01-05,100000.0,0,434.81,100000.0,0.0,HOLD
2018-01-08,100000.0,0,434.11,100000.0,0.0,HOLD
2018-01-09,100000.0,0,434.84,100000.0,0.0,HOLD
2018-01-10,100000.0,0,434.95,100000.0,0.0,HOLD
2018-01-11,100000.0,0,436.9,100000.0,0.0,HOLD
2018-01-12,100000.0,0,435.21,100000.0,0.0,HOLD
2018-01-15,100000.0,0,442.78,100000.0,0.0,HOLD
2018-01-16,100000.0,0,443.34,100000.0,0.0,HOLD
2018-01-17,100000.0,0,441.09,100000.0,0.0,HOLD
2018-01-18,100000.0,0,451.31,100000.0,0.0,HOLD
2018-01-19,100000.0,0,455.48,100000.0,0.0,HOLD
2018-01-22,100000.0,0,458.09,100000.0,0.0,HOLD
2018-01-23,100000.0,0,455.27,100000.0,0.0,HOLD
2018-01-24,100000.0,0,456.76,100000.0,0.0,HOLD
2018-01-25,100000.0,0,460.79,100000.0,0.0,HOLD
2018-01-29,100000.0,0,466.56,100000.0,0.0,HOLD
2018-01-30,5344.03,203,465.59,99858.18,1.0,BUY
2018-01-31,5344.03,203,467.97,100341.29,0.0,HOLD
2018-02-01,5344.03,203,464.57,99652.15,0.0,HOLD
2018-02-02,5344.03,203,454.5,97608.4,0.0,HOLD
2018-02-05,5344.03,203,446.54,95990.93,0.0,HOLD
2018-02-06,5344.03,203,442.56,95183.39,0.0,HOLD
2018-02-07,5344.03,203,436.96,94046.66,0.0,HOLD
2018-02-08,5344.03,203,438.86,94432.67,0.0,HOLD
2018-02-09,5344.03,203,431.52,92943.09,0.0,HOLD
2018-02-12,5344.03,203,437.86,94229.01,0.0,HOLD
2018-02-14,5344.03,203,439.37,94536.87,0.0,HOLD
2018-02-15,5344.03,203,439.08,94477.67,0.0,HOLD
2018-02-16,5344.03,203,438.31,94321.38,0.0,HOLD
2018-02-19,5344.03,203,438.22,94302.43,0.0,HOLD
2018-02-20,5344.03,203,434.72,93591.97,0.0,HOLD
2018-02-21,5344.03,203,433.37,93317.26,0.0,HOLD
2018-02-22,5344.03,203,432.39,93118.33,0.0,HOLD
2018-02-23,5344.03,203,438.77,94413.73,0.0,HOLD
2018-02-26,5344.03,203,446.0,95881.99,0.0,HOLD
2018-02-27,5344.03,203,443.9,95455.72,0.0,HOLD
2018-02-28,5344.03,203,439.62,94586.6,0.0,HOLD
2018-03-01,5344.03,203,437.32,94120.07,0.0,HOLD
2018-03-05,5344.03,203,436.29,93911.67,0.0,HOLD
2018-03-06,5344.03,203,430.76,92789.15,0.0,HOLD
2018-03-07,5344.03,203,427.58,92142.65,0.0,HOLD
2018-03-08,92970.17,0,432.3,92970.17,-1.0,SELL
2018-03-09,92970.17,0,431.88,92970.17,0.0,HOLD
2018-03-12,92970.17,0,435.66,92970.17,0.0,HOLD
2018-03-13,92970.17,0,434.03,92970.17,0.0,HOLD
2018-03-14,92970.17,0,435.02,92970.17,0.0,HOLD
2018-03-15,92970.17,0,438.83,92970.17,0.0,HOLD
2018-03-16,92970.17,0,432.34,92970.17,0.0,HOLD
2018-03-19,92970.17,0,431.0,92970.17,0.0,HOLD
2018-03-20,92970.17,0,429.19,92970.17,0.0,HOLD
2018-03-21,92970.17,0,433.72,92970.17,0.0,HOLD
2018-03-22,92970.17,0,435.78,92970.17,0.0,HOLD
2018-03-23,92970.17,0,429.67,92970.17,0.0,HOLD
2018-03-26,92970.17,0,441.78,92970.17,0.0,HOLD
2018-03-27,92970.17,0,441.58,92970.17,0.0,HOLD
2018-03-28,92970.17,0,440.06,92970.17,0.0,HOLD
2018-04-02,92970.17,0,450.58,92970.17,0.0,HOLD
2018-04-03,4776.13,197,447.01,92838.03,1.0,BUY
2018-04-04,4776.13,197,439.4,91337.32,0.0,HOLD
2018-04-05,4776.13,197,445.38,92516.29,0.0,HOLD
2018-04-06,4776.13,197,448.76,93182.77,0.0,HOLD
2018-04-09,4776.13,197,452.42,93902.1,0.0,HOLD
2018-04-10,4776.13,197,448.17,93065.56,0.0,HOLD
2018-04-11,4776.13,197,447.7,92973.63,0.0,HOLD
2018-04-12,4776.13,197,450.02,93430.97,0.0,HOLD
2018-04-13,4776.13,197,449.14,93256.31,0.0,HOLD
2018-04-16,4776.13,197,453.13,94042.29,0.0,HOLD
2018-04-17,4776.13,197,454.62,94336.45,0.0,HOLD
2018-04-18,4776.13,197,450.91,93605.63,0.0,HOLD
2018-04-19,4776.13,197,452.4,93899.8,0.0,HOLD
2018-04-20,4776.13,197,456.35,94676.58,0.0,HOLD
2018-04-23,4776.13,197,451.65,93750.42,0.0,HOLD
2018-04-24,4776.13,197,451.47,93715.94,0.0,HOLD
2018-04-25,4776.13,197,448.15,93060.96,0.0,HOLD
2018-04-26,4776.13,197,450.36,93497.62,0.0,HOLD
2018-04-27,4776.13,197,448.76,93182.77,0.0,HOLD
2018-04-30,4776.13,197,453.64,94143.41,0.0,HOLD
2018-05-02,4776.13,197,459.52,95301.69,0.0,HOLD
2018-05-03,4776.13,197,459.15,95228.15,1.0,HOLD
2018-05-04,4776.13,197,463.95,96175.0,1.0,HOLD
2018-05-07,4776.13,197,461.36,95664.81,1.0,HOLD
2018-05-08,4776.13,197,458.95,95189.09,0.0,HOLD
2018-05-09,4776.13,197,461.6,95710.78,0.0,HOLD
2018-05-10,4776.13,197,464.93,96368.04,0.0,HOLD
2018-05-11,4776.13,197,469.38,97243.66,0.0,HOLD
2018-05-14,4776.13,197,471.71,97703.29,1.0,HOLD
2018-05-15,4776.13,197,475.46,98441.02,1.0,HOLD
2018-05-16,4776.13,197,472.08,97776.84,1.0,HOLD
2018-05-17,4776.13,197,473.11,97979.09,0.0,HOLD
2018-05-18,4776.13,197,469.47,97262.04,0.0,HOLD
2018-05-21,4776.13,197,465.02,96384.13,0.0,HOLD
2018-05-22,4776.13,197,464.28,96239.35,0.0,HOLD
2018-05-23,4776.13,197,459.05,95209.76,0.0,HOLD
2018-05-24,4776.13,197,463.37,96060.09,0.0,HOLD
2018-05-25,4776.13,197,468.67,97103.46,0.0,HOLD
2018-05-28,4776.13,197,476.48,98643.25,0.0,HOLD
2018-05-29,4776.13,197,474.24,98202.01,0.0,HOLD
2018-05-30,4776.13,197,477.92,98925.95,0.0,HOLD
2018-05-31,4776.13,197,502.36,103741.32,0.0,HOLD
2018-06-01,4776.13,197,495.59,102406.79,1.0,HOLD
2018-06-04,4776.13,197,480.47,99427.83,1.0,HOLD
2018-06-05,4776.13,197,484.55,100232.71,0.0,HOLD
2018-06-06,4776.13,197,483.08,99943.6,0.0,HOLD
2018-06-07,4776.13,197,484.22,100167.94,0.0,HOLD
2018-06-08,4776.13,197,481.21,99573.54,0.0,HOLD
2018-06-11,4776.13,197,479.55,99247.43,0.0,HOLD
2018-06-12,4776.13,197,479.91,99319.13,0.0,HOLD
2018-06-13,4776.13,197,477.0,98745.53,0.0,HOLD
2018-06-14,4776.13,197,478.4,99020.75,0.0,HOLD
2018-06-15,4776.13,197,476.57,98659.95,0.0,HOLD
2018-06-18,4776.13,197,474.11,98176.56,0.0,HOLD
2018-06-19,4776.13,197,475.14,98377.78,0.0,HOLD
2018-06-20,4776.13,197,482.8,99888.08,0.0,HOLD
2018-06-21,4776.13,197,483.14,99955.17,0.0,HOLD
2018-06-22,4776.13,197,489.19,101146.29,0.0,HOLD
2018-06-25,4776.13,197,491.91,101682.87,0.0,HOLD
2018-06-26,4776.13,197,491.62,101625.04,0.0,HOLD
2018-06-27,4776.13,197,496.06,102499.3,0.0,HOLD
2018-06-28,4776.13,197,500.34,103343.51,0.0,HOLD
2018-06-29,4776.13,197,495.08,102307.34,1.0,HOLD
2018-07-02,4776.13,197,486.82,100679.09,0.0,HOLD
2018-07-03,4776.13,197,486.1,100538.01,0.0,HOLD
2018-07-04,4776.13,197,493.93,102080.68,0.0,HOLD
2018-07-05,4776.13,197,498.67,103015.08,0.0,HOLD
2018-07-06,4776.13,197,496.66,102617.26,0.0,HOLD
2018-07-09,4776.13,197,499.12,103102.96,0.0,HOLD
2018-07-10,4776.13,197,503.99,104062.8,0.0,HOLD
2018-07-11,4776.13,197,504.43,104148.38,0.0,HOLD
2018-07-12,4776.13,197,508.58,104967.13,0.0,HOLD
2018-07-13,4776.13,197,512.09,105658.68,0.0,HOLD
2018-07-16,4776.13,197,509.26,105101.29,0.0,HOLD
