Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-09-12,BUY,472.636041229248,201,95094.84413136593,4905.155868634072,94.99984428707886,47.47618405151367
2018-11-29,SELL,500.13884356689454,201,100427.37964938887,105332.53551802294,100.5279075569458,50.28909832763672
2019-07-24,BUY,539.1733826293945,185,99846.8228622244,5485.712655798532,99.74707578643799,49.848613586425785
2019-09-24,SELL,593.4875926208497,185,109685.40943022234,115171.12208602087,109.79520463485719,54.92506484985352
2020-03-05,BUY,545.5379524841309,200,109216.69808732299,5954.423998697879,109.10759049682618,54.52653198242188
2020-10-09,SELL,583.9021777648926,200,116663.65511742554,122618.07911612342,116.78043555297853,58.419427490234376
2021-11-29,BUY,714.4078066406249,163,116564.92095490427,6053.158161219151,116.44847248242186,58.195138671875
2022-04-05,SELL,764.5615587463379,163,124498.91054157742,130552.06870279658,124.62353407565308,62.34293850708008
2023-08-28,BUY,768.2523424072265,161,123812.31575469101,6739.752948105568,123.68862712756346,61.81340686035156
2023-12-05,SELL,789.8365126037598,161,127036.51485067613,133776.2677987817,127.16367852920534,63.61364608764649
2024-01-19,BUY,716.1022569580077,177,126876.84958104891,6899.418217732775,126.75009948156736,63.34337805175782
2024-04-05,SELL,753.7668489379884,177,133283.3155297619,140182.73374749467,133.41673226202394,66.74173699951172
2025-01-10,BUY,817.7358730773925,162,132605.6846499761,7577.049097518582,132.4732114385376,66.20350396728516
2025-03-25,SELL,898.1296289978028,162,145351.5028977464,152928.55199526498,145.49699989764403,72.78489239501953
2025-09-03,BUY,954.9272372131347,152,145294.08899645286,7634.462998812116,145.14894005639647,72.53820092773438
2025-10-20,SELL,1002.4485372009278,152,152219.8054768865,159854.26847569863,152.37217765454105,76.22420092773437
2026-01-08,BUY,947.1733622131347,160,151699.28569205565,8154.982783642976,151.54773795410156,75.73600097656251
