Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,298.06,100000.0,0.0,HOLD
2018-01-02,100000.0,0,297.48,100000.0,0.0,HOLD
2018-01-03,5153.63,313,302.57,99857.9,1.0,BUY
2018-01-04,5153.63,313,302.28,99767.7,0.0,HOLD
2018-01-05,5153.63,313,300.55,99226.55,0.0,HOLD
2018-01-08,5153.63,313,301.75,99602.34,0.0,HOLD
2018-01-09,5153.63,313,300.26,99136.36,0.0,HOLD
2018-01-10,5153.63,313,299.69,98955.96,0.0,HOLD
2018-01-11,5153.63,313,297.29,98204.33,0.0,HOLD
2018-01-12,5153.63,313,305.16,100669.65,1.0,HOLD
2018-01-15,5153.63,313,316.31,104157.19,0.0,HOLD
2018-01-16,105449.67,0,320.92,105449.67,-1.0,SELL
2018-01-17,105449.67,0,329.7,105449.67,-1.0,HOLD
2018-01-18,105449.67,0,332.49,105449.67,-1.0,HOLD
2018-01-19,105449.67,0,339.65,105449.67,-1.0,HOLD
2018-01-22,105449.67,0,337.63,105449.67,-1.0,HOLD
2018-01-23,105449.67,0,348.0,105449.67,-1.0,HOLD
2018-01-24,105449.67,0,338.83,105449.67,-1.0,HOLD
2018-01-25,105449.67,0,346.56,105449.67,-1.0,HOLD
2018-01-29,105449.67,0,343.54,105449.67,-1.0,HOLD
2018-01-30,105449.67,0,339.31,105449.67,-1.0,HOLD
2018-01-31,105449.67,0,339.02,105449.67,0.0,HOLD
2018-02-01,105449.67,0,332.54,105449.67,0.0,HOLD
2018-02-02,105449.67,0,321.88,105449.67,0.0,HOLD
2018-02-05,105449.67,0,316.69,105449.67,0.0,HOLD
2018-02-06,105449.67,0,317.65,105449.67,0.0,HOLD
2018-02-07,105449.67,0,319.43,105449.67,0.0,HOLD
2018-02-08,105449.67,0,320.68,105449.67,0.0,HOLD
2018-02-09,105449.67,0,313.86,105449.67,0.0,HOLD
2018-02-12,105449.67,0,313.38,105449.67,0.0,HOLD
2018-02-14,105449.67,0,306.36,105449.67,0.0,HOLD
2018-02-15,105449.67,0,315.68,105449.67,0.0,HOLD
2018-02-16,105449.67,0,308.38,105449.67,0.0,HOLD
2018-02-19,105449.67,0,307.13,105449.67,0.0,HOLD
2018-02-20,105449.67,0,304.73,105449.67,0.0,HOLD
2018-02-21,105449.67,0,306.6,105449.67,0.0,HOLD
2018-02-22,105449.67,0,305.79,105449.67,0.0,HOLD
2018-02-23,105449.67,0,310.01,105449.67,0.0,HOLD
2018-02-26,105449.67,0,314.14,105449.67,0.0,HOLD
2018-02-27,105449.67,0,309.44,105449.67,0.0,HOLD
2018-02-28,105449.67,0,300.89,105449.67,0.0,HOLD
2018-03-01,105449.67,0,292.92,105449.67,0.0,HOLD
2018-03-05,105449.67,0,291.38,105449.67,0.0,HOLD
2018-03-06,105449.67,0,283.41,105449.67,0.0,HOLD
2018-03-07,5334.42,363,275.39,105299.67,1.0,BUY
2018-03-08,5334.42,363,285.23,108873.58,1.0,HOLD
2018-03-09,5334.42,363,281.15,107391.72,0.0,HOLD
2018-03-12,5334.42,363,288.79,110163.67,0.0,HOLD
2018-03-13,5334.42,363,292.34,111453.78,0.0,HOLD
2018-03-14,5334.42,363,293.97,112046.51,0.0,HOLD
2018-03-15,5334.42,363,289.55,110442.63,0.0,HOLD
2018-03-16,5334.42,363,286.34,109274.56,0.0,HOLD
2018-03-19,5334.42,363,282.93,108036.75,0.0,HOLD
2018-03-20,5334.42,363,280.48,107147.64,0.0,HOLD
2018-03-21,5334.42,363,277.79,106171.36,0.0,HOLD
2018-03-22,5334.42,363,272.07,104096.74,0.0,HOLD
2018-03-23,5334.42,363,264.68,101411.93,0.0,HOLD
2018-03-26,5334.42,363,270.54,103538.86,1.0,HOLD
2018-03-27,5334.42,363,272.7,104323.37,0.0,HOLD
2018-03-28,5334.42,363,267.37,102388.22,0.0,HOLD
2018-04-02,5334.42,363,251.52,96635.08,0.0,HOLD
2018-04-03,5334.42,363,259.39,99494.21,1.0,HOLD
2018-04-04,5334.42,363,258.05,99006.06,0.0,HOLD
2018-04-05,5334.42,363,267.65,102492.82,0.0,HOLD
2018-04-06,5334.42,363,269.58,103190.18,0.0,HOLD
2018-04-09,5334.42,363,269.77,103259.93,0.0,HOLD
2018-04-10,5334.42,363,277.4,106031.86,0.0,HOLD
2018-04-11,5334.42,363,273.32,104550.01,0.0,HOLD
2018-04-12,5334.42,363,275.43,105317.1,0.0,HOLD
2018-04-13,5334.42,363,276.88,105840.1,0.0,HOLD
2018-04-16,5334.42,363,276.25,105613.47,0.0,HOLD
2018-04-17,5334.42,363,280.24,107060.47,0.0,HOLD
2018-04-18,5334.42,363,278.6,106467.72,0.0,HOLD
2018-04-19,5334.42,363,278.17,106310.82,0.0,HOLD
2018-04-20,5334.42,363,271.02,103713.18,0.0,HOLD
2018-04-23,5334.42,363,268.37,102754.32,0.0,HOLD
2018-04-24,5334.42,363,272.89,104393.09,0.0,HOLD
2018-04-25,5334.42,363,267.89,102579.98,0.0,HOLD
2018-04-26,5334.42,363,267.85,102562.57,0.0,HOLD
2018-04-27,5334.42,363,276.54,105718.06,0.0,HOLD
2018-04-30,5334.42,363,272.98,104427.97,0.0,HOLD
2018-05-02,5334.42,363,265.97,101882.65,0.0,HOLD
2018-05-03,5334.42,363,270.78,103626.02,0.0,HOLD
2018-05-04,5334.42,363,271.69,103957.26,0.0,HOLD
2018-05-07,5334.42,363,278.36,106380.55,0.0,HOLD
2018-05-08,5334.42,363,297.09,113179.71,0.0,HOLD
2018-05-09,5334.42,363,294.69,112308.03,0.0,HOLD
2018-05-10,5334.42,363,294.74,112325.48,0.0,HOLD
2018-05-11,5334.42,363,298.68,113755.03,0.0,HOLD
2018-05-14,5334.42,363,297.86,113458.67,0.0,HOLD
2018-05-15,5334.42,363,296.09,112813.62,0.0,HOLD
2018-05-16,5334.42,363,285.52,108978.18,0.0,HOLD
2018-05-17,5334.42,363,284.32,108542.35,0.0,HOLD
2018-05-18,5334.42,363,274.81,105090.45,0.0,HOLD
2018-05-21,5334.42,363,277.88,106206.21,0.0,HOLD
2018-05-22,5334.42,363,278.84,106554.88,0.0,HOLD
2018-05-23,5334.42,363,280.53,107165.08,0.0,HOLD
2018-05-24,5334.42,363,285.95,109135.08,0.0,HOLD
2018-05-25,5334.42,363,283.98,108420.3,0.0,HOLD
2018-05-28,5334.42,363,287.44,109675.54,0.0,HOLD
2018-05-29,5334.42,363,278.46,106415.43,0.0,HOLD
2018-05-30,5334.42,363,273.66,104672.04,0.0,HOLD
2018-05-31,5334.42,363,274.52,104985.85,0.0,HOLD
2018-06-01,5334.42,363,277.88,106206.21,0.0,HOLD
2018-06-04,5334.42,363,275.43,105317.1,0.0,HOLD
2018-06-05,5334.42,363,272.89,104393.09,0.0,HOLD
2018-06-06,5334.42,363,272.7,104323.37,0.0,HOLD
2018-06-07,5334.42,363,279.42,106764.1,0.0,HOLD
2018-06-08,5334.42,363,276.88,105840.1,0.0,HOLD
2018-06-11,5334.42,363,275.1,105195.07,0.0,HOLD
2018-06-12,5334.42,363,276.06,105543.72,0.0,HOLD
2018-06-13,5334.42,363,279.28,106711.81,0.0,HOLD
2018-06-14,5334.42,363,273.51,104619.73,0.0,HOLD
2018-06-15,5334.42,363,271.35,103835.22,0.0,HOLD
2018-06-18,5334.42,363,281.44,107496.31,0.0,HOLD
2018-06-19,5334.42,363,281.25,107426.57,0.0,HOLD
2018-06-20,5334.42,363,281.63,107566.04,0.0,HOLD
2018-06-21,5334.42,363,286.19,109222.26,0.0,HOLD
2018-06-22,5334.42,363,288.79,110163.67,0.0,HOLD
2018-06-25,5334.42,363,278.27,106345.68,0.0,HOLD
2018-06-26,5334.42,363,276.73,105787.81,0.0,HOLD
2018-06-27,5334.42,363,268.04,102632.28,0.0,HOLD
2018-06-28,5334.42,363,260.69,99964.94,0.0,HOLD
2018-06-29,5334.42,363,264.53,101359.63,0.0,HOLD
2018-07-02,5334.42,363,266.45,102056.98,0.0,HOLD
2018-07-03,5334.42,363,262.13,100487.93,0.0,HOLD
2018-07-04,5334.42,363,262.47,100609.98,0.0,HOLD
2018-07-05,5334.42,363,260.83,100017.23,0.0,HOLD
2018-07-06,5334.42,363,259.39,99494.21,0.0,HOLD
2018-07-09,5334.42,363,260.5,99895.19,0.0,HOLD
2018-07-10,5334.42,363,262.61,100662.29,0.0,HOLD
2018-07-11,5334.42,363,258.14,99040.93,0.0,HOLD
2018-07-12,5334.42,363,261.55,100278.74,0.0,HOLD
2018-07-13,5334.42,363,257.18,98692.25,0.0,HOLD
2018-07-16,5334.42,363,249.02,95728.52,0.0,HOLD
2018-07-17,5334.42,363,255.94,98238.99,0.0,HOLD
2018-07-18,5334.42,363,252.33,96931.46,0.0,HOLD
2018-07-19,5334.42,363,250.89,96408.43,0.0,HOLD
2018-07-20,5334.42,363,255.31,98012.34,0.0,HOLD
2018-07-23,5334.42,363,264.68,101411.93,0.0,HOLD
2018-07-24,5334.42,363,263.52,100993.5,0.0,HOLD
2018-07-25,5334.42,363,263.81,101098.11,0.0,HOLD
2018-07-26,5334.42,363,274.38,104933.54,0.0,HOLD
2018-07-27,5334.42,363,281.63,107566.04,0.0,HOLD
2018-07-30,5334.42,363,295.22,112499.82,0.0,HOLD
2018-07-31,111259.85,0,292.24,111259.85,-1.0,SELL
2018-08-01,111259.85,0,287.49,111259.85,0.0,HOLD
2018-08-02,111259.85,0,286.77,111259.85,0.0,HOLD
