Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-10-24,BUY,535.1995949707031,177,94825.05863812425,5174.9413618757535,94.73032830981445,47.34149340820313
2019-11-28,SELL,602.7751828308105,177,106584.51615369241,111759.45751556817,106.69120736105347,53.37228982543945
2020-02-06,BUY,663.1273574523925,160,106206.47756957517,5552.979945992993,106.10037719238281,53.0236767578125
2020-03-23,SELL,452.1351169586182,160,72269.27709466552,77822.25704065851,72.3416187133789,36.18890380859375
2020-07-15,BUY,724.0893417663574,102,73930.96997302861,3891.2870676299062,73.85711286016844,36.91010137939453
2022-05-13,SELL,1349.8334126586915,102,137545.32508309535,141436.61215072527,137.68300809118654,68.87594201660157
2022-12-16,BUY,1396.7492951660156,96,134222.02026827342,7214.591882451845,134.08793233593752,67.0104609375
2023-04-10,SELL,1308.6364921264649,96,125503.47414089649,132718.06602334834,125.62910324414064,62.845974609375
2023-09-18,BUY,1387.2533386230468,90,124977.65327655028,7740.412746798058,124.85280047607422,62.39520263671875
2024-05-23,SELL,1385.5491884155274,90,124574.72753044007,132315.14027723813,124.69942695739746,62.38090393066406
2024-07-15,BUY,1640.1371636352537,76,124775.07486071554,7540.065416522586,124.65042443627928,62.29406518554688
2025-03-21,SELL,1546.0009048461916,76,117378.57269954226,124918.63811606485,117.49606876831056,58.77742309570313
2025-12-16,BUY,1593.6964744262693,74,118051.47264665145,6867.16546941339,117.93353910754392,58.93730090332031
2026-03-10,SELL,1294.9521755981445,74,95730.63453326844,102597.80000268183,95.8264609942627,47.93719909667969
