Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,415.24,100000.0,0.0,HOLD
2018-01-02,100000.0,0,413.7,100000.0,0.0,HOLD
2018-01-03,5073.26,231,410.32,99857.78,1.0,BUY
2018-01-04,5073.26,231,407.95,99310.22,1.0,HOLD
2018-01-05,5073.26,231,406.59,98994.68,1.0,HOLD
2018-01-08,5073.26,231,416.25,101226.71,1.0,HOLD
2018-01-09,5073.26,231,418.38,101718.58,0.0,HOLD
2018-01-10,5073.26,231,422.76,102730.18,0.0,HOLD
2018-01-11,5073.26,231,432.22,104915.81,0.0,HOLD
2018-01-12,5073.26,231,433.28,105161.74,0.0,HOLD
2018-01-15,5073.26,231,434.37,105412.32,0.0,HOLD
2018-01-16,5073.26,231,451.12,109282.42,0.0,HOLD
2018-01-17,111836.7,0,462.87,111836.7,-1.0,SELL
2018-01-18,111836.7,0,463.11,111836.7,-1.0,HOLD
2018-01-19,111836.7,0,459.4,111836.7,-1.0,HOLD
2018-01-22,111836.7,0,462.03,111836.7,-1.0,HOLD
2018-01-23,111836.7,0,472.92,111836.7,-1.0,HOLD
2018-01-24,111836.7,0,476.41,111836.7,-1.0,HOLD
2018-01-25,111836.7,0,472.23,111836.7,-1.0,HOLD
2018-01-29,111836.7,0,475.25,111836.7,-1.0,HOLD
2018-01-30,111836.7,0,470.33,111836.7,-1.0,HOLD
2018-01-31,111836.7,0,462.13,111836.7,0.0,HOLD
2018-02-01,111836.7,0,459.86,111836.7,0.0,HOLD
2018-02-02,111836.7,0,459.32,111836.7,0.0,HOLD
2018-02-05,111836.7,0,457.29,111836.7,0.0,HOLD
2018-02-06,111836.7,0,445.06,111836.7,0.0,HOLD
2018-02-07,111836.7,0,445.58,111836.7,0.0,HOLD
2018-02-08,111836.7,0,455.7,111836.7,0.0,HOLD
2018-02-09,111836.7,0,445.62,111836.7,0.0,HOLD
2018-02-12,111836.7,0,443.07,111836.7,0.0,HOLD
2018-02-14,111836.7,0,441.04,111836.7,0.0,HOLD
2018-02-15,111836.7,0,447.75,111836.7,0.0,HOLD
2018-02-16,111836.7,0,453.21,111836.7,0.0,HOLD
2018-02-19,111836.7,0,454.7,111836.7,0.0,HOLD
2018-02-20,111836.7,0,456.79,111836.7,0.0,HOLD
2018-02-21,111836.7,0,460.99,111836.7,0.0,HOLD
2018-02-22,111836.7,0,466.35,111836.7,0.0,HOLD
2018-02-23,111836.7,0,464.3,111836.7,0.0,HOLD
2018-02-26,111836.7,0,457.45,111836.7,0.0,HOLD
2018-02-27,111836.7,0,462.11,111836.7,0.0,HOLD
2018-02-28,111836.7,0,471.11,111836.7,0.0,HOLD
2018-03-01,111836.7,0,466.35,111836.7,0.0,HOLD
2018-03-05,111836.7,0,464.4,111836.7,0.0,HOLD
2018-03-06,111836.7,0,462.57,111836.7,0.0,HOLD
2018-03-07,111836.7,0,459.66,111836.7,0.0,HOLD
2018-03-08,111836.7,0,464.7,111836.7,0.0,HOLD
2018-03-09,111836.7,0,467.41,111836.7,0.0,HOLD
2018-03-12,111836.7,0,476.39,111836.7,0.0,HOLD
2018-03-13,111836.7,0,475.61,111836.7,0.0,HOLD
2018-03-14,111836.7,0,474.4,111836.7,0.0,HOLD
2018-03-15,111836.7,0,475.09,111836.7,0.0,HOLD
2018-03-16,111836.7,0,470.83,111836.7,0.0,HOLD
2018-03-19,111836.7,0,460.72,111836.7,0.0,HOLD
2018-03-20,111836.7,0,467.88,111836.7,0.0,HOLD
2018-03-21,111836.7,0,469.06,111836.7,0.0,HOLD
