Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,198.95,100000.0,0.0,HOLD
2018-01-02,100000.0,0,199.6,100000.0,0.0,HOLD
2018-01-03,100000.0,0,198.98,100000.0,0.0,HOLD
2018-01-04,100000.0,0,199.04,100000.0,0.0,HOLD
2018-01-05,100000.0,0,199.57,100000.0,0.0,HOLD
2018-01-08,100000.0,0,200.17,100000.0,0.0,HOLD
2018-01-09,100000.0,0,200.9,100000.0,0.0,HOLD
2018-01-10,100000.0,0,199.41,100000.0,0.0,HOLD
2018-01-11,100000.0,0,202.47,100000.0,0.0,HOLD
2018-01-12,100000.0,0,203.6,100000.0,0.0,HOLD
2018-01-15,100000.0,0,206.59,100000.0,0.0,HOLD
2018-01-16,100000.0,0,205.57,100000.0,0.0,HOLD
2018-01-17,100000.0,0,204.35,100000.0,0.0,HOLD
2018-01-18,100000.0,0,208.21,100000.0,0.0,HOLD
2018-01-19,100000.0,0,211.01,100000.0,0.0,HOLD
2018-01-22,100000.0,0,213.7,100000.0,0.0,HOLD
2018-01-23,100000.0,0,213.97,100000.0,0.0,HOLD
2018-01-24,100000.0,0,214.9,100000.0,0.0,HOLD
2018-01-25,100000.0,0,217.33,100000.0,0.0,HOLD
2018-01-29,100000.0,0,221.86,100000.0,0.0,HOLD
2018-01-30,5040.62,438,216.48,99857.73,1.0,BUY
2018-01-31,5040.62,438,220.64,101679.04,0.0,HOLD
2018-02-01,5040.62,438,223.02,102724.77,0.0,HOLD
2018-02-02,5040.62,438,216.06,99674.73,0.0,HOLD
2018-02-05,5040.62,438,211.34,97609.41,0.0,HOLD
2018-02-06,5040.62,438,205.68,95130.16,0.0,HOLD
2018-02-07,5040.62,438,206.18,95348.02,0.0,HOLD
2018-02-08,5040.62,438,209.26,96694.4,0.0,HOLD
2018-02-09,5040.62,438,205.33,94973.29,0.0,HOLD
2018-02-12,5040.62,438,207.5,95927.52,0.0,HOLD
2018-02-14,5040.62,438,207.4,95883.95,0.0,HOLD
2018-02-15,5040.62,438,207.35,95857.8,0.0,HOLD
2018-02-16,5040.62,438,208.95,96559.32,0.0,HOLD
2018-02-19,5040.62,438,210.14,97082.19,0.0,HOLD
2018-02-20,5040.62,438,208.07,96175.89,0.0,HOLD
2018-02-21,5040.62,438,209.91,96981.98,0.0,HOLD
2018-02-22,5040.62,438,213.38,98502.63,0.0,HOLD
2018-02-23,5040.62,438,215.04,99230.29,0.0,HOLD
2018-02-26,5040.62,438,219.88,101347.88,0.0,HOLD
2018-02-27,5040.62,438,217.47,100293.44,0.0,HOLD
2018-02-28,5040.62,438,216.97,100075.59,0.0,HOLD
2018-03-01,5040.62,438,218.0,100524.38,0.0,HOLD
2018-03-05,5040.62,438,218.85,100899.11,0.0,HOLD
2018-03-06,5040.62,438,215.36,99369.72,0.0,HOLD
2018-03-07,5040.62,438,215.89,99600.65,0.0,HOLD
2018-03-08,5040.62,438,215.33,99356.65,0.0,HOLD
2018-03-09,5040.62,438,215.36,99369.72,0.0,HOLD
2018-03-12,5040.62,438,218.97,100951.38,0.0,HOLD
2018-03-13,5040.62,438,215.65,99496.08,0.0,HOLD
2018-03-14,5040.62,438,215.22,99308.73,0.0,HOLD
2018-03-15,5040.62,438,216.0,99648.58,0.0,HOLD
2018-03-16,5040.62,438,211.05,97478.7,0.0,HOLD
2018-03-19,5040.62,438,208.71,96454.75,0.0,HOLD
2018-03-20,5040.62,438,207.97,96132.31,0.0,HOLD
2018-03-21,5040.62,438,209.13,96637.76,0.0,HOLD
2018-03-22,5040.62,438,209.51,96807.69,0.0,HOLD
2018-03-23,5040.62,438,206.68,95565.88,0.0,HOLD
2018-03-26,5040.62,438,206.79,95613.81,0.0,HOLD
2018-03-27,5040.62,438,208.88,96528.82,0.0,HOLD
2018-03-28,5040.62,438,208.47,96350.18,0.0,HOLD
2018-04-02,5040.62,438,218.17,100598.46,0.0,HOLD
2018-04-03,5040.62,438,219.51,101186.68,0.0,HOLD
2018-04-04,5040.62,438,214.54,99008.07,0.0,HOLD
2018-04-05,5040.62,438,222.5,102493.84,0.0,HOLD
2018-04-06,5040.62,438,222.67,102572.26,0.0,HOLD
2018-04-09,5040.62,438,222.49,102489.48,0.0,HOLD
2018-04-10,5040.62,438,221.57,102088.61,0.0,HOLD
2018-04-11,5040.62,438,224.05,103173.56,0.0,HOLD
2018-04-12,5040.62,438,225.74,103914.29,0.0,HOLD
2018-04-13,5040.62,438,229.02,105352.16,0.0,HOLD
2018-04-16,5040.62,438,233.2,107182.18,0.0,HOLD
2018-04-17,5040.62,438,231.76,106550.39,1.0,HOLD
2018-04-18,5040.62,438,229.59,105600.52,0.0,HOLD
2018-04-19,5040.62,438,229.58,105596.16,0.0,HOLD
2018-04-20,5040.62,438,229.37,105504.66,0.0,HOLD
2018-04-23,5040.62,438,232.58,106912.04,0.0,HOLD
2018-04-24,5040.62,438,231.99,106650.6,0.0,HOLD
2018-04-25,5040.62,438,232.35,106811.82,0.0,HOLD
2018-04-26,5040.62,438,235.91,108367.35,0.0,HOLD
2018-04-27,5040.62,438,236.51,108633.13,0.0,HOLD
2018-04-30,5040.62,438,240.96,110580.8,0.0,HOLD
2018-05-02,5040.62,438,250.06,114567.65,0.0,HOLD
2018-05-03,5040.62,438,245.43,112537.2,1.0,HOLD
2018-05-04,5040.62,438,245.41,112528.48,0.0,HOLD
2018-05-07,5040.62,438,247.71,113539.36,0.0,HOLD
2018-05-08,5040.62,438,247.08,113260.48,0.0,HOLD
2018-05-09,5040.62,438,248.93,114070.93,0.0,HOLD
2018-05-10,5040.62,438,248.2,113752.85,0.0,HOLD
2018-05-11,5040.62,438,252.14,115478.31,0.0,HOLD
2018-05-14,5040.62,438,253.0,115853.03,0.0,HOLD
2018-05-15,5040.62,438,255.43,116920.54,0.0,HOLD
2018-05-16,5040.62,438,254.95,116707.03,0.0,HOLD
2018-05-17,5040.62,438,252.82,115774.59,0.0,HOLD
2018-05-18,5040.62,438,257.53,117839.88,0.0,HOLD
2018-05-21,5040.62,438,254.0,116293.09,0.0,HOLD
2018-05-22,5040.62,438,251.23,115077.43,0.0,HOLD
2018-05-23,5040.62,438,249.76,114436.93,0.0,HOLD
2018-05-24,5040.62,438,253.76,116188.53,0.0,HOLD
2018-05-25,5040.62,438,257.82,117966.29,0.0,HOLD
2018-05-28,5040.62,438,258.08,118079.56,0.0,HOLD
2018-05-29,5040.62,438,255.51,116955.39,0.0,HOLD
2018-05-30,5040.62,438,259.29,118611.14,0.0,HOLD
2018-05-31,5040.62,438,265.53,121343.11,0.0,HOLD
2018-06-01,5040.62,438,262.23,119896.51,1.0,HOLD
2018-06-04,5040.62,438,259.43,118672.14,0.0,HOLD
2018-06-05,5040.62,438,259.58,118737.51,0.0,HOLD
2018-06-06,5040.62,438,261.77,119696.1,0.0,HOLD
2018-06-07,5040.62,438,260.73,119238.57,0.0,HOLD
2018-06-08,5040.62,438,262.3,119927.01,0.0,HOLD
2018-06-11,5040.62,438,263.29,120362.74,0.0,HOLD
2018-06-12,5040.62,438,264.48,120881.23,0.0,HOLD
2018-06-13,5040.62,438,263.75,120563.16,0.0,HOLD
2018-06-14,5040.62,438,265.14,121173.15,0.0,HOLD
2018-06-15,5040.62,438,266.61,121813.67,0.0,HOLD
2018-06-18,5040.62,438,261.69,119661.21,0.0,HOLD
2018-06-19,5040.62,438,259.29,118611.14,0.0,HOLD
2018-06-20,5040.62,438,263.54,120471.68,0.0,HOLD
2018-06-21,5040.62,438,261.42,119543.57,0.0,HOLD
2018-06-22,5040.62,438,262.9,120192.79,0.0,HOLD
2018-06-25,5040.62,438,264.22,120767.94,0.0,HOLD
2018-06-26,5040.62,438,264.59,120929.15,0.0,HOLD
2018-06-27,5040.62,438,263.46,120436.8,0.0,HOLD
2018-06-28,5040.62,438,266.43,121735.27,0.0,HOLD
2018-06-29,5040.62,438,267.19,122070.75,0.0,HOLD
2018-07-02,5040.62,438,266.2,121635.03,0.0,HOLD
2018-07-03,5040.62,438,269.22,122959.62,0.0,HOLD
2018-07-04,5040.62,438,271.63,124014.05,1.0,HOLD
2018-07-05,5040.62,438,271.58,123992.26,1.0,HOLD
2018-07-06,5040.62,438,272.81,124532.59,1.0,HOLD
2018-07-09,5040.62,438,275.58,125743.86,1.0,HOLD
2018-07-10,5040.62,438,273.0,124615.35,1.0,HOLD
2018-07-11,5040.62,438,276.09,125966.81,0.0,HOLD
2018-07-12,5040.62,438,276.65,126215.25,0.0,HOLD
2018-07-13,5040.62,438,279.55,127483.87,0.0,HOLD
2018-07-16,5040.62,438,280.37,127841.34,0.0,HOLD
2018-07-17,5040.62,438,278.8,127156.9,0.0,HOLD
2018-07-18,5040.62,438,278.4,126978.14,0.0,HOLD
2018-07-19,5040.62,438,268.21,122518.48,0.0,HOLD
2018-07-20,5040.62,438,265.41,121289.12,0.0,HOLD
2018-07-23,5040.62,438,266.15,121616.07,0.0,HOLD
2018-07-24,5040.62,438,261.22,119453.82,0.0,HOLD
2018-07-25,5040.62,438,261.74,119684.85,0.0,HOLD
2018-07-26,5040.62,438,261.02,119366.61,0.0,HOLD
2018-07-27,5040.62,438,260.99,119353.54,0.0,HOLD
2018-07-30,5040.62,438,259.82,118843.47,0.0,HOLD
2018-07-31,5040.62,438,260.14,118982.99,0.0,HOLD
2018-08-01,5040.62,438,261.31,119493.03,0.0,HOLD
