Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-01-30,BUY,216.5856557006836,438,94959.3817140963,5040.618285903707,94.86451719689941,47.40855432128907
2018-08-17,SELL,251.3376014633179,438,109975.7835714923,115016.401857396,110.08586944093324,55.07046995544434
2018-11-30,BUY,245.75364427185056,444,109223.73267475834,5792.669182637663,109.11461805670166,54.53004400634766
2019-01-15,SELL,241.4193910522461,444,107083.01941757007,112875.68860020774,107.19020962719728,53.621915771484375
2019-01-23,BUY,254.22794155883787,421,107136.993359667,5738.6952405407355,107.02996339627074,53.48823757934571
2019-02-28,SELL,241.3596980133057,421,101510.8204307381,107249.51567127883,101.6124328636017,50.83163224792481
2019-03-18,BUY,267.60153785705563,380,101790.27297006681,5459.242701212017,101.68858438568114,50.81888275146485
2019-06-18,SELL,290.8512667541504,380,110412.95788521058,115872.2005864226,110.52348136657716,55.289385375976565
2019-07-18,BUY,306.52324118041986,359,110151.8854273545,5720.315159068094,110.04184358377074,54.9934250793457
2019-08-30,SELL,284.9563580169678,359,102197.03319556333,107917.34835463142,102.29933252809143,51.175253890991215
2019-09-23,BUY,326.91829078674317,313,102427.75044126685,5489.597913364574,102.3254250162506,51.13714393615723
2020-01-21,SELL,323.50592124938964,313,101156.0959977079,106645.69391107248,101.25735335105897,50.654003677368166
2020-06-03,BUY,276.2943891906738,366,101224.87019023039,5420.823720842091,101.12374644378662,50.53660491943359
2020-07-16,SELL,263.297789642334,366,96270.62401808515,101691.44773892724,96.36699100909425,48.20759930419922
2020-08-27,BUY,282.9598906860351,341,96585.8120466619,5105.635692265336,96.48932272393797,48.22055108642578
2021-01-14,SELL,376.7666615905762,341,128348.9541707841,133454.58986304945,128.47743160238647,64.27085122680664
2021-09-15,BUY,373.1542267913818,339,126625.7821651607,6828.807697888755,126.49928288227844,63.21803242492676
2021-11-23,SELL,394.92862709045414,339,133746.9237790803,140575.73147696906,133.88080458366397,66.97388923645019
2022-01-11,BUY,386.13294190979,345,133349.0808238364,7226.650653132645,133.21586495887757,66.57464515686036
2022-02-15,SELL,361.11003459167483,345,124458.37897219369,131685.02962532634,124.58296193412782,62.32264228820801
2022-04-05,BUY,359.2982422027588,348,125160.8240748466,6524.205550479732,125.03578828656006,62.486650817871094
2022-06-14,SELL,346.49115750122064,348,120458.34388761436,126982.5494380941,120.57892281042479,60.319621215820305
2022-07-15,BUY,356.4074542694092,338,120586.18526260335,6396.364175490744,120.4657195430603,60.20275839233398
2022-09-26,SELL,364.49609706115723,338,123076.48112586446,129472.8453013552,123.19968080667114,61.63065573120117
2022-10-24,BUY,378.18649630737303,325,123033.52191119612,6439.323390159087,122.91061129989623,61.42459335327148
2022-12-12,SELL,371.81988694763186,325,120720.62179472238,127159.94518488146,120.84146325798037,60.45095710754395
2023-04-12,BUY,367.86306935119626,328,120779.74583393955,6380.199350941912,120.65908674719238,60.299393676757816
2023-06-12,SELL,374.5501495513916,328,122729.5966038036,129109.79595474551,122.85244905285646,61.45695300292969
2023-07-18,BUY,377.1990338287353,325,122712.2756803333,6397.520274412207,122.58968599433898,61.264210891723636
2023-10-27,SELL,339.60553343200684,325,110261.42656703682,116658.94684144903,110.37179836540223,55.21350593566895
2023-12-05,BUY,365.0513919982911,303,110721.18234725767,5937.76449419136,110.6105717754822,55.27764706420899
2024-01-18,SELL,354.47462104797364,303,107298.40436735848,113236.16886154984,107.40581017753601,53.729769973754884
2024-04-12,BUY,361.9767353210449,297,107614.59748074067,5621.571380809168,107.50709039035034,53.72668185424805
2024-04-26,SELL,320.8172638092041,297,95187.44462398229,100809.01600479145,95.28272735133363,47.66519627380371
2024-06-28,BUY,359.87045809936524,266,95821.26739628558,4987.748608505877,95.72554185443116,47.838851501464845
2024-07-25,SELL,354.44381370544437,266,94187.77239120255,99175.52099970843,94.2820544456482,47.16460952758789
2024-09-18,BUY,367.70002400207517,256,94225.33735067576,4950.183649032668,94.13120614453125,47.042082031250004
2025-06-04,SELL,408.584301940918,256,104492.98371557814,109443.16736461081,104.597581296875,52.324953125
2025-06-10,BUY,429.93941061401364,241,103719.01335593525,5724.154008675556,103.6153979579773,51.78180807495117
2025-07-29,SELL,394.34273854064946,241,94941.56338830823,100665.71739698379,95.03659998829653,47.542071029663084
2025-09-18,BUY,411.1254734344482,232,95476.49094662878,5189.2264503550105,95.38110983679199,47.66672155761719
2026-01-28,SELL,412.19379389953616,232,95533.3312245077,100722.5576748627,95.62896018469239,47.83839929199219
