Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,198.95,100000.0,0.0,HOLD
2018-01-02,100000.0,0,199.6,100000.0,0.0,HOLD
2018-01-03,100000.0,0,198.98,100000.0,0.0,HOLD
2018-01-04,100000.0,0,199.04,100000.0,0.0,HOLD
2018-01-05,100000.0,0,199.57,100000.0,0.0,HOLD
2018-01-08,100000.0,0,200.17,100000.0,0.0,HOLD
2018-01-09,100000.0,0,200.9,100000.0,0.0,HOLD
2018-01-10,100000.0,0,199.41,100000.0,0.0,HOLD
2018-01-11,100000.0,0,202.47,100000.0,0.0,HOLD
2018-01-12,100000.0,0,203.6,100000.0,0.0,HOLD
2018-01-15,100000.0,0,206.59,100000.0,0.0,HOLD
2018-01-16,100000.0,0,205.57,100000.0,0.0,HOLD
2018-01-17,100000.0,0,204.35,100000.0,0.0,HOLD
2018-01-18,100000.0,0,208.21,100000.0,0.0,HOLD
2018-01-19,100000.0,0,211.01,100000.0,0.0,HOLD
2018-01-22,100000.0,0,213.7,100000.0,0.0,HOLD
2018-01-23,100000.0,0,213.97,100000.0,0.0,HOLD
2018-01-24,100000.0,0,214.9,100000.0,0.0,HOLD
2018-01-25,100000.0,0,217.33,100000.0,0.0,HOLD
2018-01-29,100000.0,0,221.86,100000.0,0.0,HOLD
2018-01-30,100000.0,0,216.48,100000.0,0.0,HOLD
2018-01-31,100000.0,0,220.64,100000.0,0.0,HOLD
2018-02-01,100000.0,0,223.02,100000.0,0.0,HOLD
2018-02-02,100000.0,0,216.06,100000.0,0.0,HOLD
2018-02-05,100000.0,0,211.34,100000.0,0.0,HOLD
2018-02-06,100000.0,0,205.68,100000.0,0.0,HOLD
2018-02-07,100000.0,0,206.18,100000.0,0.0,HOLD
2018-02-08,100000.0,0,209.26,100000.0,0.0,HOLD
2018-02-09,100000.0,0,205.33,100000.0,0.0,HOLD
2018-02-12,100000.0,0,207.5,100000.0,0.0,HOLD
2018-02-14,100000.0,0,207.4,100000.0,0.0,HOLD
2018-02-15,100000.0,0,207.35,100000.0,0.0,HOLD
2018-02-16,100000.0,0,208.95,100000.0,0.0,HOLD
2018-02-19,100000.0,0,210.14,100000.0,0.0,HOLD
2018-02-20,100000.0,0,208.07,100000.0,0.0,HOLD
2018-02-21,100000.0,0,209.91,100000.0,0.0,HOLD
2018-02-22,100000.0,0,213.38,100000.0,0.0,HOLD
2018-02-23,100000.0,0,215.04,100000.0,0.0,HOLD
2018-02-26,100000.0,0,219.88,100000.0,0.0,HOLD
2018-02-27,100000.0,0,217.47,100000.0,0.0,HOLD
2018-02-28,100000.0,0,216.97,100000.0,0.0,HOLD
2018-03-01,100000.0,0,218.0,100000.0,0.0,HOLD
2018-03-05,100000.0,0,218.85,100000.0,0.0,HOLD
2018-03-06,100000.0,0,215.36,100000.0,0.0,HOLD
2018-03-07,100000.0,0,215.89,100000.0,0.0,HOLD
2018-03-08,100000.0,0,215.33,100000.0,0.0,HOLD
2018-03-09,100000.0,0,215.36,100000.0,0.0,HOLD
2018-03-12,100000.0,0,218.97,100000.0,0.0,HOLD
2018-03-13,100000.0,0,215.65,100000.0,0.0,HOLD
2018-03-14,100000.0,0,215.22,100000.0,0.0,HOLD
2018-03-15,100000.0,0,216.0,100000.0,0.0,HOLD
2018-03-16,100000.0,0,211.05,100000.0,0.0,HOLD
2018-03-19,100000.0,0,208.71,100000.0,0.0,HOLD
2018-03-20,100000.0,0,207.97,100000.0,0.0,HOLD
2018-03-21,100000.0,0,209.13,100000.0,0.0,HOLD
2018-03-22,100000.0,0,209.51,100000.0,0.0,HOLD
2018-03-23,100000.0,0,206.68,100000.0,0.0,HOLD
2018-03-26,100000.0,0,206.79,100000.0,0.0,HOLD
2018-03-27,100000.0,0,208.88,100000.0,0.0,HOLD
2018-03-28,100000.0,0,208.47,100000.0,0.0,HOLD
2018-04-02,100000.0,0,218.17,100000.0,0.0,HOLD
2018-04-03,100000.0,0,219.51,100000.0,0.0,HOLD
2018-04-04,100000.0,0,214.54,100000.0,0.0,HOLD
2018-04-05,100000.0,0,222.5,100000.0,0.0,HOLD
2018-04-06,100000.0,0,222.67,100000.0,0.0,HOLD
2018-04-09,100000.0,0,222.49,100000.0,0.0,HOLD
2018-04-10,100000.0,0,221.57,100000.0,0.0,HOLD
2018-04-11,100000.0,0,224.05,100000.0,0.0,HOLD
2018-04-12,100000.0,0,225.74,100000.0,0.0,HOLD
2018-04-13,100000.0,0,229.02,100000.0,0.0,HOLD
2018-04-16,100000.0,0,233.2,100000.0,0.0,HOLD
2018-04-17,100000.0,0,231.76,100000.0,0.0,HOLD
2018-04-18,100000.0,0,229.59,100000.0,0.0,HOLD
2018-04-19,100000.0,0,229.58,100000.0,0.0,HOLD
2018-04-20,100000.0,0,229.37,100000.0,0.0,HOLD
2018-04-23,100000.0,0,232.58,100000.0,0.0,HOLD
2018-04-24,100000.0,0,231.99,100000.0,0.0,HOLD
2018-04-25,100000.0,0,232.35,100000.0,0.0,HOLD
2018-04-26,100000.0,0,235.91,100000.0,0.0,HOLD
2018-04-27,100000.0,0,236.51,100000.0,0.0,HOLD
2018-04-30,100000.0,0,240.96,100000.0,0.0,HOLD
2018-05-02,100000.0,0,250.06,100000.0,0.0,HOLD
2018-05-03,100000.0,0,245.43,100000.0,0.0,HOLD
2018-05-04,100000.0,0,245.41,100000.0,0.0,HOLD
2018-05-07,100000.0,0,247.71,100000.0,0.0,HOLD
2018-05-08,100000.0,0,247.08,100000.0,0.0,HOLD
2018-05-09,100000.0,0,248.93,100000.0,0.0,HOLD
2018-05-10,100000.0,0,248.2,100000.0,0.0,HOLD
2018-05-11,100000.0,0,252.14,100000.0,0.0,HOLD
2018-05-14,100000.0,0,253.0,100000.0,0.0,HOLD
2018-05-15,100000.0,0,255.43,100000.0,0.0,HOLD
2018-05-16,100000.0,0,254.95,100000.0,0.0,HOLD
2018-05-17,100000.0,0,252.82,100000.0,0.0,HOLD
2018-05-18,100000.0,0,257.53,100000.0,0.0,HOLD
2018-05-21,100000.0,0,254.0,100000.0,0.0,HOLD
2018-05-22,100000.0,0,251.23,100000.0,0.0,HOLD
2018-05-23,100000.0,0,249.76,100000.0,0.0,HOLD
2018-05-24,100000.0,0,253.76,100000.0,0.0,HOLD
2018-05-25,100000.0,0,257.82,100000.0,0.0,HOLD
2018-05-28,100000.0,0,258.08,100000.0,0.0,HOLD
2018-05-29,100000.0,0,255.51,100000.0,0.0,HOLD
2018-05-30,100000.0,0,259.29,100000.0,0.0,HOLD
2018-05-31,100000.0,0,265.53,100000.0,0.0,HOLD
2018-06-01,100000.0,0,262.23,100000.0,0.0,HOLD
2018-06-04,100000.0,0,259.43,100000.0,0.0,HOLD
2018-06-05,100000.0,0,259.58,100000.0,0.0,HOLD
2018-06-06,100000.0,0,261.77,100000.0,0.0,HOLD
2018-06-07,100000.0,0,260.73,100000.0,0.0,HOLD
2018-06-08,100000.0,0,262.3,100000.0,0.0,HOLD
2018-06-11,100000.0,0,263.29,100000.0,0.0,HOLD
2018-06-12,100000.0,0,264.48,100000.0,0.0,HOLD
2018-06-13,100000.0,0,263.75,100000.0,0.0,HOLD
2018-06-14,100000.0,0,265.14,100000.0,0.0,HOLD
2018-06-15,100000.0,0,266.61,100000.0,0.0,HOLD
2018-06-18,100000.0,0,261.69,100000.0,0.0,HOLD
2018-06-19,100000.0,0,259.29,100000.0,0.0,HOLD
2018-06-20,100000.0,0,263.54,100000.0,0.0,HOLD
2018-06-21,100000.0,0,261.42,100000.0,0.0,HOLD
2018-06-22,100000.0,0,262.9,100000.0,0.0,HOLD
2018-06-25,100000.0,0,264.22,100000.0,0.0,HOLD
2018-06-26,100000.0,0,264.59,100000.0,0.0,HOLD
2018-06-27,100000.0,0,263.46,100000.0,0.0,HOLD
2018-06-28,100000.0,0,266.43,100000.0,0.0,HOLD
2018-06-29,100000.0,0,267.19,100000.0,0.0,HOLD
2018-07-02,100000.0,0,266.2,100000.0,0.0,HOLD
2018-07-03,100000.0,0,269.22,100000.0,0.0,HOLD
2018-07-04,100000.0,0,271.63,100000.0,0.0,HOLD
2018-07-05,100000.0,0,271.58,100000.0,0.0,HOLD
2018-07-06,100000.0,0,272.81,100000.0,0.0,HOLD
2018-07-09,100000.0,0,275.58,100000.0,0.0,HOLD
2018-07-10,100000.0,0,273.0,100000.0,0.0,HOLD
2018-07-11,100000.0,0,276.09,100000.0,0.0,HOLD
2018-07-12,100000.0,0,276.65,100000.0,0.0,HOLD
2018-07-13,100000.0,0,279.55,100000.0,0.0,HOLD
2018-07-16,100000.0,0,280.37,100000.0,0.0,HOLD
2018-07-17,100000.0,0,278.8,100000.0,0.0,HOLD
2018-07-18,100000.0,0,278.4,100000.0,0.0,HOLD
2018-07-19,100000.0,0,268.21,100000.0,0.0,HOLD
2018-07-20,100000.0,0,265.41,100000.0,0.0,HOLD
2018-07-23,100000.0,0,266.15,100000.0,0.0,HOLD
2018-07-24,100000.0,0,261.22,100000.0,0.0,HOLD
2018-07-25,100000.0,0,261.74,100000.0,0.0,HOLD
2018-07-26,100000.0,0,261.02,100000.0,0.0,HOLD
2018-07-27,100000.0,0,260.99,100000.0,0.0,HOLD
2018-07-30,100000.0,0,259.82,100000.0,0.0,HOLD
2018-07-31,100000.0,0,260.14,100000.0,0.0,HOLD
2018-08-01,100000.0,0,261.31,100000.0,0.0,HOLD
