Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-04-18,2018-05-08,SHORT,Breakout,0.59153,0.596345,212560.81,-1023.38,-1.02,20,1000.0,38.26,4.25,Stop
2018-08-27,2018-08-31,LONG,Breakout,0.622435,0.617246,194841.47,-1011.2,-1.02,4,989.77,35.07,3.9,Stop
2018-08-31,2018-09-26,LONG,Breakout,0.620715,0.631011,188297.78,1938.6,1.98,26,979.65,33.89,3.77,Target
2019-10-25,2019-11-06,SHORT,Breakout,0.615439,0.602896,157909.57,1980.71,1.98,12,999.04,28.42,3.16,Target
2019-11-06,2019-11-14,SHORT,Breakout,0.602973,0.608938,174013.01,-1037.99,-1.02,8,1018.85,31.32,3.48,Stop
2019-11-14,2019-12-06,SHORT,Breakout,0.608155,0.598273,201863.37,1994.73,1.98,22,1008.47,36.34,4.04,Target
2020-06-16,2020-06-24,SHORT,Breakout,0.598234,0.589153,223791.35,2032.21,1.98,8,1028.41,40.28,4.48,Target
2020-06-24,2020-07-01,SHORT,Breakout,0.590068,0.594359,250859.42,-1076.33,-1.03,7,1048.74,45.15,5.02,Stop
2020-07-01,2020-07-02,SHORT,Breakout,0.591692,0.596736,210388.88,-1061.12,-1.02,1,1037.97,37.87,4.21,Stop
2020-07-02,2020-07-06,SHORT,Breakout,0.594402,0.59946,207620.5,-1050.2,-1.02,4,1027.36,37.37,4.15,Stop
2021-02-24,2021-03-23,LONG,Breakout,0.605379,0.61585,192217.71,2012.58,1.98,27,1016.86,34.6,3.84,Target
2021-03-23,2021-03-26,LONG,Breakout,0.615358,0.610072,200338.39,-1059.02,-1.02,3,1036.99,36.06,4.01,Stop
2021-03-26,2021-04-07,LONG,Breakout,0.612992,0.624233,180840.15,2032.9,1.98,12,1026.4,32.55,3.62,Target
2021-04-07,2021-04-13,LONG,Breakout,0.620283,0.632302,172596.62,2074.46,1.98,6,1046.72,31.07,3.45,Target
2021-04-13,2021-05-18,LONG,Breakout,0.627892,0.621513,170281.86,-1086.2,-1.02,35,1067.47,30.65,3.41,Stop
2021-09-22,2021-10-07,LONG,Breakout,0.651617,0.662892,185608.54,2092.8,1.98,15,1056.61,33.41,3.71,Target
2021-10-07,2021-10-25,LONG,Breakout,0.658852,0.653362,200308.26,-1099.57,-1.02,18,1077.54,36.06,4.01,Stop
2021-12-21,2021-12-23,SHORT,Breakout,0.614116,0.619887,188407.07,-1087.26,-1.02,2,1066.54,33.91,3.77,Stop
2021-12-23,2021-12-30,SHORT,Breakout,0.618659,0.607964,195402.76,2089.84,1.98,7,1055.67,35.17,3.91,Target
