Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-05-17,2018-05-25,SHORT,MeanReversion,0.605678,0.610133,230182.63,-1025.32,-1.03,8,1000.0,41.43,4.6,Stop
2018-05-25,2018-06-25,SHORT,MeanReversion,0.608187,0.598901,210677.0,1956.32,1.98,31,989.75,37.92,4.21,Target
2020-03-25,2020-04-21,SHORT,MeanReversion,0.613423,0.604436,221912.15,1994.21,1.98,27,1009.31,39.94,4.44,Target
2021-07-05,2021-07-07,SHORT,MeanReversion,0.635275,0.639711,237902.89,-1055.42,-1.03,2,1029.25,42.82,4.76,Stop
2021-07-07,2021-07-08,SHORT,MeanReversion,0.638252,0.64322,209657.05,-1041.76,-1.02,1,1018.7,37.74,4.19,Stop
2021-07-08,2021-07-13,SHORT,MeanReversion,0.643165,0.633108,198342.61,1994.74,1.98,5,1008.28,35.7,3.97,Target
2021-07-13,2021-08-03,SHORT,MeanReversion,0.635485,0.640872,194826.34,-1049.66,-1.02,21,1028.23,35.07,3.9,Stop
2021-09-17,2021-09-20,SHORT,MeanReversion,0.636859,0.641936,204895.55,-1040.27,-1.02,3,1017.73,36.88,4.1,Stop
2021-09-20,2021-09-21,SHORT,MeanReversion,0.642361,0.647653,194377.43,-1028.71,-1.02,1,1007.33,34.99,3.89,Stop
2021-09-21,2021-09-22,SHORT,MeanReversion,0.646399,0.652177,175915.67,-1016.39,-1.02,1,997.04,31.66,3.52,Stop
2021-09-22,2021-09-27,SHORT,MeanReversion,0.651397,0.6572,173359.44,-1005.95,-1.02,5,986.88,31.2,3.47,Stop
2021-09-27,2021-09-28,SHORT,MeanReversion,0.655194,0.661528,156929.47,-994.08,-1.02,1,976.82,28.25,3.14,Stop
2021-09-28,2021-10-08,SHORT,MeanReversion,0.660593,0.666733,160325.01,-984.51,-1.02,10,966.88,28.86,3.21,Stop
2021-10-08,2021-10-25,SHORT,MeanReversion,0.663443,0.653089,182918.77,1893.94,1.98,17,957.03,32.93,3.66,Target
2021-11-15,2021-11-19,LONG,MeanReversion,0.63997,0.635947,249430.72,-1003.41,-1.03,4,975.97,44.9,4.99,Stop
2021-11-19,2021-11-23,LONG,MeanReversion,0.637432,0.632668,207549.31,-988.77,-1.02,4,965.94,37.36,4.15,Stop
2021-11-23,2021-12-02,LONG,MeanReversion,0.636781,0.631659,190757.67,-977.03,-1.02,9,956.05,34.34,3.82,Stop
2021-12-02,2021-12-13,LONG,MeanReversion,0.634713,0.629933,202656.12,-968.57,-1.02,11,946.28,36.48,4.05,Stop
2021-12-13,2021-12-14,LONG,MeanReversion,0.634945,0.630359,209243.39,-959.61,-1.02,1,936.59,37.66,4.18,Stop
2021-12-14,2021-12-15,LONG,MeanReversion,0.630902,0.62594,191071.86,-948.02,-1.02,1,927.0,34.39,3.82,Stop
2021-12-15,2021-12-16,LONG,MeanReversion,0.626409,0.621056,175009.62,-936.77,-1.02,1,917.52,31.5,3.5,Stop
2021-12-16,2021-12-20,LONG,MeanReversion,0.620503,0.614896,165200.97,-926.32,-1.02,4,908.15,29.74,3.3,Stop
2021-12-20,2021-12-29,LONG,MeanReversion,0.618161,0.612472,161135.51,-916.61,-1.02,9,898.89,29.0,3.22,Stop
2021-12-29,2021-12-30,LONG,MeanReversion,0.615873,0.610247,161301.49,-907.46,-1.02,1,889.72,29.03,3.23,Stop
2021-12-30,2022-01-07,LONG,MeanReversion,0.611221,0.604977,143568.25,-896.44,-1.02,8,880.65,25.84,2.87,Stop
2022-01-07,2022-01-10,LONG,MeanReversion,0.607034,0.602739,208290.55,-894.59,-1.03,3,871.68,37.49,4.17,Stop
2022-01-10,2022-01-11,LONG,MeanReversion,0.605563,0.601272,206327.9,-885.43,-1.03,1,862.74,37.14,4.13,Stop
2022-01-11,2022-01-17,LONG,MeanReversion,0.601912,0.597461,196695.45,-875.52,-1.03,6,853.88,35.41,3.93,Stop
2022-01-17,2022-01-19,LONG,MeanReversion,0.599668,0.594781,176922.73,-864.59,-1.02,2,845.13,31.85,3.54,Stop
2022-01-19,2022-01-20,LONG,MeanReversion,0.599811,0.59506,180232.9,-856.31,-1.02,1,836.48,32.44,3.6,Stop
2022-01-20,2022-02-16,LONG,MeanReversion,0.594082,0.603544,172981.28,1636.81,1.98,27,827.92,31.14,3.46,Target
2022-04-20,2022-04-26,LONG,MeanReversion,0.594145,0.590061,212408.23,-867.65,-1.03,6,844.29,38.23,4.25,Stop
2022-04-26,2022-04-27,LONG,MeanReversion,0.593941,0.589888,211930.41,-858.92,-1.03,1,835.61,38.15,4.24,Stop
2022-04-27,2022-05-09,LONG,MeanReversion,0.590313,0.599043,187106.12,1633.46,1.98,12,827.02,33.68,3.74,Target
2023-09-04,2023-09-07,LONG,MeanReversion,0.552353,0.561594,180390.21,1666.86,1.98,3,843.35,32.47,3.61,Target
2023-09-07,2023-09-18,LONG,MeanReversion,0.5595,0.554187,165292.75,-878.2,-1.02,11,860.02,29.75,3.31,Stop
2023-10-05,2023-10-17,SHORT,MeanReversion,0.570488,0.575038,191748.02,-872.33,-1.02,12,851.24,34.51,3.83,Stop
2023-10-17,2023-10-27,SHORT,MeanReversion,0.573631,0.578121,192350.85,-863.68,-1.03,10,842.52,34.62,3.85,Stop
2023-10-27,2023-10-30,SHORT,MeanReversion,0.576491,0.581146,183463.78,-854.06,-1.02,3,833.88,33.02,3.67,Stop
2023-10-30,2023-11-14,SHORT,MeanReversion,0.581634,0.572187,172722.72,1631.68,1.98,15,825.34,31.09,3.45,Target
