Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-04-19,2018-05-08,SHORT,Trend,0.590289,0.59513,211349.14,-1023.25,-1.02,19,1000.0,38.04,4.23,Stop
2018-05-08,2018-05-10,SHORT,Trend,0.593751,0.598247,225698.81,-1014.59,-1.03,2,989.77,40.63,4.51,Stop
2018-08-20,2018-09-04,LONG,Trend,0.613904,0.62384,195042.33,1937.79,1.98,15,979.62,35.11,3.9,Target
2018-09-04,2018-10-16,LONG,Trend,0.622618,0.633734,177984.06,1978.42,1.98,42,999.0,32.04,3.56,Target
2018-10-16,2018-10-17,LONG,Trend,0.633012,0.628273,220098.27,-1042.99,-1.02,1,1018.78,39.62,4.4,Stop
2018-10-17,2018-10-18,LONG,Trend,0.633315,0.628178,200595.16,-1030.42,-1.02,1,1008.35,36.11,4.01,Stop
2018-10-18,2018-11-26,LONG,Trend,0.629176,0.624003,197133.53,-1019.73,-1.02,39,998.05,35.48,3.94,Stop
2019-10-24,2019-10-31,SHORT,Trend,0.618453,0.605126,147036.72,1959.53,1.98,7,987.85,26.47,2.94,Target
2019-10-31,2020-01-06,SHORT,Trend,0.609613,0.596051,147370.84,1998.68,1.98,67,1007.45,26.53,2.95,Target
2020-01-06,2020-01-22,SHORT,Trend,0.597365,0.602136,220424.45,-1051.68,-1.02,16,1027.43,39.68,4.41,Stop
2020-06-19,2020-07-02,SHORT,Trend,0.592452,0.597038,227187.9,-1041.91,-1.02,13,1016.92,40.89,4.54,Stop
2020-07-02,2020-07-06,SHORT,Trend,0.594402,0.59946,203404.1,-1028.87,-1.02,4,1006.5,36.61,4.07,Stop
2020-09-11,2020-10-19,SHORT,Trend,0.59387,0.583468,189524.69,1971.57,1.98,38,996.21,34.11,3.79,Target
2020-10-19,2021-01-12,SHORT,Trend,0.587193,0.593081,175833.05,-1035.27,-1.02,85,1015.93,31.65,3.52,Stop
2021-03-23,2021-03-26,LONG,Trend,0.615358,0.610072,194269.56,-1026.94,-1.02,3,1005.57,34.97,3.89,Stop
2021-03-26,2021-04-07,LONG,Trend,0.612992,0.624233,175361.98,1971.32,1.98,12,995.3,31.57,3.51,Target
2021-04-07,2021-04-13,LONG,Trend,0.620283,0.632302,167368.17,2011.62,1.98,6,1015.02,30.13,3.35,Target
2021-04-13,2021-05-18,LONG,Trend,0.627892,0.621513,165123.53,-1053.3,-1.02,35,1035.13,29.72,3.3,Stop
2021-10-21,2021-10-22,LONG,Trend,0.661681,0.65641,198543.13,-1046.44,-1.02,1,1024.6,35.74,3.97,Stop
2021-10-22,2021-10-25,LONG,Trend,0.660989,0.655395,184898.82,-1034.47,-1.02,3,1014.14,33.28,3.7,Stop
2021-10-25,2021-10-26,LONG,Trend,0.657006,0.651174,175437.02,-1023.09,-1.02,1,1003.79,31.58,3.51,Stop
2021-10-26,2021-11-10,LONG,Trend,0.652868,0.646979,171912.15,-1012.47,-1.02,15,993.56,30.94,3.44,Stop
2022-08-19,2022-08-22,SHORT,Trend,0.594293,0.599894,179096.51,-1003.14,-1.02,3,983.44,32.24,3.58,Stop
2022-08-22,2022-09-20,SHORT,Trend,0.600293,0.589831,184150.19,1926.55,1.98,29,973.4,33.15,3.68,Target
2022-09-20,2022-09-27,SHORT,Trend,0.591081,0.580061,178388.9,1965.72,1.98,7,992.67,32.11,3.57,Target
2022-09-27,2022-10-03,SHORT,Trend,0.584474,0.573102,176327.09,2005.26,1.98,6,1012.33,31.74,3.53,Target
2022-10-03,2022-10-10,SHORT,Trend,0.574102,0.563597,194507.89,2043.36,1.98,7,1032.38,35.01,3.89,Target
2022-10-10,2022-11-07,SHORT,Trend,0.567172,0.572177,215078.73,-1076.47,-1.02,28,1052.81,38.71,4.3,Stop
2022-11-07,2022-11-08,SHORT,Trend,0.567032,0.571849,221350.59,-1066.4,-1.02,1,1042.05,39.84,4.43,Stop
2022-11-16,2022-11-18,SHORT,Trend,0.565789,0.5704,229147.87,-1056.59,-1.02,2,1031.38,41.25,4.58,Stop
2022-11-18,2022-11-21,SHORT,Trend,0.568821,0.573964,202843.42,-1043.13,-1.02,3,1020.82,36.51,4.06,Stop
2022-11-21,2022-11-22,SHORT,Trend,0.572619,0.577513,211185.26,-1033.62,-1.02,1,1010.39,38.01,4.22,Stop
2022-12-16,2022-12-30,SHORT,Trend,0.561153,0.566059,208515.98,-1022.99,-1.02,14,1000.05,37.53,4.17,Stop
2022-12-30,2023-01-03,SHORT,Trend,0.5649,0.569869,203701.62,-1012.23,-1.02,4,989.82,36.67,4.07,Stop
2023-06-07,2023-07-06,SHORT,Trend,0.557657,0.562367,212966.04,-1003.12,-1.02,29,979.7,38.33,4.26,Stop
2023-09-07,2023-09-29,SHORT,Trend,0.55928,0.564593,186365.97,-990.17,-1.02,22,969.67,33.55,3.73,Stop
2024-03-20,2024-04-05,SHORT,Trend,0.547143,0.553004,166896.28,-978.12,-1.02,16,959.77,30.04,3.34,Stop
2024-04-05,2024-04-16,SHORT,Trend,0.551956,0.543691,226850.46,1875.01,1.97,11,949.98,40.83,4.54,Target
2024-04-16,2024-05-08,SHORT,Trend,0.546867,0.551508,213798.94,-992.25,-1.02,22,968.73,38.48,4.28,Stop
2024-06-11,2024-07-01,SHORT,Trend,0.543373,0.548387,195513.15,-980.32,-1.02,20,958.81,35.19,3.91,Stop
2024-07-01,2024-07-02,SHORT,Trend,0.543586,0.547983,221374.17,-973.36,-1.03,1,949.01,39.85,4.43,Stop
2025-01-07,2025-01-16,SHORT,Trend,0.53604,0.541593,172568.02,-958.26,-1.02,9,939.28,31.06,3.45,Stop
2025-04-03,2025-04-07,SHORT,Trend,0.535422,0.54035,192952.49,-950.92,-1.02,4,929.69,34.73,3.86,Stop
2025-04-07,2025-05-19,SHORT,Trend,0.539557,0.53077,206866.14,1817.61,1.98,42,920.18,37.24,4.14,Target
2025-05-19,2025-05-27,SHORT,Trend,0.532364,0.535838,278932.15,-969.04,-1.03,8,938.36,50.21,5.58,Stop
2025-05-27,2025-05-28,SHORT,Trend,0.533238,0.537372,230769.98,-954.05,-1.03,1,928.67,41.54,4.62,Stop
2025-08-05,2025-08-06,LONG,Trend,0.555134,0.549764,174760.95,-938.35,-1.02,1,919.13,31.46,3.5,Stop
2025-08-06,2025-08-13,LONG,Trend,0.549883,0.561189,159367.02,1801.96,1.98,7,909.74,28.69,3.19,Target
2025-08-13,2025-08-29,LONG,Trend,0.560553,0.571844,162748.6,1837.63,1.98,16,927.76,29.29,3.25,Target
2025-08-29,2025-09-01,LONG,Trend,0.570117,0.57818,231554.06,1866.81,1.97,3,946.14,41.68,4.63,Target
2025-09-01,2025-09-08,LONG,Trend,0.575381,0.58388,224130.39,1904.96,1.97,7,964.81,40.34,4.48,Target
2025-09-08,2025-09-18,LONG,Trend,0.581983,0.57696,200257.64,-1005.89,-1.02,10,983.86,36.05,4.01,Stop
2025-09-18,2025-10-14,LONG,Trend,0.579911,0.574801,194725.16,-995.22,-1.02,26,973.8,35.05,3.89,Stop
2025-10-14,2025-10-15,LONG,Trend,0.577542,0.572785,207423.19,-986.66,-1.02,1,963.85,37.34,4.15,Stop
