Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-04-16,BUY,414.1310037689209,229,94930.83586294595,5069.164137054046,94.83599986308288,47.39430278015137
2018-05-23,SELL,402.7676621551514,229,92141.56083889614,97210.72497595019,92.23379463352967,46.13996730041504
2018-06-13,BUY,443.05677534484863,208,92247.96508100023,4962.759894949952,92.15580927172851,46.054877197265625
2018-10-05,SELL,466.1734434051514,208,96867.11215204322,101829.87204699317,96.9640762282715,48.506291259765625
2018-11-20,BUY,506.036277923584,191,96749.58201248794,5080.290034505233,96.65292908340454,48.302313385009775
2019-05-09,SELL,558.443660949707,191,106556.07650215265,111636.36653665788,106.66273924139404,53.35804864501953
2019-09-27,BUY,585.9003477172852,181,106154.01089976543,5482.355636892447,106.04796293682861,52.99748272705078
2019-12-27,SELL,689.630110107422,181,124698.22687951392,130180.58251640637,124.82304992944337,62.442746337890625
2020-04-23,BUY,613.5831275024414,201,123453.53883661868,6727.04367978769,123.33020862799071,61.634287170410154
2020-10-22,SELL,954.8792551269531,201,191738.79955023705,198465.84323002474,191.93073028051757,96.01337182617188
2021-01-21,BUY,952.4094994812011,197,187812.29606919442,10653.54716083032,187.62467139779662,93.7654529724121
2021-04-13,SELL,875.5005683288575,197,172301.13834882414,182954.68550965446,172.47361196078495,86.27994595336914
2021-05-31,BUY,980.037320159912,177,173640.0722739727,9314.613235681754,173.46660566830442,86.6899578552246
2021-06-28,SELL,948.6805127868653,177,167748.53431251188,177063.14754819364,167.91645076327515,84.00022549438476
2021-08-17,BUY,985.2522065734863,170,167660.36799261018,9402.77955558346,167.4928751174927,83.70458526611328
2021-11-23,SELL,1085.0476588745119,170,184273.64390665834,193676.4234622418,184.45810200866703,92.27518859863281
2022-01-13,BUY,1154.1688370361328,159,183696.35793383385,9980.065528407955,183.5128450887451,91.7105672607422
2022-02-25,SELL,1038.7052410888673,159,164988.97919979677,174969.04472820472,165.1541333331299,82.61837585449219
2022-03-23,BUY,1155.9442604370117,143,165465.32927173516,9503.715456469567,165.30002924249268,82.60871026611328
2022-09-19,SELL,1141.7888053588867,143,163112.52336715447,172616.23882362404,163.2757991663208,81.67873895263672
2022-11-01,BUY,1155.445353881836,141,163080.71269223618,9535.526131387858,162.91779489733887,81.41818835449219
2022-12-26,SELL,1151.6442267456055,141,162219.45413515923,171754.9802665471,162.38183597113039,81.23153375244141
2023-05-03,BUY,1105.3198397827148,147,162644.4984645071,9110.481802039983,162.48201644805906,81.20040802001954
2023-08-29,SELL,1200.6831715698243,147,176323.9257945434,185434.4075965834,176.50042622076418,88.29436029052735
2023-12-07,BUY,1220.108650817871,144,175871.34136349117,9563.06623309222,175.6956457177734,87.8039208984375
2024-03-14,SELL,1420.2474067993164,144,204311.11095252246,213874.17718561468,204.5156265791016,102.3089677734375
2024-06-04,BUY,1387.702659851074,146,202807.19292659505,11066.984259019635,202.60458833825683,101.25166833496094
2024-10-04,SELL,1380.3188947143556,146,201325.03206966762,212392.01632868726,201.52655862829593,100.81368615722657
2025-01-20,BUY,1300.9069643554687,155,201842.22005457274,10549.796274114517,201.64057947509767,100.76990478515626
2025-03-04,SELL,1156.6993151245117,155,179109.105450455,189658.90172456953,179.28839384429932,89.6890414428711
2025-03-25,BUY,1280.9765939941406,140,179516.05988233883,10142.8418422307,179.33672315917968,89.6235498046875
2025-04-07,SELL,1160.4822127685547,140,162305.04227781008,172447.88412004078,162.46750978759766,81.27439208984376
2025-04-29,BUY,1394.8290239868163,117,163358.19080226394,9089.693317776837,163.1949958064575,81.55671954345704
2025-07-22,SELL,1406.4763416748049,117,164393.17424397622,173482.86756175305,164.55773197595218,82.32002600097657
2025-10-20,BUY,1467.533448852539,112,164528.11001775585,8954.757543997199,164.3637462714844,82.140802734375
2026-01-07,SELL,1503.447851196289,112,168217.77317465039,177172.53071864758,168.38615933398438,84.235197265625
