Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-10-24,BUY,465.26068180847165,204,95008.09226801714,4991.907731982865,94.91317908892822,47.432873107910154
2019-09-09,SELL,546.4815663757324,204,111370.75730110877,116362.66503309163,111.48223954064942,55.76900427246094
2019-10-23,BUY,623.2059174499511,177,110417.75483602997,5944.910197061661,110.30744738864135,55.12616061401367
2020-03-25,SELL,483.9057837371826,177,85565.67239775984,91510.5825948215,85.65132372148133,42.847085403442385
2020-06-15,BUY,729.4849825744628,119,86895.52163928744,4615.060955534063,86.80871292636108,43.38266513061524
2021-04-08,SELL,908.8337469177246,119,108043.06466732602,112658.12562286008,108.15121588320923,54.102659271240235
2021-06-28,BUY,949.6296678771972,112,106464.88132504832,6193.2442978117615,106.3585228022461,53.152685058593754
2022-10-28,SELL,1152.602365600586,112,128962.37348231836,135155.61778013012,129.09146494726562,64.578021484375
2022-12-13,BUY,1198.9028627929688,107,128410.8889251665,6744.728854963629,128.28260631884766,64.10924853515625
2023-02-06,SELL,1054.641482849121,107,112733.7920261911,119478.52088115473,112.84663866485596,56.45154510498047
2023-06-27,BUY,1140.190904296875,99,112991.77842491602,6486.742456238717,112.87889952539064,56.411244140625
2024-10-24,SELL,1333.8031017456055,99,131914.46056574213,138401.20302198085,132.04650707281493,66.05628167724609
2025-05-30,BUY,1415.9553045043945,92,130398.15590241869,8003.047119562165,130.2678880144043,65.10139331054688
2026-03-10,SELL,1408.0956488037111,92,129415.25489025148,137418.30200981366,129.54479968994144,64.80480224609376
