Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,401.86,100000.0,0.0,HOLD
2018-01-02,100000.0,0,402.48,100000.0,0.0,HOLD
2018-01-03,100000.0,0,404.1,100000.0,0.0,HOLD
2018-01-04,100000.0,0,406.53,100000.0,0.0,HOLD
2018-01-05,100000.0,0,407.83,100000.0,0.0,HOLD
2018-01-08,100000.0,0,410.17,100000.0,0.0,HOLD
2018-01-09,100000.0,0,415.65,100000.0,0.0,HOLD
2018-01-10,100000.0,0,416.27,100000.0,0.0,HOLD
2018-01-11,100000.0,0,414.23,100000.0,0.0,HOLD
2018-01-12,100000.0,0,419.2,100000.0,-1.0,HOLD
2018-01-15,100000.0,0,419.27,100000.0,-1.0,HOLD
2018-01-16,100000.0,0,407.7,100000.0,-1.0,HOLD
2018-01-17,100000.0,0,408.38,100000.0,0.0,HOLD
2018-01-18,100000.0,0,406.26,100000.0,0.0,HOLD
2018-01-19,100000.0,0,411.38,100000.0,0.0,HOLD
2018-01-22,100000.0,0,429.14,100000.0,0.0,HOLD
2018-01-23,100000.0,0,434.33,100000.0,-1.0,HOLD
2018-01-24,100000.0,0,426.87,100000.0,-1.0,HOLD
2018-01-25,100000.0,0,426.67,100000.0,0.0,HOLD
2018-01-29,100000.0,0,426.05,100000.0,0.0,HOLD
2018-01-30,100000.0,0,419.82,100000.0,0.0,HOLD
2018-01-31,100000.0,0,424.64,100000.0,0.0,HOLD
2018-02-01,100000.0,0,416.93,100000.0,0.0,HOLD
2018-02-02,100000.0,0,399.48,100000.0,0.0,HOLD
2018-02-05,100000.0,0,398.51,100000.0,0.0,HOLD
2018-02-06,100000.0,0,394.07,100000.0,0.0,HOLD
2018-02-07,100000.0,0,395.08,100000.0,0.0,HOLD
2018-02-08,100000.0,0,399.57,100000.0,0.0,HOLD
2018-02-09,100000.0,0,396.61,100000.0,0.0,HOLD
2018-02-12,100000.0,0,404.4,100000.0,0.0,HOLD
2018-02-14,100000.0,0,412.42,100000.0,0.0,HOLD
2018-02-15,100000.0,0,413.31,100000.0,0.0,HOLD
2018-02-16,100000.0,0,406.97,100000.0,0.0,HOLD
2018-02-19,100000.0,0,409.48,100000.0,0.0,HOLD
2018-02-20,100000.0,0,406.88,100000.0,0.0,HOLD
2018-02-21,100000.0,0,410.52,100000.0,0.0,HOLD
2018-02-22,100000.0,0,408.31,100000.0,0.0,HOLD
2018-02-23,100000.0,0,412.69,100000.0,0.0,HOLD
2018-02-26,100000.0,0,414.65,100000.0,0.0,HOLD
2018-02-27,100000.0,0,419.87,100000.0,0.0,HOLD
2018-02-28,100000.0,0,421.65,100000.0,0.0,HOLD
2018-03-01,100000.0,0,418.94,100000.0,0.0,HOLD
2018-03-05,100000.0,0,408.2,100000.0,0.0,HOLD
2018-03-06,100000.0,0,402.35,100000.0,0.0,HOLD
2018-03-07,100000.0,0,393.03,100000.0,0.0,HOLD
2018-03-08,100000.0,0,402.62,100000.0,0.0,HOLD
