Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-04-12,BUY,1289.6890779418945,73,94241.44999244805,5758.550007551952,94.1473026897583,47.05012628173828
2018-10-15,SELL,1616.7809268188478,73,117906.98265011811,123665.53265767006,118.02500765777589,59.042024841308596
2019-01-29,BUY,1653.0037011108398,71,117480.62604164849,6184.906616021573,117.36326277886963,58.65230523681641
2019-07-08,SELL,1826.464118713379,71,129549.27347622128,135734.18009224284,129.67895242864992,64.87191217041016
2019-08-06,BUY,1865.8363826293944,69,128871.45311182963,6862.726980413208,128.7427104014282,64.33918560791015
2019-09-23,SELL,1696.4167481689453,69,116935.70286803356,123798.42984844677,117.05275562365723,58.555655639648435
2019-10-27,BUY,1822.3429671020506,64,116746.57984442575,7051.85000402102,116.62994989453124,58.28583203125
2020-01-31,SELL,1793.0477297973634,64,114640.29965232423,121692.14965634525,114.75505470703126,57.40623046875
2020-04-24,BUY,1581.4228846435547,73,115559.31444955846,6132.835206786796,115.4438705789795,57.69308874511719
2021-02-23,SELL,2618.515282714844,73,190960.46402254544,197093.29922933225,191.1516156381836,95.62361962890625
2021-04-01,BUY,2783.6699479980466,67,186692.39240238495,10400.906826947292,186.50588651586912,93.20634008789062
2021-07-12,SELL,2819.300826049805,67,188704.2621899916,199105.1690169389,188.89315534533694,94.49382458496093
2021-08-04,BUY,2899.893069580078,65,188681.54257222777,10423.626444711117,188.4930495227051,94.19942504882813
2021-10-04,SELL,3338.850979614258,65,216808.28836125182,227231.91480596294,217.02531367492676,108.56694030761719
2021-12-02,BUY,3232.880769287109,66,213583.50090372213,13648.413902240805,213.3701307729492,106.63174951171875
2022-01-28,SELL,3277.1994477539065,66,216078.8683882061,229727.2822904469,216.29516355175784,108.2016826171875
2022-04-06,BUY,3338.530491577148,65,217221.4864344671,12505.795855979784,217.00448195251462,108.44801696777344
2022-04-19,SELL,3083.4565239257813,65,200224.2493811206,212730.0452371004,200.4246740551758,100.26246826171875
2022-11-02,BUY,2916.491696777344,69,201439.16500471433,11290.880232386058,201.23792707763673,100.56867919921875
2022-12-20,SELL,2915.598600341797,69,200975.1271201604,212266.00735254647,201.17630342358402,100.63847094726563
2023-01-16,BUY,3067.758210205078,65,199603.68794699336,12662.319405553106,199.40428366333006,99.65231567382813
2023-02-28,SELL,3045.2053953857426,65,197740.4123493732,210402.7317549263,197.93835070007327,99.01868469238282
2023-07-03,BUY,3033.333291503906,65,197363.8306117016,13038.901143224706,197.16666394775388,98.53406494140626
2023-10-25,SELL,3155.697973022461,65,204915.24787821353,217954.14902143824,205.12036824645998,102.61148986816407
2023-11-17,BUY,3263.5411113281248,63,205808.6931036855,12145.455917752726,205.60309001367187,102.750169921875
2024-03-27,SELL,3600.235846801758,63,226588.04349016224,238733.49940791496,226.81485834851077,113.46416125488281
2024-07-02,BUY,3796.841319580078,59,224237.65149307981,14495.847914835147,224.0136378552246,111.95084350585938
2024-09-19,SELL,4065.650484008789,59,239633.50517796204,254129.3530927972,239.87337855651856,119.99668762207031
2024-11-26,BUY,4133.34737915039,58,239973.88213871335,14155.470954083838,239.73414799072265,119.80717041015625
2024-12-23,SELL,3944.7966345214845,58,228569.40659744386,242724.8775515277,228.7982048022461,114.45633056640625
2025-05-13,BUY,3399.28106652832,67,227979.5832888548,14745.29426267289,227.75183145739743,113.81900622558594
2025-07-14,SELL,3141.1627637939455,67,210247.44726902014,224992.74153169303,210.45790517419434,105.28159338378906
2025-08-26,BUY,3090.8530037841797,69,213482.1261183695,11510.61541332354,213.26885726110842,106.58113806152343
2025-09-26,SELL,2835.3401656494143,69,195442.83295837976,206953.4483717033,195.63847142980958,97.86816979980469
2025-11-13,BUY,3051.7748807373046,64,195508.90595955466,11444.542412148643,195.31359236718748,97.6079921875
2026-02-05,SELL,2990.00425,64,191168.911728,202613.45414014865,191.360272,95.72800000000001
