Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,1083.77,100000.0,0.0,HOLD
2018-01-02,100000.0,0,1077.87,100000.0,0.0,HOLD
2018-01-03,100000.0,0,1080.92,100000.0,0.0,HOLD
2018-01-04,100000.0,0,1088.48,100000.0,0.0,HOLD
2018-01-05,100000.0,0,1101.63,100000.0,0.0,HOLD
2018-01-08,100000.0,0,1111.96,100000.0,0.0,HOLD
2018-01-09,100000.0,0,1109.74,100000.0,0.0,HOLD
2018-01-10,100000.0,0,1149.73,100000.0,0.0,HOLD
2018-01-11,100000.0,0,1143.13,100000.0,0.0,HOLD
2018-01-12,100000.0,0,1137.33,100000.0,0.0,HOLD
2018-01-15,100000.0,0,1124.94,100000.0,0.0,HOLD
2018-01-16,100000.0,0,1167.85,100000.0,0.0,HOLD
2018-01-17,100000.0,0,1183.46,100000.0,0.0,HOLD
2018-01-18,100000.0,0,1195.44,100000.0,0.0,HOLD
2018-01-19,100000.0,0,1212.28,100000.0,0.0,HOLD
2018-01-22,100000.0,0,1279.66,100000.0,0.0,HOLD
2018-01-23,100000.0,0,1273.75,100000.0,0.0,HOLD
2018-01-24,100000.0,0,1303.56,100000.0,0.0,HOLD
2018-01-25,100000.0,0,1281.57,100000.0,0.0,HOLD
2018-01-29,100000.0,0,1313.52,100000.0,0.0,HOLD
2018-01-30,100000.0,0,1294.63,100000.0,0.0,HOLD
2018-01-31,100000.0,0,1278.0,100000.0,0.0,HOLD
2018-02-01,100000.0,0,1288.78,100000.0,0.0,HOLD
2018-02-02,100000.0,0,1294.96,100000.0,0.0,HOLD
2018-02-05,100000.0,0,1274.24,100000.0,0.0,HOLD
2018-02-06,100000.0,0,1230.74,100000.0,0.0,HOLD
2018-02-07,100000.0,0,1213.41,100000.0,0.0,HOLD
2018-02-08,100000.0,0,1221.27,100000.0,0.0,HOLD
2018-02-09,100000.0,0,1220.24,100000.0,0.0,HOLD
2018-02-12,100000.0,0,1218.44,100000.0,0.0,HOLD
2018-02-14,100000.0,0,1195.65,100000.0,0.0,HOLD
2018-02-15,100000.0,0,1201.42,100000.0,0.0,HOLD
2018-02-16,100000.0,0,1204.37,100000.0,0.0,HOLD
2018-02-19,100000.0,0,1200.49,100000.0,0.0,HOLD
2018-02-20,100000.0,0,1209.18,100000.0,0.0,HOLD
2018-02-21,100000.0,0,1249.24,100000.0,0.0,HOLD
2018-02-22,100000.0,0,1252.48,100000.0,0.0,HOLD
2018-02-23,100000.0,0,1262.99,100000.0,0.0,HOLD
2018-02-26,100000.0,0,1244.88,100000.0,0.0,HOLD
2018-02-27,100000.0,0,1249.26,100000.0,0.0,HOLD
2018-02-28,100000.0,0,1246.26,100000.0,0.0,HOLD
2018-03-01,100000.0,0,1247.35,100000.0,0.0,HOLD
2018-03-05,100000.0,0,1275.33,100000.0,0.0,HOLD
2018-03-06,100000.0,0,1249.44,100000.0,0.0,HOLD
2018-03-07,100000.0,0,1243.14,100000.0,0.0,HOLD
2018-03-08,100000.0,0,1233.49,100000.0,0.0,HOLD
2018-03-09,100000.0,0,1245.87,100000.0,0.0,HOLD
2018-03-12,100000.0,0,1253.28,100000.0,0.0,HOLD
2018-03-13,100000.0,0,1185.38,100000.0,0.0,HOLD
2018-03-14,100000.0,0,1185.42,100000.0,0.0,HOLD
2018-03-15,100000.0,0,1178.36,100000.0,0.0,HOLD
2018-03-16,100000.0,0,1160.29,100000.0,0.0,HOLD
2018-03-19,100000.0,0,1162.47,100000.0,0.0,HOLD
2018-03-20,100000.0,0,1176.37,100000.0,0.0,HOLD
2018-03-21,100000.0,0,1173.04,100000.0,0.0,HOLD
2018-03-22,100000.0,0,1162.61,100000.0,0.0,HOLD
2018-03-23,100000.0,0,1157.19,100000.0,0.0,HOLD
2018-03-26,100000.0,0,1156.72,100000.0,0.0,HOLD
2018-03-27,100000.0,0,1169.33,100000.0,0.0,HOLD
2018-03-28,100000.0,0,1169.92,100000.0,0.0,HOLD
2018-04-02,100000.0,0,1194.77,100000.0,0.0,HOLD
2018-04-03,100000.0,0,1195.42,100000.0,0.0,HOLD
2018-04-04,100000.0,0,1195.28,100000.0,0.0,HOLD
2018-04-05,100000.0,0,1214.6,100000.0,0.0,HOLD
2018-04-06,100000.0,0,1211.46,100000.0,0.0,HOLD
2018-04-09,100000.0,0,1200.62,100000.0,0.0,HOLD
2018-04-10,100000.0,0,1206.24,100000.0,0.0,HOLD
2018-04-11,100000.0,0,1237.68,100000.0,0.0,HOLD
2018-04-12,100000.0,0,1289.04,100000.0,0.0,HOLD
2018-04-13,100000.0,0,1294.81,100000.0,0.0,HOLD
2018-04-16,100000.0,0,1308.92,100000.0,0.0,HOLD
2018-04-17,100000.0,0,1300.28,100000.0,0.0,HOLD
2018-04-18,100000.0,0,1297.2,100000.0,0.0,HOLD
2018-04-19,100000.0,0,1310.36,100000.0,0.0,HOLD
2018-04-20,100000.0,0,1397.12,100000.0,0.0,HOLD
2018-04-23,100000.0,0,1399.67,100000.0,0.0,HOLD
2018-04-24,100000.0,0,1390.22,100000.0,0.0,HOLD
2018-04-25,100000.0,0,1424.96,100000.0,0.0,HOLD
2018-04-26,100000.0,0,1453.29,100000.0,0.0,HOLD
2018-04-27,100000.0,0,1417.45,100000.0,0.0,HOLD
2018-04-30,100000.0,0,1450.36,100000.0,0.0,HOLD
2018-05-02,100000.0,0,1437.07,100000.0,0.0,HOLD
2018-05-03,100000.0,0,1429.72,100000.0,0.0,HOLD
2018-05-04,100000.0,0,1429.27,100000.0,0.0,HOLD
2018-05-07,100000.0,0,1404.72,100000.0,0.0,HOLD
2018-05-08,100000.0,0,1413.03,100000.0,0.0,HOLD
