Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,1083.77,100000.0,0.0,HOLD
2018-01-02,100000.0,0,1077.87,100000.0,0.0,HOLD
2018-01-03,5818.43,87,1080.92,99858.89,1.0,BUY
2018-01-04,5818.43,87,1088.48,100516.44,1.0,HOLD
2018-01-05,5818.43,87,1101.63,101660.41,1.0,HOLD
2018-01-08,5818.43,87,1111.96,102558.55,1.0,HOLD
2018-01-09,5818.43,87,1109.74,102366.11,0.0,HOLD
2018-01-10,5818.43,87,1149.73,105844.54,0.0,HOLD
2018-01-11,5818.43,87,1143.13,105270.72,0.0,HOLD
2018-01-12,5818.43,87,1137.33,104766.42,0.0,HOLD
2018-01-15,5818.43,87,1124.94,103688.33,0.0,HOLD
2018-01-16,5818.43,87,1167.85,107421.57,0.0,HOLD
2018-01-17,5818.43,87,1183.46,108779.43,0.0,HOLD
2018-01-18,5818.43,87,1195.44,109821.91,0.0,HOLD
2018-01-19,5818.43,87,1212.28,111286.7,0.0,HOLD
2018-01-22,5818.43,87,1279.66,117149.04,0.0,HOLD
2018-01-23,116468.42,0,1273.75,116468.42,-1.0,SELL
2018-01-24,116468.42,0,1303.56,116468.42,-1.0,HOLD
2018-01-25,116468.42,0,1281.57,116468.42,-1.0,HOLD
2018-01-29,116468.42,0,1313.52,116468.42,-1.0,HOLD
2018-01-30,116468.42,0,1294.63,116468.42,-1.0,HOLD
2018-01-31,116468.42,0,1278.0,116468.42,-1.0,HOLD
2018-02-01,116468.42,0,1288.78,116468.42,0.0,HOLD
2018-02-02,116468.42,0,1294.96,116468.42,0.0,HOLD
2018-02-05,116468.42,0,1274.24,116468.42,0.0,HOLD
2018-02-06,116468.42,0,1230.74,116468.42,0.0,HOLD
2018-02-07,116468.42,0,1213.41,116468.42,0.0,HOLD
2018-02-08,116468.42,0,1221.27,116468.42,0.0,HOLD
2018-02-09,116468.42,0,1220.24,116468.42,0.0,HOLD
2018-02-12,116468.42,0,1218.44,116468.42,0.0,HOLD
2018-02-14,116468.42,0,1195.65,116468.42,0.0,HOLD
2018-02-15,116468.42,0,1201.42,116468.42,0.0,HOLD
2018-02-16,116468.42,0,1204.37,116468.42,0.0,HOLD
2018-02-19,116468.42,0,1200.49,116468.42,0.0,HOLD
2018-02-20,116468.42,0,1209.18,116468.42,0.0,HOLD
2018-02-21,116468.42,0,1249.24,116468.42,0.0,HOLD
2018-02-22,116468.42,0,1252.48,116468.42,0.0,HOLD
2018-02-23,116468.42,0,1262.99,116468.42,0.0,HOLD
2018-02-26,116468.42,0,1244.88,116468.42,0.0,HOLD
2018-02-27,116468.42,0,1249.26,116468.42,0.0,HOLD
2018-02-28,116468.42,0,1246.26,116468.42,0.0,HOLD
2018-03-01,116468.42,0,1247.35,116468.42,0.0,HOLD
2018-03-05,116468.42,0,1275.33,116468.42,0.0,HOLD
2018-03-06,116468.42,0,1249.44,116468.42,0.0,HOLD
2018-03-07,116468.42,0,1243.14,116468.42,0.0,HOLD
2018-03-08,116468.42,0,1233.49,116468.42,0.0,HOLD
2018-03-09,116468.42,0,1245.87,116468.42,0.0,HOLD
2018-03-12,116468.42,0,1253.28,116468.42,0.0,HOLD
2018-03-13,116468.42,0,1185.38,116468.42,0.0,HOLD
2018-03-14,116468.42,0,1185.42,116468.42,0.0,HOLD
2018-03-15,116468.42,0,1178.36,116468.42,0.0,HOLD
2018-03-16,116468.42,0,1160.29,116468.42,0.0,HOLD
2018-03-19,116468.42,0,1162.47,116468.42,0.0,HOLD
2018-03-20,116468.42,0,1176.37,116468.42,0.0,HOLD
2018-03-21,116468.42,0,1173.04,116468.42,0.0,HOLD
2018-03-22,116468.42,0,1162.61,116468.42,0.0,HOLD
2018-03-23,116468.42,0,1157.19,116468.42,0.0,HOLD
2018-03-26,116468.42,0,1156.72,116468.42,0.0,HOLD
2018-03-27,116468.42,0,1169.33,116468.42,0.0,HOLD
2018-03-28,116468.42,0,1169.92,116468.42,0.0,HOLD
2018-04-02,116468.42,0,1194.77,116468.42,0.0,HOLD
2018-04-03,116468.42,0,1195.42,116468.42,0.0,HOLD
2018-04-04,116468.42,0,1195.28,116468.42,0.0,HOLD
2018-04-05,116468.42,0,1214.6,116468.42,0.0,HOLD
2018-04-06,116468.42,0,1211.46,116468.42,0.0,HOLD
2018-04-09,116468.42,0,1200.62,116468.42,0.0,HOLD
2018-04-10,116468.42,0,1206.24,116468.42,0.0,HOLD
2018-04-11,116468.42,0,1237.68,116468.42,0.0,HOLD
2018-04-12,116468.42,0,1289.04,116468.42,0.0,HOLD
2018-04-13,116468.42,0,1294.81,116468.42,-1.0,HOLD
2018-04-16,116468.42,0,1308.92,116468.42,-1.0,HOLD
2018-04-17,116468.42,0,1300.28,116468.42,-1.0,HOLD
2018-04-18,116468.42,0,1297.2,116468.42,-1.0,HOLD
2018-04-19,116468.42,0,1310.36,116468.42,0.0,HOLD
2018-04-20,116468.42,0,1397.12,116468.42,-1.0,HOLD
2018-04-23,116468.42,0,1399.67,116468.42,-1.0,HOLD
2018-04-24,116468.42,0,1390.22,116468.42,-1.0,HOLD
2018-04-25,116468.42,0,1424.96,116468.42,-1.0,HOLD
2018-04-26,116468.42,0,1453.29,116468.42,-1.0,HOLD
2018-04-27,116468.42,0,1417.45,116468.42,-1.0,HOLD
2018-04-30,116468.42,0,1450.36,116468.42,-1.0,HOLD
2018-05-02,116468.42,0,1437.07,116468.42,-1.0,HOLD
2018-05-03,116468.42,0,1429.72,116468.42,-1.0,HOLD
2018-05-04,116468.42,0,1429.27,116468.42,-1.0,HOLD
2018-05-07,116468.42,0,1404.72,116468.42,-1.0,HOLD
2018-05-08,116468.42,0,1413.03,116468.42,0.0,HOLD
