Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-01-03,BUY,1081.4652670898438,87,94181.56571505322,5818.434284946779,94.08747823681642,47.02022900390625
2018-01-23,SELL,1273.112026916504,87,110649.98559539412,116468.4198803409,110.76074634173585,55.40807720947266
2018-10-29,BUY,1556.5024716796875,71,110622.18716474705,5846.23271559384,110.51167548925781,55.2282236328125
2019-02-05,SELL,1702.8223572387697,71,120779.48697658868,126625.71969218252,120.90038736395265,60.48043389892578
2019-09-24,BUY,1722.4596763916015,69,118968.56738869152,7657.152303491006,118.84971767102051,59.395161254882815
2019-10-31,SELL,1952.9931077270508,69,134621.76790873334,142278.92021222436,134.75652443316653,67.41196820068357
2020-03-13,BUY,1559.3767108154295,86,134240.50352725707,8038.416684967291,134.10639713012696,67.01968872070313
2020-07-07,SELL,1977.7434216918944,86,169915.8483312374,177954.26501620468,170.0859342655029,85.0855098876953
2021-10-29,BUY,3015.323314453125,56,169026.96371498436,8927.301301220316,168.858105609375,84.386859375
2022-01-04,SELL,3444.0642158203127,56,192674.72848985158,201602.0297910719,192.86759608593752,96.48203906250001
2022-02-25,BUY,3129.9694760742186,61,191119.06617856782,10482.96361250407,190.92813804052733,95.41636083984375
2022-11-17,SELL,3010.015479614258,61,183427.33331221325,193910.29692471732,183.61094425646974,91.85139782714845
2023-03-21,BUY,2858.014963256836,64,183095.87060608593,10814.426318631391,182.9129576484375,91.4107734375
2023-07-17,SELL,3233.476203125,64,206735.534523,217549.9608416314,206.94247700000003,103.523
2024-10-14,BUY,3918.624348632812,52,203972.23459503512,13577.726246596285,203.76846612890623,101.83331640625
2025-12-23,SELL,3249.2766485595703,52,168793.42333937256,182371.14958596884,168.96238572509765,84.52345458984375
2026-02-13,BUY,2693.5460511474607,64,172559.3342207109,9811.815365257935,172.3869472734375,86.1503984375
