Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-12-11,2018-12-20,SHORT,Breakout,1.255162,1.264675,133125.44,-1266.48,-1.27,9,1000.0,13.79,2.12,Stop
2018-12-20,2018-12-24,SHORT,Breakout,1.2606,1.269652,138801.19,-1256.43,-1.27,4,987.34,14.31,2.2,Stop
2019-01-02,2019-01-04,LONG,Breakout,1.293075,1.283516,133032.36,-1271.76,-1.3,2,974.77,13.37,2.06,Stop
2019-01-04,2019-01-07,LONG,Breakout,1.290035,1.279691,120977.62,-1251.37,-1.3,3,962.05,12.19,1.88,Stop
2019-01-07,2019-01-08,LONG,Breakout,1.283503,1.272621,112875.56,-1228.33,-1.29,1,949.54,11.43,1.76,Stop
2019-01-08,2019-01-25,LONG,Breakout,1.280159,1.268726,105729.06,-1208.82,-1.29,17,937.26,10.74,1.65,Stop
2019-02-01,2019-02-08,SHORT,Breakout,1.260418,1.240444,116266.67,2322.31,2.51,7,925.17,11.99,1.84,Target
2019-02-08,2019-03-12,SHORT,Breakout,1.245758,1.22255,101443.56,2354.31,2.48,32,948.39,10.59,1.63,Target
2019-03-12,2019-03-27,SHORT,Breakout,1.225185,1.235297,118766.47,-1200.89,-1.24,15,971.93,12.6,1.94,Stop
2019-06-26,2019-07-05,SHORT,Breakout,1.241949,1.2534,104887.8,-1201.09,-1.25,9,959.93,10.98,1.69,Stop
2019-07-05,2019-07-08,SHORT,Breakout,1.24724,1.257458,116675.06,-1192.19,-1.26,3,947.91,12.16,1.87,Stop
2019-11-28,2019-12-10,SHORT,Breakout,1.220531,1.230254,118532.61,-1152.48,-1.23,12,935.99,12.63,1.94,Stop
2019-12-10,2019-12-16,SHORT,Breakout,1.226005,1.240455,78898.52,-1140.11,-1.23,6,924.47,8.37,1.29,Stop
2020-05-15,2020-05-18,SHORT,Breakout,1.134874,1.147184,84757.64,-1043.42,-1.14,3,913.07,9.71,1.49,Stop
2020-05-18,2020-07-15,SHORT,Breakout,1.142545,1.154636,85900.19,-1038.6,-1.15,58,902.63,9.77,1.5,Stop
2020-11-02,2020-11-04,LONG,Breakout,1.165853,1.155551,101812.74,-1048.88,-1.18,2,892.25,11.35,1.75,Stop
