Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-04-30,2018-05-01,SHORT,MeanReversion,1.333002,1.342858,136428.41,-1344.6,-1.34,1,1000.0,13.31,2.05,Stop
2018-05-01,2018-05-02,SHORT,MeanReversion,1.335167,1.346246,119808.46,-1327.4,-1.35,1,986.55,11.67,1.79,Stop
2018-05-02,2018-05-17,SHORT,MeanReversion,1.346324,1.323456,114173.17,2611.0,2.68,15,973.28,11.02,1.7,Target
2019-01-02,2019-01-08,SHORT,MeanReversion,1.292905,1.274041,136374.34,2572.64,2.57,6,999.39,13.71,2.11,Target
2019-01-08,2019-01-11,SHORT,MeanReversion,1.279989,1.291422,115624.94,-1321.97,-1.29,3,1025.12,11.74,1.81,Stop
2020-10-23,2020-10-26,SHORT,MeanReversion,1.141194,1.149402,142147.48,-1166.85,-1.15,3,1011.9,16.19,2.49,Stop
2020-10-26,2020-10-27,SHORT,MeanReversion,1.14228,1.151917,119608.17,-1152.71,-1.15,1,1000.23,13.61,2.09,Stop
2020-10-27,2020-10-30,SHORT,MeanReversion,1.157497,1.167108,120133.45,-1154.63,-1.17,3,988.7,13.49,2.08,Stop
2020-10-30,2020-11-13,SHORT,MeanReversion,1.164285,1.174174,116051.12,-1147.55,-1.17,14,977.15,12.96,1.99,Stop
2020-11-13,2020-11-17,SHORT,MeanReversion,1.171756,1.180769,126744.32,-1142.31,-1.18,4,965.68,14.06,2.16,Stop
2020-11-17,2020-11-19,SHORT,MeanReversion,1.176414,1.187433,102670.36,-1131.33,-1.19,2,954.26,11.35,1.75,Stop
2020-11-19,2020-11-24,SHORT,MeanReversion,1.185645,1.19602,108641.33,-1127.23,-1.2,5,942.94,11.91,1.83,Stop
2020-11-24,2020-11-30,SHORT,MeanReversion,1.192345,1.203231,102844.87,-1119.61,-1.2,6,931.67,11.21,1.73,Stop
2020-11-30,2020-12-11,SHORT,MeanReversion,1.201708,1.18015,102220.39,2203.59,2.39,11,920.47,11.06,1.7,Target
2021-11-01,2021-11-05,LONG,MeanReversion,1.240615,1.233814,174127.51,-1184.09,-1.26,4,942.51,18.25,2.81,Stop
2021-11-05,2021-11-09,LONG,MeanReversion,1.235021,1.22698,144462.71,-1161.68,-1.25,4,930.67,15.21,2.34,Stop
2021-11-09,2021-11-10,LONG,MeanReversion,1.230084,1.221728,136683.79,-1142.13,-1.24,1,919.05,14.45,2.22,Stop
2021-11-10,2021-11-12,LONG,MeanReversion,1.223586,1.215621,140938.77,-1122.54,-1.24,2,907.63,14.97,2.3,Stop
2021-11-12,2021-11-15,LONG,MeanReversion,1.221653,1.213686,138943.08,-1106.91,-1.23,3,896.41,14.79,2.27,Stop
2021-11-15,2021-11-26,LONG,MeanReversion,1.215874,1.207986,137946.21,-1088.18,-1.23,11,885.34,14.75,2.27,Stop
2021-11-26,2021-12-03,LONG,MeanReversion,1.210856,1.226573,134016.89,2106.29,2.41,7,874.46,14.39,2.21,Target
2021-12-24,2022-01-04,LONG,MeanReversion,1.20384,1.222032,117968.99,2146.09,2.4,11,895.52,12.74,1.96,Target
2022-02-04,2022-02-24,LONG,MeanReversion,1.204435,1.196517,140998.16,-1116.43,-1.22,20,916.98,15.22,2.34,Stop
2022-02-24,2022-03-07,LONG,MeanReversion,1.200983,1.193861,154586.37,-1101.01,-1.22,11,905.81,16.73,2.57,Stop
2024-11-26,2024-12-13,LONG,MeanReversion,1.014827,1.030293,116789.61,1806.22,2.02,17,894.8,14.96,2.3,Target
2026-02-26,2026-02-27,SHORT,MeanReversion,1.026897,1.035509,109935.23,-946.76,-1.04,1,912.87,13.92,2.14,Stop
2026-02-27,2026-03-12,SHORT,MeanReversion,1.033882,1.042143,114228.66,-943.72,-1.04,13,903.4,14.36,2.21,Stop
2026-03-12,2026-03-19,SHORT,MeanReversion,1.039062,1.04754,110665.96,-938.29,-1.05,7,893.96,13.85,2.13,Stop
2026-03-19,2026-03-20,SHORT,MeanReversion,1.044648,1.051574,135080.03,-935.56,-1.06,1,884.58,16.81,2.59,Stop
2026-03-20,2026-03-24,SHORT,MeanReversion,1.05101,1.03676,128335.37,1828.83,2.09,4,875.22,15.87,2.44,Target
2026-03-24,2026-04-09,SHORT,MeanReversion,1.042489,1.032053,123954.1,1293.58,1.45,16,893.51,15.46,2.38,EndOfTest
