Date,Open,High,Low,Close,Signal,Position,Units,Cash_Equity,Portfolio_Value,Stop_Price,Take_Profit,Action
2018-01-01,1.3306826836196288,1.331236153297166,1.3301292139420915,1.3306826836196288,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-02,1.3306826836196288,1.330950798822118,1.3305436118957887,1.330811727098278,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-03,1.330811727098278,1.3326346397905595,1.3271489514622823,1.3289718641545638,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-04,1.3289718641545638,1.3293970516032654,1.3232165346029057,1.3236417220516072,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-05,1.3236417220516072,1.338637482839733,1.322168290300758,1.3371640510888836,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-08,1.3371640510888836,1.345939960951564,1.3349676666346153,1.3437435764972958,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-09,1.3437435764972958,1.3453757019420964,1.3357686528794364,1.337400778324237,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-10,1.337400778324237,1.3378080401012649,1.3365930720054682,1.337000333782496,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-11,1.337000333782496,1.3380222635454704,1.3242211093863474,1.3252430391493215,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-12,1.3252430391493215,1.3269480824528008,1.310154509825882,1.311859553129361,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-15,1.311859553129361,1.313740150552363,1.3106624554889317,1.3125430529119333,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-16,1.3125430529119333,1.3226450249074062,1.3103664161473323,1.3204683881428052,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-17,1.3204683881428052,1.3346373077924978,1.3187243762732854,1.332893295922978,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-18,1.332893295922978,1.3363548549410065,1.3320142314238297,1.3354757904418575,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-19,1.3354757904418575,1.3372722414436804,1.3314541666386055,1.3332506176404282,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-22,1.3332506176404282,1.3378757389636209,1.331385781292563,1.3360109026157552,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-23,1.3360109026157552,1.3476696905655796,1.335379425783072,1.3470382137328965,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-24,1.3470382137328965,1.3485178424911275,1.3441843244220963,1.3456639531803274,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-25,1.3456639531803274,1.34579486890443,1.3362778084994698,1.3364087242235725,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-26,1.3364087242235725,1.336798704409344,1.3288079300266773,1.3291979102124492,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-29,1.3291979102124492,1.3313152084733837,1.3236611892635162,1.3257784875244507,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-30,1.3257784875244507,1.3265432815519262,1.3198885251198789,1.3206533191473544,0,0,0.0,100000.0,100000.0,,,HOLD
2018-01-31,1.3206533191473544,1.3215862235892992,1.318675482246576,1.3196083866885209,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-01,1.3196083866885209,1.3225549907262333,1.3181577268176814,1.3211043308553938,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-02,1.3211043308553938,1.3230694634163465,1.3205822402433969,1.3225473728043495,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-05,1.3225473728043495,1.3298404283303566,1.3212847661942249,1.328577821720232,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-06,1.328577821720232,1.3401795787136226,1.3276409900101331,1.3392427470035235,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-07,1.3392427470035235,1.346979984034952,1.3372688765703964,1.3450061136018248,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-08,1.3450061136018248,1.3515805797255502,1.3431955601007968,1.3497700262245222,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-09,1.3497700262245222,1.351062284919368,1.3475409163995284,1.348833175094374,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-12,1.348833175094374,1.3565500833501696,1.346394402106444,1.3541113103622395,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-13,1.3541113103622395,1.356817953956418,1.352425325998799,1.3551319695929775,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-14,1.3551319695929775,1.3569137943380525,1.344576011132573,1.3463578358776478,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-15,1.3463578358776478,1.3470414092209586,1.3401665635164002,1.340850136859711,0,0,0.0,100000.0,100000.0,,,HOLD
2018-02-16,1.340850136859711,1.3408755297409352,1.3320837806761767,1.3321091735574009,0,0,0.0,100000.0,100000.0,,,HOLD
