Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-04-11,2018-04-18,SHORT,Trend,1.297779,1.309163,114851.44,-1307.54,-1.31,7,1000.0,11.5,1.77,Stop
2018-04-18,2018-04-19,SHORT,Trend,1.302703,1.312829,128041.42,-1296.55,-1.31,1,986.92,12.78,1.97,Stop
2018-10-04,2018-11-20,SHORT,Trend,1.300658,1.277086,107094.58,2524.47,2.59,47,973.96,10.7,1.65,Target
2019-02-08,2019-03-12,SHORT,Trend,1.245758,1.22255,106878.67,2480.45,2.48,32,999.2,11.15,1.72,Target
2019-03-12,2019-03-27,SHORT,Trend,1.225185,1.235297,125129.69,-1265.24,-1.24,15,1024.01,13.28,2.04,Stop
2019-03-27,2019-04-08,SHORT,Trend,1.229513,1.241644,103227.56,-1252.25,-1.24,12,1011.36,10.91,1.68,Stop
2019-11-27,2019-12-13,SHORT,Trend,1.222427,1.232505,122182.45,-1231.39,-1.23,16,998.83,12.99,2.0,Stop
2019-12-13,2019-12-16,SHORT,Trend,1.221948,1.236762,81844.23,-1212.43,-1.23,3,986.52,8.71,1.34,Stop
2019-12-26,2020-01-15,SHORT,Trend,1.224599,1.200712,99553.0,2378.02,2.44,20,974.4,10.57,1.63,Target
2020-01-17,2020-01-23,SHORT,Trend,1.198309,1.209586,106873.97,-1205.21,-1.21,6,998.18,11.59,1.78,Stop
2020-01-23,2020-01-24,SHORT,Trend,1.201696,1.213233,103478.99,-1193.82,-1.21,1,986.12,11.19,1.72,Stop
2020-01-24,2020-02-03,SHORT,Trend,1.211309,1.189029,105527.15,2351.11,2.41,10,974.19,11.33,1.74,Target
2020-02-03,2020-02-10,SHORT,Trend,1.193756,1.171719,107678.2,2372.86,2.38,7,997.7,11.73,1.8,Target
2020-02-10,2020-02-26,SHORT,Trend,1.175488,1.185736,118147.53,-1210.72,-1.19,16,1021.42,13.07,2.01,Stop
2020-02-26,2020-04-14,SHORT,Trend,1.178905,1.163022,149037.25,2367.11,2.35,48,1009.32,16.43,2.53,Target
2020-05-15,2020-05-18,SHORT,Trend,1.134874,1.147184,95889.72,-1180.46,-1.14,3,1032.99,10.98,1.69,Stop
2020-05-18,2020-07-15,SHORT,Trend,1.142545,1.154636,97182.33,-1175.01,-1.15,58,1021.18,11.06,1.7,Stop
2020-08-26,2020-10-15,SHORT,Trend,1.115799,1.126557,105533.25,-1135.3,-1.12,50,1009.43,12.3,1.89,Stop
2021-06-15,2021-06-23,LONG,Trend,1.20183,1.192922,135954.5,-1211.08,-1.21,8,998.08,14.71,2.26,Stop
2021-06-23,2021-07-06,LONG,Trend,1.195102,1.217267,105915.9,2347.67,2.38,13,985.97,11.52,1.77,Target
2021-07-06,2021-08-02,LONG,Trend,1.208372,1.23011,111785.19,2430.07,2.41,27,1009.45,12.03,1.85,Target
2021-08-02,2021-08-06,LONG,Trend,1.216816,1.23299,154729.07,2502.61,2.42,4,1033.75,16.53,2.54,Target
2021-08-06,2021-08-10,LONG,Trend,1.226952,1.245232,141466.5,2586.1,2.44,4,1058.77,14.99,2.31,Target
2021-08-10,2021-08-27,LONG,Trend,1.241,1.259099,148046.43,2679.48,2.47,17,1084.63,15.51,2.39,Target
2021-08-27,2021-09-03,LONG,Trend,1.248204,1.26618,153625.06,2761.52,2.48,7,1111.43,16.0,2.46,Target
2021-09-03,2021-09-07,LONG,Trend,1.260143,1.28126,135401.05,2859.21,2.51,4,1139.04,13.97,2.15,Target
2021-09-07,2021-09-29,LONG,Trend,1.274056,1.262318,127666.69,-1498.49,-1.28,22,1167.64,13.03,2.0,Stop
2021-09-29,2021-09-30,LONG,Trend,1.266467,1.257435,163168.87,-1473.66,-1.28,1,1152.65,16.75,2.58,Stop
2021-09-30,2021-10-01,LONG,Trend,1.261319,1.252286,160397.43,-1448.91,-1.27,1,1137.92,16.53,2.54,Stop
2022-02-11,2022-02-15,SHORT,Trend,1.19974,1.20797,165481.82,-1361.89,-1.21,4,1123.43,17.93,2.76,Stop
2022-02-15,2022-03-09,SHORT,Trend,1.206006,1.190189,168330.79,2662.56,2.4,22,1109.81,18.15,2.79,Target
2022-03-09,2022-03-17,SHORT,Trend,1.195622,1.17831,156205.98,2704.21,2.38,8,1136.43,16.98,2.61,Target
2022-03-17,2022-03-31,SHORT,Trend,1.18389,1.194164,135185.16,-1388.92,-1.19,14,1163.48,14.84,2.28,Stop
2022-03-31,2022-04-01,SHORT,Trend,1.18119,1.191984,126796.77,-1368.66,-1.19,1,1149.59,13.96,2.15,Stop
2022-06-16,2022-06-24,LONG,Trend,1.22582,1.246219,135945.8,2773.26,2.44,8,1135.9,14.42,2.22,Target
2022-06-24,2022-07-21,LONG,Trend,1.235067,1.223515,125328.51,-1447.82,-1.24,27,1163.63,13.19,2.03,Stop
2022-08-09,2022-08-23,LONG,Trend,1.263909,1.25245,127694.93,-1463.28,-1.27,14,1149.15,13.13,2.02,Stop
2022-08-23,2022-09-28,LONG,Trend,1.253676,1.275183,131744.23,2833.45,2.5,36,1134.52,13.66,2.1,Target
2022-10-03,2022-10-24,LONG,Trend,1.279224,1.269138,148731.51,-1500.2,-1.29,21,1162.86,15.11,2.33,Stop
2022-12-08,2022-12-23,LONG,Trend,1.310682,1.298557,124960.91,-1515.09,-1.32,15,1147.85,12.39,1.91,Stop
