Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-05-10,2018-05-16,SHORT,Breakout,0.861498,0.868339,127500.99,-872.34,-0.87,6,1000.0,19.24,2.96,Stop
2018-05-16,2018-05-17,SHORT,Breakout,0.863662,0.870178,133114.02,-867.44,-0.88,1,991.28,20.04,3.08,Stop
2018-05-17,2018-06-19,SHORT,Breakout,0.86908,0.875947,125922.71,-864.66,-0.88,33,982.6,18.84,2.9,Stop
2018-06-21,2018-07-17,LONG,Breakout,0.880231,0.894946,115856.73,1704.76,1.75,26,973.96,17.11,2.63,Target
2018-08-14,2018-08-31,SHORT,Breakout,0.856794,0.841593,111093.77,1688.73,1.7,17,991.0,16.86,2.59,Target
2018-08-31,2018-09-18,SHORT,Breakout,0.8454,0.835231,166188.51,1690.01,1.68,18,1007.89,25.56,3.93,Target
2018-09-18,2018-09-19,SHORT,Breakout,0.839593,0.827533,141683.99,1708.77,1.67,1,1024.79,21.94,3.38,Target
2018-09-19,2018-10-16,SHORT,Breakout,0.833148,0.839737,133473.79,-879.38,-0.84,27,1041.88,20.83,3.2,Stop
2019-04-03,2019-04-05,SHORT,Breakout,0.799257,0.807202,105049.4,-834.63,-0.81,2,1033.08,17.09,2.63,Stop
2019-04-05,2019-04-08,SHORT,Breakout,0.802228,0.81069,98132.58,-830.42,-0.81,3,1024.74,15.9,2.45,Stop
2019-04-08,2019-04-11,SHORT,Breakout,0.807967,0.815975,103654.5,-830.06,-0.82,3,1016.43,16.68,2.57,Stop
2019-04-23,2019-05-07,SHORT,Breakout,0.791528,0.777743,115060.43,1586.15,1.57,14,1008.13,18.9,2.91,Target
2019-05-07,2019-05-29,SHORT,Breakout,0.780919,0.787472,123643.18,-810.17,-0.79,22,1024.0,20.58,3.17,Stop
2019-10-15,2019-10-16,LONG,Breakout,0.773213,0.765948,109398.58,-794.8,-0.78,1,1015.89,18.39,2.83,Stop
2019-10-16,2019-11-20,LONG,Breakout,0.768205,0.76033,99406.24,-782.76,-0.78,35,1007.95,16.82,2.59,Stop
2019-11-22,2019-12-27,SHORT,Breakout,0.753831,0.760711,110944.36,-763.35,-0.76,35,1000.12,19.13,2.94,Stop
2020-10-08,2020-10-27,LONG,Breakout,0.755364,0.770607,97815.62,1491.06,1.5,19,992.48,16.83,2.59,Target
2020-10-27,2020-10-28,LONG,Breakout,0.770031,0.764379,139355.9,-787.57,-0.78,1,1007.39,23.53,3.62,Stop
2020-10-28,2020-11-25,LONG,Breakout,0.764196,0.77619,126480.91,1516.91,1.52,28,999.52,21.52,3.31,Target
2020-11-25,2020-11-30,LONG,Breakout,0.772543,0.766079,122886.57,-794.34,-0.78,5,1014.69,20.68,3.18,Stop
2021-02-03,2021-03-01,LONG,Breakout,0.799665,0.816865,93150.18,1602.2,1.59,26,1006.74,15.14,2.33,Target
2021-03-01,2021-03-10,LONG,Breakout,0.813641,0.807074,128378.8,-843.08,-0.82,9,1022.77,20.51,3.16,Stop
2021-09-10,2021-10-08,LONG,Breakout,0.849159,0.862531,128017.83,1711.78,1.69,28,1014.34,19.6,3.02,Target
