Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-10-22,2018-10-30,SHORT,MeanReversion,0.852527,0.839506,130105.99,1693.99,1.69,8,1000.0,19.84,3.05,Target
2019-01-01,2019-01-08,SHORT,MeanReversion,0.848354,0.835662,135040.19,1713.97,1.69,7,1016.94,20.69,3.18,Target
2020-01-13,2020-01-17,SHORT,MeanReversion,0.773969,0.779431,148823.96,-813.0,-0.79,4,1034.08,25.0,3.85,Stop
2020-01-17,2020-02-04,SHORT,MeanReversion,0.778523,0.783665,157942.52,-812.15,-0.79,18,1025.95,26.37,4.06,Stop
2020-02-04,2020-02-05,SHORT,MeanReversion,0.780322,0.785868,145426.83,-806.59,-0.79,1,1017.83,24.23,3.73,Stop
2020-02-05,2020-02-14,SHORT,MeanReversion,0.783484,0.771921,135843.1,1570.72,1.56,9,1009.76,22.54,3.47,Target
2024-05-17,2024-05-21,SHORT,MeanReversion,0.935959,0.944091,119277.34,-969.94,-0.95,4,1025.47,16.57,2.55,Stop
2024-05-21,2024-06-07,SHORT,MeanReversion,0.937086,0.946439,102696.08,-960.59,-0.95,17,1015.77,14.25,2.19,Stop
2024-06-07,2024-06-10,SHORT,MeanReversion,0.943851,0.952268,113965.82,-959.36,-0.95,3,1006.16,15.7,2.41,Stop
2024-06-10,2024-06-12,SHORT,MeanReversion,0.950019,0.958131,117959.35,-956.79,-0.96,2,996.57,16.14,2.48,Stop
2024-06-12,2024-06-27,SHORT,MeanReversion,0.955336,0.963258,120315.66,-953.15,-0.97,15,987.0,16.37,2.52,Stop
2024-06-27,2024-07-05,SHORT,MeanReversion,0.961718,0.948135,137559.18,1868.41,1.91,8,977.47,18.59,2.86,Target
2025-09-18,2025-09-22,SHORT,MeanReversion,0.886373,0.893439,126482.83,-893.72,-0.9,4,996.16,18.55,2.85,Stop
2025-09-22,2025-09-30,SHORT,MeanReversion,0.886612,0.894523,111843.77,-884.79,-0.9,8,987.22,16.4,2.52,Stop
2025-09-30,2025-10-10,SHORT,MeanReversion,0.889828,0.897019,122507.31,-880.99,-0.9,10,978.37,17.9,2.75,Stop
