Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-05-31,2018-06-01,SHORT,Trend,0.858736,0.867321,101016.07,-867.32,-0.87,1,1000.0,15.29,2.35,Stop
2018-06-01,2018-06-06,SHORT,Trend,0.861819,0.871072,93185.38,-862.26,-0.87,5,991.33,14.06,2.16,Stop
2018-06-06,2018-06-19,SHORT,Trend,0.868201,0.877025,97636.08,-861.48,-0.88,13,982.7,14.62,2.25,Stop
2018-07-13,2018-07-30,LONG,Trend,0.887424,0.880202,121123.63,-874.73,-0.9,17,974.09,17.74,2.73,Stop
2018-08-17,2018-09-17,SHORT,Trend,0.854658,0.839987,111825.48,1640.57,1.7,31,965.34,17.01,2.62,Target
2018-09-17,2018-09-19,SHORT,Trend,0.842747,0.831674,148297.22,1642.13,1.67,2,981.75,22.88,3.52,Target
2018-09-19,2018-10-16,SHORT,Trend,0.833148,0.839737,127874.23,-842.49,-0.84,27,998.17,19.95,3.07,Stop
2019-03-22,2019-04-22,SHORT,Trend,0.811553,0.796845,108594.86,1597.23,1.61,31,989.74,17.4,2.68,Target
2019-04-22,2019-04-25,SHORT,Trend,0.797284,0.784329,122986.26,1593.23,1.58,3,1005.72,20.05,3.09,Target
2019-04-25,2019-05-14,SHORT,Trend,0.78964,0.775657,114695.32,1603.72,1.57,19,1021.65,18.88,2.91,Target
2019-05-14,2019-05-29,SHORT,Trend,0.779059,0.786363,111996.29,-817.94,-0.79,15,1037.69,18.69,2.88,Stop
2019-05-29,2019-05-30,SHORT,Trend,0.781736,0.788547,119656.11,-814.97,-0.79,1,1029.51,19.9,3.06,Stop
2019-12-04,2019-12-18,SHORT,Trend,0.752739,0.758788,128923.73,-779.77,-0.76,14,1021.36,22.27,3.43,Stop
