Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-07-25,2018-08-27,SHORT,Breakout,149.640023,150.835286,3341.35,-3993.79,-3.99,33,1000.0,0.27,0.04,Stop
2018-10-11,2018-10-31,SHORT,Breakout,147.596482,148.79942,3252.32,-3912.34,-4.08,20,960.06,0.26,0.04,Stop
2019-02-08,2019-02-21,SHORT,Breakout,150.582805,148.544399,3057.91,6233.27,6.77,13,920.94,0.24,0.04,Target
2019-02-21,2019-03-22,SHORT,Breakout,149.139662,146.979674,3296.48,7120.35,7.24,29,983.27,0.27,0.04,Target
2019-03-22,2019-04-09,SHORT,Breakout,147.607537,145.712358,3571.89,6769.36,6.42,18,1054.47,0.29,0.05,Target
2019-04-09,2019-04-15,SHORT,Breakout,146.040481,146.939713,3841.98,-3454.83,-3.08,6,1122.17,0.32,0.05,Stop
2019-04-15,2019-04-16,SHORT,Breakout,146.397126,147.362734,3714.62,-3586.87,-3.3,1,1087.62,0.3,0.05,Stop
2019-10-18,2019-11-01,SHORT,Breakout,143.556024,141.499525,3663.21,7533.39,7.16,14,1051.75,0.31,0.05,Target
2019-11-01,2019-11-18,SHORT,Breakout,141.580154,142.424379,3980.38,-3360.33,-2.98,17,1127.09,0.34,0.06,Stop
2019-11-18,2019-11-19,SHORT,Breakout,141.916406,142.675172,3852.56,-2923.19,-2.67,1,1093.48,0.33,0.05,Stop
2020-02-11,2020-02-27,LONG,Breakout,147.074111,149.308267,3618.07,8083.35,7.6,16,1064.25,0.3,0.05,Target
2020-02-27,2020-03-19,LONG,Breakout,148.944737,148.103738,3843.99,-3232.79,-2.82,21,1145.08,0.31,0.05,Stop
2020-12-24,2021-02-18,LONG,Breakout,156.540646,155.412582,3554.21,-4009.38,-3.6,56,1112.76,0.27,0.05,Stop
2021-06-09,2021-06-17,SHORT,Breakout,149.823061,147.484846,3579.76,8370.26,7.8,8,1072.66,0.29,0.05,Target
2021-06-17,2021-07-07,SHORT,Breakout,148.612613,145.998943,3890.53,10168.57,8.79,20,1156.36,0.31,0.05,Target
2021-07-07,2021-07-21,SHORT,Breakout,146.36292,144.206346,4297.71,9268.33,7.37,14,1258.05,0.35,0.06,Target
2021-07-21,2021-08-12,SHORT,Breakout,144.285678,142.458267,4680.76,8553.67,6.33,22,1350.73,0.39,0.06,Target
2021-08-12,2021-08-24,SHORT,Breakout,142.693106,140.726855,5032.72,9895.6,6.89,12,1436.27,0.42,0.07,Target
2021-08-24,2021-08-25,SHORT,Breakout,140.8374,141.803331,5450.35,-5264.66,-3.43,1,1535.23,0.46,0.08,Stop
2021-08-25,2021-08-27,SHORT,Breakout,141.57407,142.490708,5236.06,-4799.57,-3.24,2,1482.58,0.44,0.07,Stop
2021-08-27,2021-08-31,SHORT,Breakout,141.995974,142.937018,5051.5,-4753.68,-3.31,4,1434.58,0.43,0.07,Stop
2022-12-14,2023-02-01,SHORT,Breakout,132.449678,133.408008,5236.13,-5017.94,-3.62,49,1387.05,0.47,0.08,Stop
2023-08-10,2023-09-08,LONG,Breakout,132.048561,131.089564,5062.03,-4854.47,-3.63,29,1336.87,0.46,0.08,Stop
2024-01-24,2024-02-02,LONG,Breakout,134.279176,136.12654,4797.18,8862.14,6.88,9,1288.32,0.43,0.07,Target
2024-02-02,2024-02-20,LONG,Breakout,135.663584,137.669482,5074.85,10179.63,7.39,18,1376.94,0.45,0.07,Target
2024-02-20,2024-03-04,LONG,Breakout,137.399463,139.430116,5381.17,10927.3,7.39,13,1478.74,0.47,0.08,Target
2024-03-04,2024-04-01,LONG,Breakout,139.065836,140.825026,5709.58,10044.23,6.33,28,1588.01,0.49,0.08,Target
2024-04-17,2024-04-18,LONG,Breakout,143.27987,142.196657,5892.16,-6382.47,-3.78,1,1688.46,0.49,0.08,Stop
2024-04-18,2024-04-26,LONG,Breakout,142.273798,144.502701,5709.52,12725.98,7.83,8,1624.63,0.48,0.08,Target
2024-04-26,2024-05-13,LONG,Breakout,143.648465,142.332629,6097.84,-8023.75,-4.58,17,1751.89,0.51,0.08,Stop
2024-05-13,2024-05-15,LONG,Breakout,142.797227,141.566486,5853.24,-7203.83,-4.31,2,1671.65,0.49,0.08,Stop
2025-02-11,2025-03-24,SHORT,Breakout,134.941093,136.049021,5927.09,-6566.79,-4.11,41,1599.62,0.53,0.09,Stop
2025-07-09,2025-07-17,LONG,Breakout,142.67551,144.695818,5375.65,10860.47,7.08,8,1533.95,0.45,0.08,Target
2025-07-17,2025-08-11,LONG,Breakout,144.05386,143.014173,5701.17,-5927.44,-3.61,25,1642.55,0.47,0.08,Stop
