Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2019-12-24,2020-01-23,SHORT,MeanReversion,144.392455,145.367456,3462.78,-3376.22,-3.38,30,1000.0,0.29,0.05,Stop
2020-04-27,2020-05-01,SHORT,MeanReversion,149.993152,148.440087,3220.94,5002.33,5.18,4,966.24,0.26,0.04,Target
2020-07-03,2020-08-05,LONG,MeanReversion,146.581453,145.635905,3466.54,-3277.78,-3.23,33,1016.26,0.28,0.05,Stop
2021-03-09,2021-04-05,LONG,MeanReversion,153.075225,152.145325,3212.42,-2987.23,-3.04,27,983.48,0.25,0.04,Stop
2021-04-05,2021-04-06,LONG,MeanReversion,152.73303,151.843856,3121.82,-2775.84,-2.91,1,953.61,0.25,0.04,Stop
2021-04-06,2021-05-06,LONG,MeanReversion,152.145664,151.246614,3042.65,-2735.5,-2.95,30,925.85,0.24,0.04,Stop
2022-08-05,2022-08-24,SHORT,MeanReversion,137.071129,135.504758,3277.49,5133.76,5.71,19,898.5,0.29,0.05,Target
2023-03-17,2023-03-31,LONG,MeanReversion,130.699417,129.927974,3633.66,-2803.17,-2.95,14,949.84,0.33,0.06,Stop
2023-03-31,2023-04-14,LONG,MeanReversion,130.675456,130.009297,3527.07,-2349.59,-2.55,14,921.8,0.32,0.05,Stop
2024-07-22,2024-07-25,SHORT,MeanReversion,144.656894,143.337223,3104.96,4097.53,4.56,3,898.31,0.26,0.04,Target
2024-07-25,2024-07-26,SHORT,MeanReversion,143.520811,144.33374,3272.29,-2660.14,-2.83,1,939.28,0.27,0.05,Stop
2024-07-26,2024-07-31,SHORT,MeanReversion,144.153886,145.004313,3165.65,-2692.16,-2.95,5,912.68,0.26,0.04,Stop
2024-07-31,2024-08-01,SHORT,MeanReversion,144.253638,145.197201,3070.15,-2896.88,-3.27,1,885.76,0.26,0.04,Stop
2024-08-01,2024-08-02,SHORT,MeanReversion,145.023238,146.005858,2953.98,-2902.64,-3.39,1,856.79,0.24,0.04,Stop
2024-08-02,2024-08-13,SHORT,MeanReversion,145.787427,146.782333,2838.94,-2824.48,-3.41,11,827.76,0.23,0.04,Stop
2024-08-13,2024-08-21,SHORT,MeanReversion,146.642627,144.325003,2726.08,6318.03,7.9,8,799.52,0.22,0.04,Target
2025-12-15,2025-12-23,LONG,MeanReversion,145.881524,147.586127,2956.85,5040.26,5.84,8,862.7,0.24,0.04,Target
2025-12-23,2026-01-06,LONG,MeanReversion,147.223876,149.039928,3101.07,5631.7,6.17,14,913.1,0.25,0.04,Target
