Entry_Date,Exit_Date,Direction,Strategy,Entry_Price,Exit_Price,Units,PnL,PnL_Pct,Hold_Days,Risk_Amount,Spread_Cost,Slippage_Cost,Exit_Reason
2018-03-29,2018-04-04,LONG,Trend,151.848397,150.89785,3292.76,-3129.92,-3.13,6,1000.0,0.26,0.04,Stop
2018-04-04,2018-04-05,LONG,Trend,151.43309,150.543449,3198.44,-2845.47,-2.94,1,968.7,0.25,0.04,Stop
2018-04-05,2018-04-09,LONG,Trend,150.947905,149.993983,3114.47,-2970.96,-3.16,4,940.25,0.25,0.04,Stop
2018-07-05,2018-07-10,LONG,Trend,152.642894,151.637167,2982.57,-2999.65,-3.29,5,910.54,0.23,0.04,Stop
2018-07-10,2018-07-20,LONG,Trend,151.992225,150.919781,2896.66,-3106.51,-3.53,10,880.54,0.23,0.04,Stop
2018-10-19,2018-10-23,SHORT,Trend,146.863779,147.998604,2892.05,-3281.97,-3.86,4,849.47,0.24,0.04,Stop
2018-10-23,2018-10-31,SHORT,Trend,147.533557,148.713041,2767.69,-3264.45,-4.0,8,816.66,0.23,0.04,Stop
2018-10-31,2018-11-01,SHORT,Trend,148.194418,149.19551,2645.21,-2648.1,-3.38,1,784.01,0.21,0.04,Stop
2018-11-26,2018-12-25,LONG,Trend,151.730937,153.570714,2496.29,4592.62,6.06,29,757.53,0.2,0.03,Target
2018-12-25,2019-02-01,LONG,Trend,153.12463,152.062643,2623.54,-2786.16,-3.47,38,803.46,0.21,0.03,Stop
2019-03-29,2019-04-16,SHORT,Trend,146.810688,147.739273,2641.48,-2452.84,-3.16,18,775.59,0.22,0.04,Stop
2019-04-16,2019-04-22,SHORT,Trend,147.154725,148.137123,2551.96,-2507.04,-3.34,6,751.07,0.21,0.03,Stop
2019-07-09,2019-07-31,SHORT,Trend,147.075162,145.119856,2468.11,4825.91,6.65,22,726.0,0.2,0.03,Target
2019-07-31,2019-08-08,SHORT,Trend,145.337604,146.362234,2663.64,-2729.25,-3.53,8,774.25,0.22,0.04,Stop
2019-08-08,2019-08-13,SHORT,Trend,145.900159,146.824329,2559.84,-2365.73,-3.17,5,746.96,0.21,0.04,Stop
2019-08-26,2019-08-28,SHORT,Trend,144.964785,145.981103,2494.76,-2535.47,-3.51,2,723.3,0.21,0.03,Stop
2019-08-28,2019-09-19,SHORT,Trend,145.614412,146.568311,2396.57,-2286.09,-3.28,22,697.95,0.2,0.03,Stop
2019-10-22,2019-12-20,SHORT,Trend,142.881103,143.937825,2362.42,-2496.42,-3.7,59,675.09,0.2,0.03,Stop
