Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,108.33,100000.0,0.0,HOLD
2018-01-02,100000.0,0,109.06,100000.0,0.0,HOLD
2018-01-03,100000.0,0,106.07,100000.0,0.0,HOLD
2018-01-04,100000.0,0,106.65,100000.0,-1.0,HOLD
2018-01-05,100000.0,0,105.93,100000.0,-1.0,HOLD
2018-01-08,100000.0,0,106.48,100000.0,-1.0,HOLD
2018-01-09,100000.0,0,108.55,100000.0,-1.0,HOLD
2018-01-10,100000.0,0,111.8,100000.0,-1.0,HOLD
2018-01-11,100000.0,0,109.88,100000.0,-1.0,HOLD
2018-01-12,100000.0,0,109.1,100000.0,-1.0,HOLD
2018-01-15,100000.0,0,107.8,100000.0,0.0,HOLD
2018-01-16,100000.0,0,113.6,100000.0,0.0,HOLD
2018-01-17,100000.0,0,111.46,100000.0,-1.0,HOLD
2018-01-18,100000.0,0,111.34,100000.0,0.0,HOLD
2018-01-19,100000.0,0,112.57,100000.0,0.0,HOLD
2018-01-22,100000.0,0,110.04,100000.0,0.0,HOLD
2018-01-23,100000.0,0,107.88,100000.0,0.0,HOLD
2018-01-24,100000.0,0,107.44,100000.0,0.0,HOLD
2018-01-25,100000.0,0,106.75,100000.0,0.0,HOLD
2018-01-29,100000.0,0,106.48,100000.0,0.0,HOLD
2018-01-30,100000.0,0,105.16,100000.0,0.0,HOLD
2018-01-31,100000.0,0,104.61,100000.0,0.0,HOLD
2018-02-01,100000.0,0,103.26,100000.0,0.0,HOLD
2018-02-02,100000.0,0,103.2,100000.0,0.0,HOLD
2018-02-05,100000.0,0,102.57,100000.0,0.0,HOLD
2018-02-06,100000.0,0,101.16,100000.0,0.0,HOLD
2018-02-07,100000.0,0,99.34,100000.0,0.0,HOLD
2018-02-08,100000.0,0,99.5,100000.0,0.0,HOLD
2018-02-09,100000.0,0,97.85,100000.0,0.0,HOLD
2018-02-12,4919.36,957,99.2,99857.55,1.0,BUY
2018-02-14,4919.36,957,100.75,101336.09,0.0,HOLD
2018-02-15,4919.36,957,100.42,101023.95,0.0,HOLD
2018-02-16,4919.36,957,99.91,100531.11,0.0,HOLD
2018-02-19,4919.36,957,99.55,100186.11,0.0,HOLD
2018-02-20,4919.36,957,100.06,100678.95,0.0,HOLD
2018-02-21,4919.36,957,100.32,100925.39,0.0,HOLD
2018-02-22,4919.36,957,100.47,101073.24,0.0,HOLD
2018-02-23,4919.36,957,101.28,101845.35,0.0,HOLD
2018-02-26,4919.36,957,100.11,100728.24,0.0,HOLD
2018-02-27,4919.36,957,100.17,100777.53,0.0,HOLD
2018-02-28,4919.36,957,100.53,101122.52,0.0,HOLD
2018-03-01,4919.36,957,100.42,101023.95,0.0,HOLD
2018-03-05,4919.36,957,99.89,100514.67,0.0,HOLD
2018-03-06,4919.36,957,98.52,99200.43,0.0,HOLD
2018-03-07,4919.36,957,97.97,98674.73,0.0,HOLD
2018-03-08,4919.36,957,97.92,98625.45,0.0,HOLD
2018-03-09,4919.36,957,97.86,98576.16,0.0,HOLD
2018-03-12,4919.36,957,99.8,100432.53,0.0,HOLD
