Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,168.07,100000.0,0.0,HOLD
2018-01-02,100000.0,0,167.97,100000.0,0.0,HOLD
2018-01-03,100000.0,0,167.06,100000.0,0.0,HOLD
2018-01-04,100000.0,0,170.83,100000.0,0.0,HOLD
2018-01-05,100000.0,0,176.72,100000.0,0.0,HOLD
2018-01-08,100000.0,0,178.9,100000.0,0.0,HOLD
2018-01-09,100000.0,0,177.21,100000.0,0.0,HOLD
2018-01-10,100000.0,0,175.52,100000.0,0.0,HOLD
2018-01-11,100000.0,0,173.39,100000.0,0.0,HOLD
2018-01-12,100000.0,0,172.4,100000.0,0.0,HOLD
2018-01-15,100000.0,0,169.28,100000.0,0.0,HOLD
2018-01-16,100000.0,0,164.34,100000.0,0.0,HOLD
2018-01-17,100000.0,0,165.69,100000.0,0.0,HOLD
2018-01-18,100000.0,0,161.74,100000.0,0.0,HOLD
2018-01-19,100000.0,0,165.75,100000.0,0.0,HOLD
2018-01-22,100000.0,0,166.19,100000.0,0.0,HOLD
2018-01-23,100000.0,0,166.42,100000.0,0.0,HOLD
2018-01-24,100000.0,0,169.38,100000.0,0.0,HOLD
2018-01-25,100000.0,0,166.57,100000.0,0.0,HOLD
2018-01-29,100000.0,0,167.06,100000.0,0.0,HOLD
2018-01-30,100000.0,0,163.46,100000.0,0.0,HOLD
2018-01-31,100000.0,0,163.41,100000.0,0.0,HOLD
2018-02-01,100000.0,0,168.44,100000.0,0.0,HOLD
2018-02-02,100000.0,0,158.64,100000.0,0.0,HOLD
2018-02-05,100000.0,0,156.31,100000.0,0.0,HOLD
2018-02-06,100000.0,0,161.88,100000.0,0.0,HOLD
2018-02-07,100000.0,0,159.89,100000.0,0.0,HOLD
2018-02-08,100000.0,0,161.88,100000.0,0.0,HOLD
2018-02-09,100000.0,0,159.67,100000.0,0.0,HOLD
2018-02-12,100000.0,0,160.1,100000.0,0.0,HOLD
2018-02-14,100000.0,0,162.64,100000.0,0.0,HOLD
2018-02-15,100000.0,0,163.33,100000.0,0.0,HOLD
2018-02-16,100000.0,0,163.16,100000.0,0.0,HOLD
2018-02-19,100000.0,0,159.99,100000.0,0.0,HOLD
2018-02-20,100000.0,0,159.6,100000.0,0.0,HOLD
2018-02-21,100000.0,0,155.48,100000.0,0.0,HOLD
2018-02-22,100000.0,0,155.86,100000.0,0.0,HOLD
2018-02-23,100000.0,0,159.08,100000.0,0.0,HOLD
2018-02-26,100000.0,0,163.13,100000.0,0.0,HOLD
2018-02-27,100000.0,0,161.36,100000.0,0.0,HOLD
2018-02-28,100000.0,0,159.75,100000.0,0.0,HOLD
2018-03-01,100000.0,0,161.61,100000.0,0.0,HOLD
2018-03-05,100000.0,0,159.43,100000.0,0.0,HOLD
2018-03-06,100000.0,0,159.51,100000.0,0.0,HOLD
2018-03-07,100000.0,0,157.62,100000.0,0.0,HOLD
2018-03-08,100000.0,0,158.56,100000.0,0.0,HOLD
2018-03-09,100000.0,0,161.11,100000.0,0.0,HOLD
2018-03-12,100000.0,0,162.18,100000.0,0.0,HOLD
2018-03-13,100000.0,0,163.69,100000.0,0.0,HOLD
2018-03-14,100000.0,0,166.55,100000.0,0.0,HOLD
2018-03-15,5035.11,564,168.13,99857.72,1.0,BUY
2018-03-16,5035.11,564,164.39,97751.17,1.0,HOLD
2018-03-19,5035.11,564,158.93,94672.35,0.0,HOLD
2018-03-20,5035.11,564,161.41,96070.3,0.0,HOLD
2018-03-21,5035.11,564,166.01,98665.75,0.0,HOLD
2018-03-22,5035.11,564,165.14,98174.12,0.0,HOLD
2018-03-23,5035.11,564,164.14,97608.35,0.0,HOLD
2018-03-26,5035.11,564,169.62,100700.91,0.0,HOLD
2018-03-27,5035.11,564,172.62,102395.47,1.0,HOLD
2018-03-28,5035.11,564,172.15,102126.32,1.0,HOLD
2018-04-02,5035.11,564,177.12,104930.49,0.0,HOLD
2018-04-03,5035.11,564,178.64,105790.14,1.0,HOLD
2018-04-04,5035.11,564,180.2,106666.28,1.0,HOLD
2018-04-05,5035.11,564,186.57,110258.68,1.0,HOLD
2018-04-06,5035.11,564,188.71,111467.15,1.0,HOLD
2018-04-09,5035.11,564,189.36,111832.42,1.0,HOLD
2018-04-10,5035.11,564,187.58,110832.7,0.0,HOLD
2018-04-11,5035.11,564,187.45,110755.79,0.0,HOLD
2018-04-12,5035.11,564,187.91,111013.97,0.0,HOLD
2018-04-13,5035.11,564,186.44,110190.03,0.0,HOLD
2018-04-16,5035.11,564,189.26,111780.26,0.0,HOLD
2018-04-17,5035.11,564,188.46,111327.08,0.0,HOLD
2018-04-18,5035.11,564,187.66,110876.63,0.0,HOLD
2018-04-19,5035.11,564,186.34,110132.34,0.0,HOLD
2018-04-20,5035.11,564,183.14,108325.16,0.0,HOLD
2018-04-23,5035.11,564,184.98,109366.08,0.0,HOLD
2018-04-24,5035.11,564,186.78,110379.54,0.0,HOLD
2018-04-25,5035.11,564,185.03,109393.54,0.0,HOLD
