Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-03-15,BUY,168.20926096343993,564,94964.89320656349,5035.106793436513,94.87002318338013,47.4113059387207
2018-05-04,SELL,180.80786627197267,564,101873.66094081519,106908.7677342517,101.97563657739258,51.013324951171874
2018-05-18,BUY,209.46619198608397,484,101483.0185581859,5425.749176065801,101.38163692126464,50.665485717773436
2018-09-11,SELL,253.6041373062134,484,122621.65805375107,128047.40722981688,122.7444024562073,61.40290267944336
2018-11-30,BUY,247.70359336853025,491,121744.08680829228,6303.320421524593,121.62246434394835,60.780841751098635
2019-01-29,SELL,245.29609857940676,491,120319.94401808623,126623.26443961082,120.44038440248872,60.25031735992432
2019-02-07,BUY,263.21372492980953,457,120408.96096521587,6214.303474394954,120.28867229292297,60.11427900695801
2019-05-09,SELL,289.74204991149907,457,132279.70469274552,138494.00816714048,132.41211680955507,66.23917799377442
2019-05-20,BUY,332.6092146606445,395,131512.02043074553,6981.987736394949,131.3806397909546,65.65749114990234
2019-07-26,SELL,318.8953736724854,395,125837.7089280311,132819.69666442607,125.96367260063174,63.01334297180176
2019-09-23,BUY,393.4445792999267,320,126028.16764135251,6791.529023073555,125.90226537597655,62.9196728515625
2019-12-03,SELL,387.26848812866217,320,123801.99028497073,130593.51930804428,123.9259162011719,61.99395507812501
2019-12-30,BUY,414.9123085327148,299,124182.839031533,6410.680276511281,124.05878025128173,61.99839093017578
2020-03-03,SELL,436.089158355713,299,130260.26769000982,136670.94796652108,130.3906583483582,65.22794314575196
2020-06-03,BUY,236.37902522277832,549,129901.8569321526,6769.091034368481,129.7720848473053,64.85361561584473
2020-09-22,SELL,323.38796878051755,549,177362.45486564364,184131.54590001213,177.53999486050415,88.81440463256834
2020-11-04,BUY,349.0409799041748,501,175044.4004629235,9087.14543708862,174.86953093199156,87.39106993103027
2021-01-19,SELL,485.5372917938233,501,243010.92900551678,252098.0744426054,243.25418318870547,121.68793556213379
2021-02-05,BUY,542.8074008789063,441,239617.44185138523,12480.632591220172,239.37806378759768,119.62921728515626
2021-03-26,SELL,507.45869865417484,441,223565.4968203846,236046.12941160478,223.78928610649112,111.95061836242677
2021-04-30,BUY,534.3151808166504,419,224101.93882293865,11944.190588666126,223.8780607621765,111.88308883666993
2021-10-28,SELL,733.9471738891602,419,307216.3419936986,319160.53258236474,307.52386585955816,153.83885235595704
2022-01-06,BUY,760.596722076416,398,303020.2128817999,16140.31970056484,302.71749538641353,151.2831061401367
2022-02-25,SELL,683.458148803711,398,271744.3268806531,287884.64658121794,272.01634322387696,136.07620971679688
2022-07-07,BUY,577.4026317443847,473,273384.55625990906,14500.090321308875,273.111444815094,136.4874786682129
2022-08-30,SELL,719.10029196167,473,339794.30365977203,354294.3939810809,340.1344380978699,170.1522951965332
2022-09-21,BUY,757.6912783813476,444,336751.34252891963,17543.05145216128,336.41492760131837,168.12340209960936
2022-10-28,SELL,689.6325502929687,444,305890.6554777481,323433.70692990936,306.1968523300782,153.175013671875
2023-02-08,BUY,625.7714696044922,491,307561.0453673814,15872.661562527937,307.2537915758056,153.55012072753905
2023-03-10,SELL,578.1492573242188,491,283587.4140608452,299460.07562337315,283.8712853461914,142.00664599609377
2023-05-02,BUY,615.673100189209,462,284725.4132597019,14734.662363671232,284.4409722874145,142.14941143798828
2023-08-04,SELL,706.5835432128906,462,326115.15536739107,340849.8177310623,326.4415969643554,163.30244970703126
2023-09-26,BUY,778.7200370178223,415,323491.9841777586,17357.833553303673,323.16881536239623,161.50365585327148
2023-10-27,SELL,742.017965576172,415,307629.51825839723,324987.3518117009,307.93745571411137,154.04575073242188
2024-01-05,BUY,762.9392013244628,404,308535.66477241804,16451.68703928287,308.227437335083,154.0367003173828
2024-01-31,SELL,678.3347962341309,404,273773.21042091027,290224.89746019314,274.04725767858884,137.09217492675782
2024-03-27,BUY,694.8290524291992,396,275427.45706672483,14797.440393468307,275.1523047619629,137.50739868164064
2024-04-29,SELL,674.7468694152832,396,266932.5605281637,281730.000921632,267.1997602884521,133.66671350097656
2024-06-10,BUY,701.368941833496,381,267488.7884054005,14241.212516231462,267.22156683856196,133.54401141357422
2024-07-12,SELL,695.7863932189941,381,264829.52120062034,279070.7337168518,265.0946158164368,132.61361471557618
2024-08-30,BUY,715.9571649169922,370,265169.05517030635,13901.678546545445,264.9041510192871,132.38588256835936
2024-11-13,SELL,652.2469555664063,370,241090.04218601077,254991.72073255622,241.33137355957035,120.7260498046875
2024-12-11,BUY,707.5001797485351,342,242207.02653547298,12784.694197083241,241.96506147399901,120.92206970214843
2025-07-29,SELL,886.1067127990723,342,302745.44728150545,315530.1414785887,303.04849577728277,151.60004791259766
2025-09-05,BUY,938.0687755737305,319,299543.183347428,15986.958131160703,299.24393940802,149.54719610595706
2025-11-12,SELL,1012.6934122009278,319,322726.1492936039,338713.1074247646,323.04919849209597,161.60540194702148
2026-02-16,BUY,1013.2563749999999,317,321523.473145875,17189.63427888963,321.202270875,160.520875
2026-03-12,SELL,862.6684255981446,317,273192.42502369726,290382.0593025869,273.46589091461186,136.8013461303711
