Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,168.07,100000.0,0.0,HOLD
2018-01-02,100000.0,0,167.97,100000.0,0.0,HOLD
2018-01-03,100000.0,0,167.06,100000.0,0.0,HOLD
2018-01-04,100000.0,0,170.83,100000.0,0.0,HOLD
2018-01-05,100000.0,0,176.72,100000.0,0.0,HOLD
2018-01-08,100000.0,0,178.9,100000.0,0.0,HOLD
2018-01-09,100000.0,0,177.21,100000.0,0.0,HOLD
2018-01-10,100000.0,0,175.52,100000.0,0.0,HOLD
2018-01-11,100000.0,0,173.39,100000.0,0.0,HOLD
2018-01-12,100000.0,0,172.4,100000.0,0.0,HOLD
2018-01-15,100000.0,0,169.28,100000.0,0.0,HOLD
2018-01-16,100000.0,0,164.34,100000.0,0.0,HOLD
2018-01-17,100000.0,0,165.69,100000.0,0.0,HOLD
2018-01-18,100000.0,0,161.74,100000.0,0.0,HOLD
2018-01-19,100000.0,0,165.75,100000.0,0.0,HOLD
2018-01-22,100000.0,0,166.19,100000.0,0.0,HOLD
2018-01-23,100000.0,0,166.42,100000.0,0.0,HOLD
2018-01-24,100000.0,0,169.38,100000.0,0.0,HOLD
2018-01-25,100000.0,0,166.57,100000.0,0.0,HOLD
2018-01-29,100000.0,0,167.06,100000.0,0.0,HOLD
2018-01-30,100000.0,0,163.46,100000.0,0.0,HOLD
2018-01-31,100000.0,0,163.41,100000.0,0.0,HOLD
2018-02-01,100000.0,0,168.44,100000.0,0.0,HOLD
2018-02-02,100000.0,0,158.64,100000.0,0.0,HOLD
2018-02-05,100000.0,0,156.31,100000.0,0.0,HOLD
2018-02-06,100000.0,0,161.88,100000.0,0.0,HOLD
2018-02-07,100000.0,0,159.89,100000.0,0.0,HOLD
2018-02-08,100000.0,0,161.88,100000.0,0.0,HOLD
2018-02-09,100000.0,0,159.67,100000.0,0.0,HOLD
2018-02-12,100000.0,0,160.1,100000.0,0.0,HOLD
2018-02-14,100000.0,0,162.64,100000.0,0.0,HOLD
2018-02-15,100000.0,0,163.33,100000.0,0.0,HOLD
2018-02-16,100000.0,0,163.16,100000.0,0.0,HOLD
2018-02-19,100000.0,0,159.99,100000.0,0.0,HOLD
2018-02-20,100000.0,0,159.6,100000.0,0.0,HOLD
2018-02-21,100000.0,0,155.48,100000.0,0.0,HOLD
2018-02-22,100000.0,0,155.86,100000.0,0.0,HOLD
2018-02-23,100000.0,0,159.08,100000.0,0.0,HOLD
2018-02-26,100000.0,0,163.13,100000.0,0.0,HOLD
2018-02-27,100000.0,0,161.36,100000.0,0.0,HOLD
2018-02-28,100000.0,0,159.75,100000.0,0.0,HOLD
2018-03-01,100000.0,0,161.61,100000.0,0.0,HOLD
2018-03-05,100000.0,0,159.43,100000.0,0.0,HOLD
2018-03-06,100000.0,0,159.51,100000.0,0.0,HOLD
2018-03-07,100000.0,0,157.62,100000.0,0.0,HOLD
2018-03-08,100000.0,0,158.56,100000.0,0.0,HOLD
2018-03-09,100000.0,0,161.11,100000.0,0.0,HOLD
2018-03-12,100000.0,0,162.18,100000.0,0.0,HOLD
2018-03-13,100000.0,0,163.69,100000.0,0.0,HOLD
2018-03-14,100000.0,0,166.55,100000.0,0.0,HOLD
2018-03-15,100000.0,0,168.13,100000.0,0.0,HOLD
2018-03-16,100000.0,0,164.39,100000.0,0.0,HOLD
2018-03-19,100000.0,0,158.93,100000.0,0.0,HOLD
2018-03-20,100000.0,0,161.41,100000.0,0.0,HOLD
2018-03-21,100000.0,0,166.01,100000.0,0.0,HOLD
2018-03-22,100000.0,0,165.14,100000.0,0.0,HOLD
2018-03-23,100000.0,0,164.14,100000.0,0.0,HOLD
2018-03-26,100000.0,0,169.62,100000.0,0.0,HOLD
2018-03-27,100000.0,0,172.62,100000.0,0.0,HOLD
2018-03-28,100000.0,0,172.15,100000.0,0.0,HOLD
2018-04-02,100000.0,0,177.12,100000.0,0.0,HOLD
2018-04-03,100000.0,0,178.64,100000.0,0.0,HOLD
2018-04-04,100000.0,0,180.2,100000.0,0.0,HOLD
2018-04-05,100000.0,0,186.57,100000.0,0.0,HOLD
2018-04-06,100000.0,0,188.71,100000.0,0.0,HOLD
2018-04-09,100000.0,0,189.36,100000.0,0.0,HOLD
2018-04-10,100000.0,0,187.58,100000.0,0.0,HOLD
2018-04-11,100000.0,0,187.45,100000.0,0.0,HOLD
2018-04-12,100000.0,0,187.91,100000.0,0.0,HOLD
2018-04-13,100000.0,0,186.44,100000.0,0.0,HOLD
2018-04-16,100000.0,0,189.26,100000.0,0.0,HOLD
2018-04-17,100000.0,0,188.46,100000.0,0.0,HOLD
2018-04-18,100000.0,0,187.66,100000.0,0.0,HOLD
2018-04-19,100000.0,0,186.34,100000.0,0.0,HOLD
2018-04-20,100000.0,0,183.14,100000.0,0.0,HOLD
2018-04-23,100000.0,0,184.98,100000.0,0.0,HOLD
2018-04-24,100000.0,0,186.78,100000.0,0.0,HOLD
2018-04-25,100000.0,0,185.03,100000.0,0.0,HOLD
