Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-10-24,BUY,225.65358766937254,420,94869.2813279576,5130.718672042407,94.77450682113647,47.36357162475586
2020-04-16,SELL,217.35432694244386,420,91197.5284985106,96328.247170553,91.28881731582642,45.667242279052736
2020-09-10,BUY,342.8912085571289,266,91300.27053767246,5027.976632880542,91.20906147619628,45.581739868164064
2022-03-31,SELL,711.9510973510743,266,189189.61290349037,194217.5895363709,189.37899189538575,94.73686437988282
2022-09-13,BUY,729.3960709533691,252,183991.61769012923,10225.971846241679,183.807809880249,91.85797595214844
2023-01-13,SELL,588.3507580261231,252,148116.12663156044,158342.09847780212,148.26439102258303,74.16928015136719
2023-06-21,BUY,709.9578288574219,211,149950.90299080493,8391.195486997196,149.801101888916,74.86311938476562
2024-02-14,SELL,656.9457158508301,211,138476.93049848062,146868.12598547782,138.61554604452513,69.34244424438477
2024-09-25,BUY,758.0933958435058,184,139628.6740200403,7239.451965437533,139.4891848352051,69.70973754882813
2024-12-12,SELL,707.85591696167,184,130115.24323222633,137354.69519766385,130.2454887209473,65.15532202148438
2025-01-29,BUY,771.591901977539,169,130529.43046563829,6825.264732025564,130.3990314342041,65.16693225097656
2026-03-13,SELL,854.6224627990723,169,144286.76501683018,151112.02974885574,144.43119621304322,72.25172396850586
