Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,168.07,100000.0,0.0,HOLD
2018-01-02,100000.0,0,167.97,100000.0,0.0,HOLD
2018-01-03,4968.26,568,167.06,99857.62,1.0,BUY
2018-01-04,4968.26,568,170.83,101998.49,1.0,HOLD
2018-01-05,4968.26,568,176.72,105345.3,0.0,HOLD
2018-01-08,106429.34,0,178.9,106429.34,-1.0,SELL
2018-01-09,106429.34,0,177.21,106429.34,-1.0,HOLD
2018-01-10,106429.34,0,175.52,106429.34,-1.0,HOLD
2018-01-11,106429.34,0,173.39,106429.34,0.0,HOLD
2018-01-12,106429.34,0,172.4,106429.34,0.0,HOLD
2018-01-15,106429.34,0,169.28,106429.34,0.0,HOLD
2018-01-16,106429.34,0,164.34,106429.34,0.0,HOLD
2018-01-17,106429.34,0,165.69,106429.34,0.0,HOLD
2018-01-18,106429.34,0,161.74,106429.34,0.0,HOLD
2018-01-19,106429.34,0,165.75,106429.34,0.0,HOLD
2018-01-22,106429.34,0,166.19,106429.34,0.0,HOLD
2018-01-23,106429.34,0,166.42,106429.34,0.0,HOLD
2018-01-24,106429.34,0,169.38,106429.34,0.0,HOLD
2018-01-25,106429.34,0,166.57,106429.34,0.0,HOLD
2018-01-29,106429.34,0,167.06,106429.34,0.0,HOLD
2018-01-30,106429.34,0,163.46,106429.34,0.0,HOLD
2018-01-31,106429.34,0,163.41,106429.34,0.0,HOLD
2018-02-01,106429.34,0,168.44,106429.34,0.0,HOLD
2018-02-02,106429.34,0,158.64,106429.34,0.0,HOLD
2018-02-05,106429.34,0,156.31,106429.34,0.0,HOLD
2018-02-06,106429.34,0,161.88,106429.34,0.0,HOLD
2018-02-07,106429.34,0,159.89,106429.34,0.0,HOLD
2018-02-08,106429.34,0,161.88,106429.34,0.0,HOLD
2018-02-09,106429.34,0,159.67,106429.34,0.0,HOLD
2018-02-12,106429.34,0,160.1,106429.34,0.0,HOLD
2018-02-14,106429.34,0,162.64,106429.34,0.0,HOLD
2018-02-15,106429.34,0,163.33,106429.34,0.0,HOLD
2018-02-16,106429.34,0,163.16,106429.34,0.0,HOLD
2018-02-19,106429.34,0,159.99,106429.34,0.0,HOLD
2018-02-20,106429.34,0,159.6,106429.34,0.0,HOLD
2018-02-21,106429.34,0,155.48,106429.34,0.0,HOLD
2018-02-22,106429.34,0,155.86,106429.34,0.0,HOLD
2018-02-23,106429.34,0,159.08,106429.34,0.0,HOLD
2018-02-26,106429.34,0,163.13,106429.34,0.0,HOLD
2018-02-27,106429.34,0,161.36,106429.34,0.0,HOLD
2018-02-28,106429.34,0,159.75,106429.34,0.0,HOLD
2018-03-01,106429.34,0,161.61,106429.34,0.0,HOLD
2018-03-05,106429.34,0,159.43,106429.34,0.0,HOLD
2018-03-06,106429.34,0,159.51,106429.34,0.0,HOLD
2018-03-07,106429.34,0,157.62,106429.34,0.0,HOLD
2018-03-08,106429.34,0,158.56,106429.34,0.0,HOLD
2018-03-09,106429.34,0,161.11,106429.34,0.0,HOLD
2018-03-12,106429.34,0,162.18,106429.34,0.0,HOLD
2018-03-13,106429.34,0,163.69,106429.34,0.0,HOLD
2018-03-14,106429.34,0,166.55,106429.34,0.0,HOLD
2018-03-15,106429.34,0,168.13,106429.34,0.0,HOLD
2018-03-16,106429.34,0,164.39,106429.34,0.0,HOLD
2018-03-19,106429.34,0,158.93,106429.34,0.0,HOLD
2018-03-20,106429.34,0,161.41,106429.34,0.0,HOLD
2018-03-21,106429.34,0,166.01,106429.34,0.0,HOLD
2018-03-22,106429.34,0,165.14,106429.34,0.0,HOLD
2018-03-23,106429.34,0,164.14,106429.34,0.0,HOLD
2018-03-26,106429.34,0,169.62,106429.34,0.0,HOLD
2018-03-27,106429.34,0,172.62,106429.34,0.0,HOLD
2018-03-28,106429.34,0,172.15,106429.34,0.0,HOLD
2018-04-02,106429.34,0,177.12,106429.34,0.0,HOLD
2018-04-03,106429.34,0,178.64,106429.34,0.0,HOLD
2018-04-04,106429.34,0,180.2,106429.34,0.0,HOLD
2018-04-05,106429.34,0,186.57,106429.34,-1.0,HOLD
2018-04-06,106429.34,0,188.71,106429.34,-1.0,HOLD
2018-04-09,106429.34,0,189.36,106429.34,-1.0,HOLD
2018-04-10,106429.34,0,187.58,106429.34,-1.0,HOLD
2018-04-11,106429.34,0,187.45,106429.34,-1.0,HOLD
2018-04-12,106429.34,0,187.91,106429.34,-1.0,HOLD
2018-04-13,106429.34,0,186.44,106429.34,-1.0,HOLD
2018-04-16,106429.34,0,189.26,106429.34,0.0,HOLD
2018-04-17,106429.34,0,188.46,106429.34,-1.0,HOLD
2018-04-18,106429.34,0,187.66,106429.34,-1.0,HOLD
2018-04-19,106429.34,0,186.34,106429.34,0.0,HOLD
2018-04-20,106429.34,0,183.14,106429.34,0.0,HOLD
2018-04-23,106429.34,0,184.98,106429.34,0.0,HOLD
2018-04-24,106429.34,0,186.78,106429.34,0.0,HOLD
2018-04-25,106429.34,0,185.03,106429.34,0.0,HOLD
