Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-01-03,BUY,167.1422604446411,568,95031.74073648869,4968.259263511311,94.93680393255615,47.44467962646485
2018-01-08,SELL,178.80746316528322,568,101461.076438803,106429.3357023143,101.56263907788087,50.806722900390625
2018-09-24,BUY,220.67552920532225,458,101170.46176841362,5258.873933900686,101.0693923760376,50.50944146728516
2019-03-19,SELL,284.82257484436036,458,130318.29053943833,135577.164473339,130.44873927871703,65.25699813842773
2019-07-26,BUY,319.21442857360836,403,128772.05812987931,6805.106343459702,128.64341471516417,64.28956257629395
2019-09-24,SELL,386.99497383117676,403,155803.01547951027,162608.12182297,155.95897445396423,78.01849647521973
2020-03-11,BUY,395.0251116027832,391,154609.2734553249,7998.848367645085,154.45481863668823,77.1888149108887
2020-06-24,SELL,287.30424354553224,391,112223.62326707681,120222.4716347219,112.33595922630312,56.19607765197754
2020-09-25,BUY,307.6337509918213,371,114246.25373958364,5976.217895138252,114.1321216179657,57.03754203796387
2020-11-10,SELL,412.0479928131104,371,152716.9355283303,158693.15342346855,152.86980533366398,76.4731392364502
2021-04-13,BUY,463.4426040344238,325,150769.46515749893,7923.6882659696275,150.61884631118775,75.2717872619629
2021-08-23,SELL,662.1582572021484,325,214986.23215710753,222909.92042307716,215.20143359069823,107.65454406738282
2021-11-29,BUY,677.893770172119,312,211714.3591499948,11195.561273082363,211.50285629370114,105.69857885742188
2022-07-22,SELL,615.953404876709,312,191985.28485921168,203180.84613229404,192.17746232153323,96.13679956054688
2022-12-12,BUY,641.0275679626465,301,193142.24725471332,10038.59887758072,192.9492979567566,96.42643576049805
2023-05-09,SELL,644.8896131286622,301,193917.6617781756,203956.2606557563,194.11177355172734,97.10443899536133
2024-02-02,BUY,677.5690229187011,285,193300.2787033616,10655.981952394708,193.1071715318298,96.50533309936523
2024-04-01,SELL,716.6900596923829,285,204052.4103453168,214708.3922977115,204.25666701232913,102.17942321777343
2024-10-23,BUY,695.6373787536621,293,204025.57372679783,10682.818570913689,203.821751974823,101.8599460144043
2025-02-03,SELL,836.9940743713379,293,244994.0245270112,255676.8430979249,245.23926379080203,122.6809723815918
2026-03-12,BUY,863.5315255737304,281,242895.01104490444,12781.832053020451,242.65235868621824,121.26554656982422
