Date,Portfolio_Value,Action
2018-01-01,100000.0,BUY
2018-01-02,99942.04887390137,HOLD
2018-01-03,99400.21537780762,HOLD
2018-01-04,101642.85041809082,HOLD
2018-01-05,105148.75282287598,HOLD
2018-01-08,106443.93280029297,HOLD
2018-01-09,105438.50845336914,HOLD
2018-01-10,104435.9984588623,HOLD
2018-01-11,103169.81674194336,HOLD
2018-01-12,102575.82450866699,HOLD
2018-01-15,100724.37545776367,HOLD
2018-01-16,97780.53451538086,HOLD
2018-01-17,98583.1526184082,HOLD
2018-01-18,96236.22734069824,HOLD
2018-01-19,98623.7084197998,HOLD
2018-01-22,98881.5786743164,HOLD
2018-01-23,99017.75428771973,HOLD
2018-01-24,100782.29934692383,HOLD
2018-01-25,99110.47790527344,HOLD
2018-01-29,99400.21537780762,HOLD
2018-01-30,97261.89781188965,HOLD
2018-01-31,97230.02151489258,HOLD
2018-02-01,100220.21064758301,HOLD
2018-02-02,94393.43055725098,HOLD
2018-02-05,93005.54512023926,HOLD
2018-02-06,96320.23513793945,HOLD
2018-02-07,95132.28698730469,HOLD
2018-02-08,96320.23513793945,HOLD
2018-02-09,95001.89468383789,HOLD
2018-02-12,95256.88690185547,HOLD
2018-02-14,96772.23213195801,HOLD
2018-02-15,97183.67332458496,HOLD
2018-02-16,97079.37400817871,HOLD
2018-02-19,95193.12522888184,HOLD
2018-02-20,94964.2259979248,HOLD
2018-02-21,92512.98324584961,HOLD
2018-02-22,92738.97720336914,HOLD
2018-02-23,94654.19700622559,HOLD
2018-02-26,97061.96960449219,HOLD
2018-02-27,96010.21522521973,HOLD
2018-02-28,95051.14814758301,HOLD
2018-03-01,96157.96653747559,HOLD
2018-03-05,94859.92668151855,HOLD
2018-03-06,94906.28395080566,HOLD
2018-03-07,93782.07023620605,HOLD
2018-03-08,94344.17709350586,HOLD
2018-03-09,95859.54048156738,HOLD
2018-03-12,96499.88090515137,HOLD
2018-03-13,97395.18630981445,HOLD
2018-03-14,99098.88404846191,HOLD
2018-03-15,100034.76341247559,HOLD
2018-03-16,97812.42897033691,HOLD
2018-03-19,94564.37866210938,HOLD
2018-03-20,96039.16809082031,HOLD
2018-03-21,98777.27935791016,HOLD
2018-03-22,98258.62449645996,HOLD
2018-03-23,97661.76330566406,HOLD
2018-03-26,100924.30366516113,HOLD
2018-03-27,102712.00012207031,HOLD
2018-03-28,102428.05503845215,HOLD
2018-04-02,105386.35879516602,HOLD
2018-04-03,106293.25805664062,HOLD
2018-04-04,107217.55264282224,HOLD
2018-04-05,111007.40921020508,HOLD
2018-04-06,112282.29766845703,HOLD
2018-04-09,112667.64587402344,HOLD
2018-04-10,111612.97714233397,HOLD
2018-04-11,111531.8473815918,HOLD
2018-04-12,111804.20768737792,HOLD
2018-04-13,110934.9861907959,HOLD
2018-04-16,112612.61817932129,HOLD
2018-04-17,112134.53727722167,HOLD
2018-04-18,111659.3253326416,HOLD
2018-04-19,110874.12071228027,HOLD
2018-04-20,108967.61672973633,HOLD
2018-04-23,110065.74653625488,HOLD
2018-04-24,111134.91439819337,HOLD
2018-04-25,110094.71755981445,HOLD
2018-04-26,109645.60768127441,HOLD
2018-04-27,110170.07308959962,HOLD
2018-04-30,110549.61982727051,HOLD
2018-05-02,110398.94508361816,HOLD
2018-05-03,108614.11758422849,HOLD
2018-05-04,107634.76806640625,HOLD
2018-05-07,109839.74349975587,HOLD
2018-05-08,108272.21229553223,HOLD
2018-05-09,107153.80912780762,HOLD
2018-05-10,106475.80909729004,HOLD
2018-05-11,107872.38311767578,HOLD
2018-05-14,108046.20018005371,HOLD
2018-05-15,110216.41220092772,HOLD
2018-05-16,111259.49615478516,HOLD
2018-05-17,119751.92817687988,HOLD
2018-05-18,124570.3695678711,HOLD
2018-05-21,122009.04418945312,HOLD
2018-05-22,124550.09620666504,HOLD
2018-05-23,120441.50390625,HOLD
2018-05-24,121388.97712707518,HOLD
2018-05-25,122620.39543151857,HOLD
2018-05-28,121400.57098388669,HOLD
2018-05-29,120366.18469238281,HOLD
2018-05-30,122773.95729064941,HOLD
