Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-01-30,BUY,465.81973805236817,203,94655.96823145536,5344.031768544635,94.56140682463075,47.25707487487793
2018-03-08,SELL,432.0879251098633,203,87626.13494850496,92970.1667170496,87.71384879730226,43.87886383056641
2018-04-03,BUY,447.2382473602295,197,88194.04066469517,4776.126052354419,88.10593472996521,44.030951889038086
2018-08-07,SELL,500.1035523834229,197,98421.87941971477,103198.00547206918,98.5203998195343,49.28484233093262
2018-11-27,BUY,484.8874031066895,202,98045.20268297882,5152.802789090361,97.94725542755128,48.94915313720704
2019-01-30,SELL,477.5262541503906,202,96363.84303504053,101516.64582413089,96.4603033383789,48.25427880859375
2019-03-13,BUY,523.0746390380859,184,96341.9793165908,5174.6665075400815,96.2457335830078,48.0988173828125
2019-07-23,SELL,534.5254502563477,184,98254.3301643208,103428.99667186088,98.35268284716797,49.20094189453125
2019-09-23,BUY,595.7160441284179,164,97795.12866829759,5633.868003563286,97.69743123706056,48.82430346679688
2019-12-06,SELL,589.8191396789551,164,96633.6085684413,102267.47657200458,96.73033890734865,48.38936413574219
2019-12-19,BUY,610.6652264099121,159,97192.86677017518,5074.6098018294,97.09577099917603,48.52362368774414
2020-01-28,SELL,579.002956237793,159,91969.40857176729,97044.01837359669,92.0614700418091,46.05376190185547
2020-06-04,BUY,474.6301102752685,194,92170.31963479548,4873.698738801206,92.0782413934021,46.01611264038086
2020-08-04,SELL,493.06611827087403,194,95559.17211760502,100432.87085640623,95.65482694454957,47.851339141845706
2020-08-25,BUY,530.5414443054199,179,95061.88544920081,5370.985407205415,94.96691853067016,47.459729400634764
2020-09-23,SELL,495.7168308258057,179,88644.57940510141,94015.56481230682,88.73331271781923,44.38885078430176
2020-10-07,BUY,550.7027039794922,162,89303.0518827224,4712.512929584424,89.21383804467773,44.58462670898437
2021-01-29,SELL,658.1946028137207,162,106520.89813016693,111233.41105975135,106.62752565582275,53.340433044433595
2021-02-03,BUY,746.1790554199218,141,105316.45806102318,5916.952998728171,105.21124681420898,52.579333740234375
2021-04-13,SELL,662.8570653381348,141,93369.38336646433,99286.3363651925,93.46284621267701,46.7548005065918
2021-05-19,BUY,690.9309862060546,136,94060.58073814744,5225.755627045059,93.96661412402344,46.9598271484375
2021-07-22,SELL,688.7115022583008,136,93571.09954282177,98796.85516986683,93.6647643071289,46.855810058593754
2021-09-27,BUY,773.3449753417968,121,93668.31675837377,5128.538411493064,93.57474201635742,46.763989013671875
2021-12-20,SELL,677.753605041504,121,81926.17802381197,87054.71643530503,82.00818621002199,41.024605407714844
2022-01-06,BUY,732.7290354309082,112,82147.71762022997,4906.998815075058,82.06565196826172,41.01231982421875
2022-02-25,SELL,692.2295177612305,112,77452.17628326855,82359.1750983436,77.5297059892578,38.7842451171875
2022-04-05,BUY,765.3265027770996,102,78141.36658654742,4217.808511796189,78.06330328326416,39.01214556884766
2022-04-20,SELL,643.833805847168,102,65605.37714821473,69823.18566001092,65.67104819641114,32.851950073242186
2022-05-30,BUY,674.7179276733398,98,66188.47926889927,3634.706391111642,66.1223569119873,33.04465612792969
2022-09-27,SELL,679.9588617248536,98,66569.33248058661,70204.03887169826,66.63596844903564,33.33465155029297
2022-11-01,BUY,728.4911997985839,91,66358.9918808528,3845.0469908454543,66.29269918167114,33.129784698486326
2023-01-11,SELL,765.1070012207032,91,69555.11237397291,73400.15936481836,69.62473711108399,34.829783447265626
2023-01-24,BUY,816.227856262207,85,69448.74715006987,3951.4122147484886,69.37936778228759,34.672347717285156
2023-03-16,SELL,746.3508200378418,85,63376.37988351334,67327.79209826182,63.43981970321656,31.735777740478515
2023-04-06,BUY,802.1947812194824,79,63436.76110405544,3891.030994206383,63.37338771633911,31.67085842895508
2023-05-08,SELL,790.8607194824219,79,62415.51884227222,66306.5498364786,62.47799683911133,31.254625732421875
2023-06-23,BUY,800.2679760131836,78,62483.32303115734,3823.226805321261,62.42090212902832,31.194853637695314
2023-10-26,SELL,711.8597734069824,78,55469.53726341888,59292.76406874014,55.52506232574463,27.776419372558593
2023-11-28,BUY,744.3441540527343,75,55881.63736550902,3411.1267032311225,55.82581155395507,27.898956298828125
2024-01-18,SELL,722.9263808898926,75,54165.2590881752,57576.38579140632,54.21947856674194,27.123300933837893
2024-04-03,BUY,721.7750137939453,75,54187.259160580434,3389.1266308258855,54.133126034545896,27.053036499023438
2024-05-09,SELL,704.1253612976075,75,52756.59269522324,56145.719326049126,52.809402097320564,26.41791000366211
2024-06-04,BUY,732.0507179260253,72,52760.35934236449,3385.3599836846333,52.70765169067383,26.340655517578124
2025-01-07,SELL,844.8517768554688,72,60768.498605660156,64153.85858934479,60.829327933593746,30.42987890625
2025-02-05,BUY,857.740423461914,71,60960.469635861686,3193.3889534831033,60.8995700657959,30.434567749023437
2025-08-28,SELL,957.3210877990723,71,67901.8274365004,71095.21638998351,67.96979723373414,34.001899566650394
2025-10-20,BUY,1003.4514872131347,67,67298.4808929233,3796.7354970602173,67.23124964328002,33.59882540893555
2025-12-18,SELL,979.2101622009278,67,65541.47378659471,69338.20928365493,65.60708086746217,32.81995040893555
