Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-10-24,BUY,468.03150622558593,202,94636.90662182592,5363.093378174075,94.54236425756837,47.24755834960938
2018-11-12,SELL,450.85365351867677,202,90981.36557276193,96344.45895093601,91.0724380107727,45.55899850463867
2018-12-21,BUY,495.96419728088375,184,91348.66971198228,4995.78923895373,91.25741229968261,45.60590319824219
2020-03-19,SELL,423.90949073791506,184,77921.34694948059,82917.13618843432,77.99934629577638,39.019182739257815
2020-09-24,BUY,488.2288862457275,161,78683.45553624768,4233.680652186638,78.60485068556213,39.282783950805666
2020-09-29,SELL,502.9591490173341,161,80895.446568799,85129.12722098564,80.9764229917908,40.508465728759774
2020-10-06,BUY,542.1027030029296,149,80854.07605018394,4275.0511708017,80.7733027474365,40.36646813964844
2022-01-21,SELL,723.3681154785156,149,107674.06735709253,111949.11852789423,107.78184920629883,53.91788354492188
2022-09-12,BUY,719.0074563903809,147,105799.79018547536,6149.32834241887,105.694096089386,52.82063772583008
2023-09-28,SELL,741.1922677917481,147,108846.30810202159,114995.63644444046,108.95526336538697,54.50488412475586
2024-06-20,BUY,823.9549234313964,132,108870.81194283726,6124.8245016032015,108.76204989294433,54.35384802246094
2025-03-17,SELL,843.3725973815918,132,111213.85767151575,117338.68217311896,111.32518285437013,55.690436645507816
2025-03-26,BUY,891.673946685791,125,111570.70257905958,5767.979594059376,111.45924333572387,55.7017707824707
2026-02-02,SELL,927.6359255981447,125,115838.53620906832,121606.5158031277,115.95449069976809,58.0062484741211
