Date,Portfolio_Value,Action
2018-01-01,100000.0,BUY
2018-01-02,100962.05352783202,HOLD
2018-01-03,99900.29806518553,HOLD
2018-01-04,100291.03405761719,HOLD
2018-01-05,100490.46612548827,HOLD
2018-01-08,100328.76330566405,HOLD
2018-01-09,100495.85198974608,HOLD
2018-01-10,100522.80245971678,HOLD
2018-01-11,100972.83230590819,HOLD
2018-01-12,100582.089263916,HOLD
2018-01-15,102331.03588867188,HOLD
2018-01-16,102460.38122558594,HOLD
2018-01-17,101940.2646484375,HOLD
2018-01-18,104300.94393920897,HOLD
2018-01-19,105265.68334960938,HOLD
2018-01-22,105866.63723754881,HOLD
2018-01-23,105217.18942260741,HOLD
2018-01-24,105559.42443847655,HOLD
2018-01-25,106491.82751464844,HOLD
2018-01-29,107823.08062744139,HOLD
2018-01-30,107599.41921997069,HOLD
2018-01-31,108149.1580505371,HOLD
2018-02-01,107364.97198486327,HOLD
2018-02-02,105039.3219604492,HOLD
2018-02-05,103198.75219726562,HOLD
2018-02-06,102279.82788085938,HOLD
2018-02-07,100986.31106567381,HOLD
2018-02-08,101425.56213378905,HOLD
2018-02-09,99730.52349853514,HOLD
2018-02-12,101193.80783081053,HOLD
2018-02-14,101544.12869262694,HOLD
2018-02-15,101476.77014160155,HOLD
2018-02-16,101298.91677856444,HOLD
2018-02-19,101277.35217285155,HOLD
2018-02-20,100468.90151977538,HOLD
2018-02-21,100156.3028564453,HOLD
2018-02-22,99929.92736816405,HOLD
2018-02-23,101404.01162719725,HOLD
2018-02-26,103074.79272460938,HOLD
2018-02-27,102589.7265625,HOLD
2018-02-28,101600.72256469725,HOLD
2018-03-01,101069.84835815428,HOLD
2018-03-05,100832.70114135741,HOLD
2018-03-06,99555.34896850584,HOLD
2018-03-07,98819.67092895506,HOLD
2018-03-08,99911.0768432617,HOLD
2018-03-09,99814.06079101562,HOLD
2018-03-12,100687.17001342772,HOLD
2018-03-13,100309.89868164062,HOLD
2018-03-14,100538.96710205077,HOLD
2018-03-15,101417.49038696288,HOLD
2018-03-16,99919.14859008788,HOLD
2018-03-19,99609.2428588867,HOLD
2018-03-20,99191.54934692381,HOLD
2018-03-21,100237.14016723631,HOLD
2018-03-22,100714.12753295897,HOLD
2018-03-23,99302.04415893553,HOLD
2018-03-26,102099.26748657225,HOLD
2018-03-27,102053.4664916992,HOLD
2018-03-28,101703.13858032225,HOLD
2018-04-02,104133.8623046875,HOLD
2018-04-03,103309.23995971678,HOLD
2018-04-04,101549.52865600584,HOLD
2018-04-05,102931.96862792969,HOLD
2018-04-06,103713.48291015624,HOLD
2018-04-09,104556.95578002928,HOLD
2018-04-10,103576.04467773438,HOLD
2018-04-11,103468.24279785155,HOLD
2018-04-12,104004.51696777344,HOLD
2018-04-13,103799.71313476562,HOLD
2018-04-16,104721.33743286131,HOLD
2018-04-17,105066.27243041991,HOLD
2018-04-18,104209.31375122069,HOLD
2018-04-19,104554.26284790038,HOLD
2018-04-20,105465.10836791991,HOLD
2018-04-23,104379.09536743163,HOLD
2018-04-24,104338.6661376953,HOLD
2018-04-25,103570.64471435545,HOLD
2018-04-26,104082.66839599608,HOLD
2018-04-27,103713.48291015624,HOLD
2018-04-30,104839.91104125975,HOLD
2018-05-02,106198.10052490233,HOLD
2018-05-03,106111.87030029295,HOLD
2018-05-04,107222.1337890625,HOLD
2018-05-07,106623.89398193358,HOLD
2018-05-08,106066.06930541991,HOLD
2018-05-09,106677.794921875,HOLD
2018-05-10,107448.49517822264,HOLD
2018-05-11,108475.22842407225,HOLD
2018-05-14,109014.19552612303,HOLD
2018-05-15,109879.24005126952,HOLD
2018-05-16,109100.43280029295,HOLD
2018-05-17,109337.58706665038,HOLD
2018-05-18,108496.7859802246,HOLD
2018-05-21,107467.35980224608,HOLD
2018-05-22,107297.59228515624,HOLD
2018-05-23,106090.29864501952,HOLD
2018-05-24,107087.39553833006,HOLD
2018-05-25,108310.83972167969,HOLD
2018-05-28,110116.38021850584,HOLD
2018-05-29,109598.97772216795,HOLD
2018-05-30,110447.864654541,HOLD
2018-05-31,116094.31591796874,HOLD
2018-06-01,114529.46151733397,HOLD
2018-06-04,111036.36901855469,HOLD
2018-06-05,111980.1641845703,HOLD
2018-06-06,111641.15081787108,HOLD
2018-06-07,111904.21221923827,HOLD
2018-06-08,111207.22921752928,HOLD
2018-06-11,110824.82580566405,HOLD
2018-06-12,110908.90591430663,HOLD
2018-06-13,110236.30734252928,HOLD
2018-06-14,110559.02917480469,HOLD
2018-06-15,110135.95684814452,HOLD
2018-06-18,109569.14398193358,HOLD
2018-06-19,109805.0927734375,HOLD
2018-06-20,111576.04812622069,HOLD
2018-06-21,111654.71417236327,HOLD
2018-06-22,113051.41540527344,HOLD
2018-06-25,113680.59573364256,HOLD
2018-06-26,113612.79306030272,HOLD
2018-06-27,114637.94015502928,HOLD
2018-06-28,115627.84649658202,HOLD
2018-06-29,114412.84768676756,HOLD
2018-07-02,112503.57995605469,HOLD
2018-07-03,112338.14791870116,HOLD
2018-07-04,114147.07220458983,HOLD
2018-07-05,115242.73605346678,HOLD
2018-07-06,114776.25958251952,HOLD
2018-07-09,115345.77947998045,HOLD
2018-07-10,116471.27706909178,HOLD
2018-07-11,116571.62756347655,HOLD
2018-07-12,117531.68606567381,HOLD
2018-07-13,118342.5899658203,HOLD
2018-07-16,117688.99700927733,HOLD
2018-07-17,118117.49749755858,HOLD
2018-07-18,118087.64965820312,HOLD
2018-07-19,118624.65698242186,HOLD
2018-07-20,118784.66790771483,HOLD
2018-07-23,117016.40548706053,HOLD
2018-07-24,117195.40792846678,HOLD
2018-07-25,117770.37008666991,HOLD
2018-07-26,118977.20550537108,HOLD
2018-07-27,119495.19311523436,HOLD
2018-07-30,117745.93630981444,HOLD
2018-07-31,118266.65914916991,HOLD
2018-08-01,117138.4404296875,HOLD
2018-08-02,115592.58459472655,HOLD
2018-08-03,115128.82220458983,HOLD
2018-08-06,114730.1625061035,HOLD
2018-08-07,115630.54647827147,HOLD
2018-08-08,115926.17684936522,HOLD
2018-08-09,114957.97610473631,HOLD
2018-08-10,114738.2835998535,HOLD
2018-08-13,113501.59329223631,HOLD
2018-08-14,113363.30206298827,HOLD
2018-08-16,112636.45712280272,HOLD
2018-08-17,112725.96539306639,HOLD
2018-08-20,113748.39840698241,HOLD
2018-08-21,113740.25616455077,HOLD
2018-08-23,112864.27072143553,HOLD
2018-08-24,112319.16345214844,HOLD
2018-08-27,112894.09741210938,HOLD
2018-08-28,113675.18167114256,HOLD
2018-08-29,112788.33990478514,HOLD
2018-08-30,112115.76953125,HOLD
2018-08-31,111849.97290039062,HOLD
2018-09-03,112601.20932006834,HOLD
2018-09-04,111340.10638427733,HOLD
2018-09-05,111017.37045288084,HOLD
2018-09-06,111361.79788208006,HOLD
2018-09-07,111619.4381713867,HOLD
2018-09-10,110762.4512939453,HOLD
2018-09-11,108552.13208007812,HOLD
2018-09-12,109173.1983642578,HOLD
2018-09-14,110135.95684814452,HOLD
2018-09-17,108107.34710693358,HOLD
2018-09-18,107944.62915039062,HOLD
2018-09-19,106434.03521728514,HOLD
2018-09-21,106916.7679748535,HOLD
