Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-05-09,BUY,294.8404923248291,322,95033.57716712356,4966.422832876444,94.93863852859496,47.44559646606445
2018-06-29,SELL,264.3999909515381,322,85051.66028930887,90018.08312218532,85.13679708639526,42.58969338989258
2018-07-27,BUY,281.77063668823234,303,85461.87941945092,4556.20370273439,85.3765029165344,42.666917999267575
2018-09-14,SELL,316.64360095214846,303,95847.06807741248,100403.27178014687,95.94301108850098,47.99550329589844
2018-10-23,BUY,311.6512311401367,306,95460.6420056107,4942.629774536166,95.36527672888182,47.658808959960936
2019-01-29,SELL,334.48407200622563,306,102249.77390787115,107192.40368240731,102.35212603390505,51.201663848876954
2019-03-07,BUY,357.93791271972657,284,101756.02157961474,5436.382102792573,101.65436721240235,50.80178271484375
2019-05-14,SELL,366.83791262817385,284,104077.78521921497,109514.16732200755,104.18196718640138,52.11704211425781
2019-05-27,BUY,420.3936550140381,247,103941.07002125586,5573.097300751688,103.8372327884674,51.8926700592041
2019-07-22,SELL,397.79871232604984,247,98158.02566258977,103731.12296334146,98.25628194453431,49.15271733093262
2019-09-24,BUY,426.6461998901367,230,98226.75460070616,5504.368362635301,98.12862597473145,49.03979309082031
2020-01-07,SELL,505.489590927124,230,116146.34330732528,121650.71166996058,116.26260591323853,58.16038314819336
2020-02-13,BUY,523.5100372924804,220,115287.38041255002,6363.331257410566,115.1722082043457,57.55732543945312
2020-02-28,SELL,480.6935234832764,220,105646.82259115449,112010.15384856505,105.75257516632081,52.90273895263672
2020-06-24,BUY,336.84634803771974,315,106212.70623151358,5797.447617051468,106.10659963188172,53.026786422729494
2020-09-22,SELL,342.5998546142578,315,107811.03524928773,113608.4828663392,107.91895420349121,53.98647033691407
2020-10-12,BUY,390.9875408477783,276,108020.47383526078,5588.009031078414,107.91256127398681,53.92931597900391
2021-03-19,SELL,567.1168734436036,276,156367.73281336416,161955.74184444256,156.5242570704346,78.30127917480469
2021-04-29,BUY,601.3591841125487,255,153499.9385406486,8455.803303793946,153.34659194869994,76.63497848510742
2021-10-04,SELL,678.8680987854004,255,172938.25382508684,181394.05712888078,173.11136519027713,86.59898208618164
2021-10-19,BUY,725.4036582641601,237,172092.58767561452,9301.469453266269,171.92066700860593,85.91737481689454
2021-11-29,SELL,696.5136295166016,237,164908.65646523912,174210.1259185054,165.07373019543456,82.5781541748047
2022-01-06,BUY,761.8945508422851,217,165496.44865030862,8713.67726819677,165.33111753277586,82.62424664306641
2022-02-15,SELL,752.4072385559083,217,163109.09839586547,171822.77566406224,163.27237076663212,81.67702389526367
2022-07-08,BUY,733.4102840881347,222,162979.90015063348,8842.875513428764,162.81708306756593,81.36785760498047
2022-09-28,SELL,828.56207421875,222,183756.83969608595,192599.71520951472,183.9407804765625,92.0163984375
2022-10-25,BUY,903.1527056579589,202,182619.2833894506,9980.431820064114,182.43684654290772,91.17283685302735
2022-12-16,SELL,879.7681478271485,202,177535.4526952229,187515.884515287,177.71316586108398,88.90103344726563
2023-07-06,BUY,936.6896073303222,190,178148.99641815395,9366.88809713305,177.97102539276122,88.94104217529296
2023-10-26,SELL,893.549278717041,190,169604.58859328157,178971.47669041462,169.7743629562378,84.92964630126953
2023-12-05,BUY,997.6047542724609,170,169762.40103454466,9209.075655869965,169.59280822631837,84.75402709960937
2024-04-19,SELL,1049.5135549316408,170,178238.88703404053,187447.9626899105,178.41730433837893,89.25327880859375
2024-04-30,BUY,1132.4134579467773,157,177966.70181054168,9481.260879368812,177.78891289764405,88.85003143310547
2024-05-30,SELL,1095.1915101928712,157,171773.1220331805,181254.3829125493,171.9450671002808,86.01554132080078
2024-06-04,BUY,1054.6977396240234,163,172087.6472902745,9166.735622274806,171.9157315587158,85.91490832519531
2024-06-05,SELL,1090.2254885864259,163,177529.04788494782,186695.78350722263,177.70675463958742,88.89782623291016
2024-06-26,BUY,1198.9566005859374,147,176422.8669064189,10272.916600803728,176.24662028613278,88.0792705078125
2024-08-06,SELL,1147.4582104492188,147,168507.6805790991,178780.59717990283,168.67635693603515,84.38036865234375
2024-08-28,BUY,1215.086243408203,139,169065.88482157394,9714.712358328892,168.8969878337402,84.40629077148438
2025-01-14,SELL,1230.1876990356445,139,170825.09407578863,180539.80643411752,170.99609016595457,85.54081549072266
2025-03-20,BUY,1312.2355017700195,130,170761.20584533262,9778.600588784902,170.59061523010254,85.25268127441406
2025-06-11,SELL,1419.3328252563476,130,184328.75401604187,194107.35460482677,184.5132672833252,92.30278503417969
2025-06-30,BUY,1435.4469790649414,128,183920.9505336328,10186.404071193974,183.7372133203125,91.8226953125
2025-08-29,SELL,1397.101148803711,128,178650.11809982813,188836.5221710221,178.82894704687502,89.459203125
2025-10-20,BUY,1390.995198852539,128,178225.4328385781,10611.089332444011,178.047385453125,88.979203125
2025-11-07,SELL,1342.3285,128,171646.22995200002,182257.31928444403,171.818048,85.952
2026-01-07,BUY,1428.4138011474608,121,173010.90800878158,9246.411275662453,172.83806993884275,86.37584704589844
2026-03-04,SELL,1364.7173244018556,121,164965.6654563719,174212.07673203436,165.13079625262455,82.60670147705078
