Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,298.06,100000.0,0.0,HOLD
2018-01-02,100000.0,0,297.48,100000.0,0.0,HOLD
2018-01-03,100000.0,0,302.57,100000.0,0.0,HOLD
2018-01-04,100000.0,0,302.28,100000.0,0.0,HOLD
2018-01-05,100000.0,0,300.55,100000.0,0.0,HOLD
2018-01-08,100000.0,0,301.75,100000.0,0.0,HOLD
2018-01-09,100000.0,0,300.26,100000.0,0.0,HOLD
2018-01-10,100000.0,0,299.69,100000.0,0.0,HOLD
2018-01-11,100000.0,0,297.29,100000.0,0.0,HOLD
2018-01-12,100000.0,0,305.16,100000.0,0.0,HOLD
2018-01-15,100000.0,0,316.31,100000.0,0.0,HOLD
2018-01-16,100000.0,0,320.92,100000.0,0.0,HOLD
2018-01-17,100000.0,0,329.7,100000.0,0.0,HOLD
2018-01-18,100000.0,0,332.49,100000.0,0.0,HOLD
2018-01-19,100000.0,0,339.65,100000.0,0.0,HOLD
2018-01-22,100000.0,0,337.63,100000.0,0.0,HOLD
2018-01-23,100000.0,0,348.0,100000.0,0.0,HOLD
2018-01-24,100000.0,0,338.83,100000.0,0.0,HOLD
2018-01-25,100000.0,0,346.56,100000.0,0.0,HOLD
2018-01-29,100000.0,0,343.54,100000.0,0.0,HOLD
2018-01-30,100000.0,0,339.31,100000.0,0.0,HOLD
2018-01-31,100000.0,0,339.02,100000.0,0.0,HOLD
2018-02-01,100000.0,0,332.54,100000.0,0.0,HOLD
2018-02-02,100000.0,0,321.88,100000.0,0.0,HOLD
2018-02-05,100000.0,0,316.69,100000.0,0.0,HOLD
2018-02-06,100000.0,0,317.65,100000.0,0.0,HOLD
2018-02-07,100000.0,0,319.43,100000.0,0.0,HOLD
2018-02-08,100000.0,0,320.68,100000.0,0.0,HOLD
2018-02-09,100000.0,0,313.86,100000.0,0.0,HOLD
2018-02-12,100000.0,0,313.38,100000.0,0.0,HOLD
2018-02-14,100000.0,0,306.36,100000.0,0.0,HOLD
2018-02-15,100000.0,0,315.68,100000.0,0.0,HOLD
2018-02-16,100000.0,0,308.38,100000.0,0.0,HOLD
2018-02-19,100000.0,0,307.13,100000.0,0.0,HOLD
2018-02-20,100000.0,0,304.73,100000.0,0.0,HOLD
2018-02-21,100000.0,0,306.6,100000.0,0.0,HOLD
2018-02-22,100000.0,0,305.79,100000.0,0.0,HOLD
2018-02-23,100000.0,0,310.01,100000.0,0.0,HOLD
2018-02-26,100000.0,0,314.14,100000.0,0.0,HOLD
2018-02-27,100000.0,0,309.44,100000.0,0.0,HOLD
2018-02-28,100000.0,0,300.89,100000.0,0.0,HOLD
2018-03-01,100000.0,0,292.92,100000.0,0.0,HOLD
2018-03-05,100000.0,0,291.38,100000.0,0.0,HOLD
2018-03-06,100000.0,0,283.41,100000.0,0.0,HOLD
2018-03-07,100000.0,0,275.39,100000.0,0.0,HOLD
2018-03-08,100000.0,0,285.23,100000.0,0.0,HOLD
2018-03-09,100000.0,0,281.15,100000.0,0.0,HOLD
2018-03-12,100000.0,0,288.79,100000.0,0.0,HOLD
2018-03-13,100000.0,0,292.34,100000.0,0.0,HOLD
2018-03-14,100000.0,0,293.97,100000.0,0.0,HOLD
2018-03-15,100000.0,0,289.55,100000.0,0.0,HOLD
2018-03-16,100000.0,0,286.34,100000.0,0.0,HOLD
2018-03-19,100000.0,0,282.93,100000.0,0.0,HOLD
2018-03-20,100000.0,0,280.48,100000.0,0.0,HOLD
2018-03-21,100000.0,0,277.79,100000.0,0.0,HOLD
2018-03-22,100000.0,0,272.07,100000.0,0.0,HOLD
2018-03-23,100000.0,0,264.68,100000.0,0.0,HOLD
2018-03-26,100000.0,0,270.54,100000.0,0.0,HOLD
2018-03-27,100000.0,0,272.7,100000.0,0.0,HOLD
2018-03-28,100000.0,0,267.37,100000.0,0.0,HOLD
2018-04-02,100000.0,0,251.52,100000.0,0.0,HOLD
2018-04-03,100000.0,0,259.39,100000.0,0.0,HOLD
2018-04-04,100000.0,0,258.05,100000.0,0.0,HOLD
2018-04-05,100000.0,0,267.65,100000.0,0.0,HOLD
2018-04-06,100000.0,0,269.58,100000.0,0.0,HOLD
2018-04-09,100000.0,0,269.77,100000.0,0.0,HOLD
2018-04-10,100000.0,0,277.4,100000.0,0.0,HOLD
2018-04-11,100000.0,0,273.32,100000.0,0.0,HOLD
2018-04-12,100000.0,0,275.43,100000.0,0.0,HOLD
2018-04-13,100000.0,0,276.88,100000.0,0.0,HOLD
2018-04-16,100000.0,0,276.25,100000.0,0.0,HOLD
2018-04-17,100000.0,0,280.24,100000.0,0.0,HOLD
2018-04-18,100000.0,0,278.6,100000.0,0.0,HOLD
2018-04-19,100000.0,0,278.17,100000.0,0.0,HOLD
2018-04-20,100000.0,0,271.02,100000.0,0.0,HOLD
2018-04-23,100000.0,0,268.37,100000.0,0.0,HOLD
2018-04-24,100000.0,0,272.89,100000.0,0.0,HOLD
2018-04-25,100000.0,0,267.89,100000.0,0.0,HOLD
2018-04-26,100000.0,0,267.85,100000.0,0.0,HOLD
2018-04-27,100000.0,0,276.54,100000.0,0.0,HOLD
2018-04-30,100000.0,0,272.98,100000.0,0.0,HOLD
2018-05-02,100000.0,0,265.97,100000.0,0.0,HOLD
2018-05-03,100000.0,0,270.78,100000.0,0.0,HOLD
2018-05-04,100000.0,0,271.69,100000.0,0.0,HOLD
2018-05-07,100000.0,0,278.36,100000.0,0.0,HOLD
2018-05-08,100000.0,0,297.09,100000.0,0.0,HOLD
2018-05-09,100000.0,0,294.69,100000.0,0.0,HOLD
2018-05-10,100000.0,0,294.74,100000.0,0.0,HOLD
2018-05-11,100000.0,0,298.68,100000.0,0.0,HOLD
2018-05-14,100000.0,0,297.86,100000.0,0.0,HOLD
2018-05-15,100000.0,0,296.09,100000.0,0.0,HOLD
2018-05-16,100000.0,0,285.52,100000.0,0.0,HOLD
2018-05-17,100000.0,0,284.32,100000.0,0.0,HOLD
2018-05-18,100000.0,0,274.81,100000.0,0.0,HOLD
2018-05-21,100000.0,0,277.88,100000.0,0.0,HOLD
2018-05-22,100000.0,0,278.84,100000.0,0.0,HOLD
2018-05-23,100000.0,0,280.53,100000.0,0.0,HOLD
2018-05-24,100000.0,0,285.95,100000.0,0.0,HOLD
2018-05-25,100000.0,0,283.98,100000.0,0.0,HOLD
2018-05-28,100000.0,0,287.44,100000.0,0.0,HOLD
2018-05-29,100000.0,0,278.46,100000.0,0.0,HOLD
2018-05-30,100000.0,0,273.66,100000.0,0.0,HOLD
2018-05-31,100000.0,0,274.52,100000.0,0.0,HOLD
2018-06-01,100000.0,0,277.88,100000.0,0.0,HOLD
2018-06-04,100000.0,0,275.43,100000.0,0.0,HOLD
2018-06-05,100000.0,0,272.89,100000.0,0.0,HOLD
2018-06-06,100000.0,0,272.7,100000.0,0.0,HOLD
2018-06-07,100000.0,0,279.42,100000.0,0.0,HOLD
2018-06-08,100000.0,0,276.88,100000.0,0.0,HOLD
2018-06-11,100000.0,0,275.1,100000.0,0.0,HOLD
2018-06-12,100000.0,0,276.06,100000.0,0.0,HOLD
2018-06-13,100000.0,0,279.28,100000.0,0.0,HOLD
2018-06-14,100000.0,0,273.51,100000.0,0.0,HOLD
2018-06-15,100000.0,0,271.35,100000.0,0.0,HOLD
2018-06-18,100000.0,0,281.44,100000.0,0.0,HOLD
2018-06-19,100000.0,0,281.25,100000.0,0.0,HOLD
2018-06-20,100000.0,0,281.63,100000.0,0.0,HOLD
2018-06-21,100000.0,0,286.19,100000.0,0.0,HOLD
2018-06-22,100000.0,0,288.79,100000.0,0.0,HOLD
2018-06-25,100000.0,0,278.27,100000.0,0.0,HOLD
2018-06-26,100000.0,0,276.73,100000.0,0.0,HOLD
2018-06-27,100000.0,0,268.04,100000.0,0.0,HOLD
2018-06-28,100000.0,0,260.69,100000.0,0.0,HOLD
2018-06-29,100000.0,0,264.53,100000.0,0.0,HOLD
2018-07-02,100000.0,0,266.45,100000.0,0.0,HOLD
2018-07-03,100000.0,0,262.13,100000.0,0.0,HOLD
2018-07-04,100000.0,0,262.47,100000.0,0.0,HOLD
2018-07-05,100000.0,0,260.83,100000.0,0.0,HOLD
2018-07-06,100000.0,0,259.39,100000.0,0.0,HOLD
2018-07-09,100000.0,0,260.5,100000.0,0.0,HOLD
2018-07-10,100000.0,0,262.61,100000.0,0.0,HOLD
2018-07-11,100000.0,0,258.14,100000.0,0.0,HOLD
2018-07-12,100000.0,0,261.55,100000.0,0.0,HOLD
2018-07-13,100000.0,0,257.18,100000.0,0.0,HOLD
2018-07-16,100000.0,0,249.02,100000.0,0.0,HOLD
2018-07-17,100000.0,0,255.94,100000.0,0.0,HOLD
2018-07-18,100000.0,0,252.33,100000.0,0.0,HOLD
2018-07-19,100000.0,0,250.89,100000.0,0.0,HOLD
2018-07-20,100000.0,0,255.31,100000.0,0.0,HOLD
2018-07-23,100000.0,0,264.68,100000.0,0.0,HOLD
2018-07-24,100000.0,0,263.52,100000.0,0.0,HOLD
2018-07-25,100000.0,0,263.81,100000.0,0.0,HOLD
2018-07-26,100000.0,0,274.38,100000.0,0.0,HOLD
2018-07-27,100000.0,0,281.63,100000.0,0.0,HOLD
2018-07-30,100000.0,0,295.22,100000.0,0.0,HOLD
2018-07-31,100000.0,0,292.24,100000.0,0.0,HOLD
2018-08-01,100000.0,0,287.49,100000.0,0.0,HOLD
2018-08-02,100000.0,0,286.77,100000.0,0.0,HOLD
