Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-01-03,BUY,302.72083433532714,313,94846.37276810434,5153.627231895662,94.75162114695739,47.35213450622559
2018-01-16,SELL,320.75540510559085,313,100296.0453562519,105449.67258814756,100.39644179804995,50.223332565307615
2018-03-07,BUY,275.5240762481689,363,100115.25491776339,5334.417670384166,100.01523967808532,49.982628524780274
2018-07-31,SELL,292.09768302917485,363,105925.42748065088,111259.84515103504,106.03145893959046,53.042250595092774
2019-01-29,BUY,334.8187234039306,315,105573.36577011037,5686.479380924677,105.46789787223814,52.707595138549806
2019-03-13,SELL,377.9279153900147,315,118928.24605450676,124614.72543543144,119.04729334785462,59.55342338562012
2020-03-11,BUY,450.5960655670166,262,118174.22534773688,6440.500087694556,118.05616917855833,58.998585296630864
2020-08-31,SELL,381.46136506652834,262,99842.93476978301,106283.43485747756,99.94287764743044,49.99643704223633
2022-02-25,BUY,708.5168621520995,142,100710.00382002372,5573.431037453847,100.60939442559814,50.27955743408203
2022-07-12,SELL,736.7492999572754,142,104513.78219333918,110087.21323079303,104.61840059393312,52.33536798095703
2023-01-30,BUY,804.006538696289,130,104625.37088054807,5461.842350244959,104.52085003051756,52.234307861328126
2023-05-08,SELL,914.7832853088379,130,118802.90526305878,124264.74761330374,118.92182709014894,59.49065887451172
2023-10-27,BUY,898.479166442871,131,117818.47157482011,6446.276038483629,117.70077080401612,58.82097491455078
2023-12-05,SELL,996.6076480712891,131,130425.04629544153,136871.32233392517,130.55560189733887,65.31045617675781
2025-01-22,BUY,1191.8536856689452,109,130041.96378965293,6829.35854427224,129.91205173791502,64.92356408691407
2025-03-20,SELL,1310.9239220581055,109,142747.81679682917,149577.17534110142,142.8907075043335,71.48109429931641
2025-09-29,BUY,1348.7740255737303,105,141762.89395792692,7814.281383174501,141.62127268524168,70.77524871826172
2026-01-08,SELL,1434.2825,105,150449.0628375,158263.3442206745,150.59966250000002,75.3375
2026-03-10,BUY,1312.5559744262694,114,149781.0124656793,8482.331754995219,149.6313810845947,74.77830139160156
