Date,Portfolio_Value,Action
2018-01-01,100000.0,BUY
2018-01-02,99806.94152832031,HOLD
2018-01-03,101512.35610961914,HOLD
2018-01-04,101415.81665039062,HOLD
2018-01-05,100836.63101196289,HOLD
2018-01-08,101238.8395690918,HOLD
2018-01-09,100740.10177612305,HOLD
2018-01-10,100547.02285766602,HOLD
2018-01-11,99742.56484985352,HOLD
2018-01-12,102381.17034912108,HOLD
2018-01-15,106113.83178710938,HOLD
2018-01-16,107658.37112426758,HOLD
2018-01-17,110602.64572143555,HOLD
2018-01-18,111535.80596923828,HOLD
2018-01-19,113933.09860229492,HOLD
2018-01-22,113257.34283447266,HOLD
2018-01-23,116732.56912231445,HOLD
2018-01-24,113659.5718383789,HOLD
2018-01-25,116249.90249633789,HOLD
2018-01-29,115236.29440307617,HOLD
2018-01-30,113820.46752929688,HOLD
2018-01-31,113723.93829345703,HOLD
2018-02-01,111551.91802978516,HOLD
2018-02-02,107980.16250610352,HOLD
2018-02-05,106242.54425048828,HOLD
2018-02-06,106564.31518554688,HOLD
2018-02-07,107159.60266113281,HOLD
2018-02-08,107577.92327880858,HOLD
2018-02-09,105293.27194213867,HOLD
2018-02-12,105132.38647460938,HOLD
2018-02-14,102783.40957641602,HOLD
2018-02-15,105904.67147827148,HOLD
2018-02-16,103459.12445068358,HOLD
2018-02-19,103040.82427978516,HOLD
2018-02-20,102236.37649536133,HOLD
2018-02-21,102863.83697509766,HOLD
2018-02-22,102590.34088134766,HOLD
2018-02-23,104006.16775512695,HOLD
2018-02-26,105389.82162475586,HOLD
2018-02-27,103813.09906005858,HOLD
2018-02-28,100949.25186157227,HOLD
2018-03-01,98278.46313476562,HOLD
2018-03-05,97763.63372802733,HOLD
2018-03-06,95092.8450012207,HOLD
2018-03-07,92405.99533081055,HOLD
2018-03-08,95704.22409057617,HOLD
2018-03-09,94336.67205810547,HOLD
2018-03-12,96894.80926513672,HOLD
2018-03-13,98085.40466308594,HOLD
2018-03-14,98632.41729736328,HOLD
2018-03-15,97152.2444152832,HOLD
2018-03-16,96074.28009033203,HOLD
2018-03-19,94931.94931030273,HOLD
2018-03-20,94111.42013549805,HOLD
2018-03-21,93210.44311523438,HOLD
2018-03-22,91295.84777832031,HOLD
2018-03-23,88818.12774658203,HOLD
2018-03-26,90780.99792480469,HOLD
2018-03-27,91504.99786376953,HOLD
2018-03-28,89719.11499023438,HOLD
2018-04-02,84409.7412109375,HOLD
2018-04-03,87048.3364868164,HOLD
2018-04-04,86597.84286499023,HOLD
2018-04-05,89815.64422607422,HOLD
2018-04-06,90459.21676635742,HOLD
2018-04-09,90523.58322143555,HOLD
2018-04-10,93081.69998168945,HOLD
2018-04-11,91714.15817260742,HOLD
2018-04-12,92422.0767211914,HOLD
2018-04-13,92904.7331237793,HOLD
2018-04-16,92695.58303833008,HOLD
2018-04-17,94030.97229003906,HOLD
2018-04-18,93483.93920898438,HOLD
