Date,Cash,Shares,Price,Portfolio_Value,Signal,Action
2018-01-01,100000.0,0,415.24,100000.0,0.0,HOLD
2018-01-02,100000.0,0,413.7,100000.0,0.0,HOLD
2018-01-03,100000.0,0,410.32,100000.0,0.0,HOLD
2018-01-04,100000.0,0,407.95,100000.0,0.0,HOLD
2018-01-05,100000.0,0,406.59,100000.0,0.0,HOLD
2018-01-08,100000.0,0,416.25,100000.0,0.0,HOLD
2018-01-09,100000.0,0,418.38,100000.0,0.0,HOLD
2018-01-10,100000.0,0,422.76,100000.0,0.0,HOLD
2018-01-11,100000.0,0,432.22,100000.0,0.0,HOLD
2018-01-12,100000.0,0,433.28,100000.0,0.0,HOLD
2018-01-15,100000.0,0,434.37,100000.0,0.0,HOLD
2018-01-16,100000.0,0,451.12,100000.0,0.0,HOLD
2018-01-17,100000.0,0,462.87,100000.0,0.0,HOLD
2018-01-18,100000.0,0,463.11,100000.0,0.0,HOLD
2018-01-19,100000.0,0,459.4,100000.0,0.0,HOLD
2018-01-22,100000.0,0,462.03,100000.0,0.0,HOLD
2018-01-23,100000.0,0,472.92,100000.0,0.0,HOLD
2018-01-24,100000.0,0,476.41,100000.0,0.0,HOLD
2018-01-25,100000.0,0,472.23,100000.0,0.0,HOLD
2018-01-29,100000.0,0,475.25,100000.0,0.0,HOLD
2018-01-30,100000.0,0,470.33,100000.0,0.0,HOLD
2018-01-31,100000.0,0,462.13,100000.0,0.0,HOLD
2018-02-01,100000.0,0,459.86,100000.0,0.0,HOLD
2018-02-02,100000.0,0,459.32,100000.0,0.0,HOLD
2018-02-05,100000.0,0,457.29,100000.0,0.0,HOLD
2018-02-06,100000.0,0,445.06,100000.0,0.0,HOLD
2018-02-07,100000.0,0,445.58,100000.0,0.0,HOLD
2018-02-08,100000.0,0,455.7,100000.0,0.0,HOLD
2018-02-09,100000.0,0,445.62,100000.0,0.0,HOLD
2018-02-12,100000.0,0,443.07,100000.0,0.0,HOLD
2018-02-14,100000.0,0,441.04,100000.0,0.0,HOLD
2018-02-15,100000.0,0,447.75,100000.0,0.0,HOLD
2018-02-16,100000.0,0,453.21,100000.0,0.0,HOLD
2018-02-19,100000.0,0,454.7,100000.0,0.0,HOLD
2018-02-20,100000.0,0,456.79,100000.0,0.0,HOLD
2018-02-21,100000.0,0,460.99,100000.0,0.0,HOLD
2018-02-22,100000.0,0,466.35,100000.0,0.0,HOLD
2018-02-23,100000.0,0,464.3,100000.0,0.0,HOLD
2018-02-26,100000.0,0,457.45,100000.0,0.0,HOLD
2018-02-27,100000.0,0,462.11,100000.0,0.0,HOLD
2018-02-28,100000.0,0,471.11,100000.0,0.0,HOLD
2018-03-01,100000.0,0,466.35,100000.0,0.0,HOLD
2018-03-05,100000.0,0,464.4,100000.0,0.0,HOLD
2018-03-06,100000.0,0,462.57,100000.0,0.0,HOLD
2018-03-07,100000.0,0,459.66,100000.0,0.0,HOLD
2018-03-08,100000.0,0,464.7,100000.0,0.0,HOLD
2018-03-09,100000.0,0,467.41,100000.0,0.0,HOLD
2018-03-12,100000.0,0,476.39,100000.0,0.0,HOLD
2018-03-13,100000.0,0,475.61,100000.0,0.0,HOLD
2018-03-14,100000.0,0,474.4,100000.0,0.0,HOLD
2018-03-15,100000.0,0,475.09,100000.0,0.0,HOLD
2018-03-16,100000.0,0,470.83,100000.0,0.0,HOLD
2018-03-19,100000.0,0,460.72,100000.0,0.0,HOLD
2018-03-20,100000.0,0,467.88,100000.0,0.0,HOLD
2018-03-21,100000.0,0,469.06,100000.0,0.0,HOLD
2018-03-22,100000.0,0,466.57,100000.0,0.0,HOLD
