Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-04-24,BUY,464.06962637329104,204,94764.87398393152,5235.126016068476,94.67020378015138,47.3114461669922
2018-10-12,SELL,558.5263222351075,204,113825.43036622596,119060.55638229444,113.93936973596193,56.99818395996094
2019-01-15,BUY,604.9721957702636,186,112637.35324168229,6423.203140612153,112.52482841326903,56.23429705810547
2019-03-11,SELL,594.8518393554688,186,110531.79967799707,116955.00281860922,110.6424421201172,55.3488955078125
2019-04-02,BUY,635.7574171142578,174,110732.41236845874,6222.590450150485,110.62179057788087,55.283253662109374
2019-07-08,SELL,608.640656829834,174,105797.57081410273,112020.16126425321,105.90347428839112,52.978226257324216
2019-07-16,BUY,666.3455795288086,159,106054.89609222562,5965.26517202759,105.94894714508057,52.94799957275391
2019-08-14,SELL,657.1554497985841,159,104383.22880145689,110348.49397348448,104.48771651797487,52.26999325561523
2019-09-06,BUY,713.2958617858886,146,104245.33701656047,6103.156956924009,104.14119582073974,52.0445756225586
2019-09-24,SELL,673.4825482788086,146,98230.12359665736,104333.28055358137,98.32845204870607,49.18882043457031
2019-12-18,BUY,629.685046508789,157,98959.41285418173,5373.867699399634,98.86055230187988,49.40557336425781
2020-03-02,SELL,636.4417517700196,157,99821.43367286517,105195.3013722648,99.92135502789307,49.985670349121094
2020-05-04,BUY,579.1778108825683,172,99718.20205527355,5477.099316991254,99.61858347180176,49.78439953613282
2020-08-26,SELL,827.6983705444336,172,142221.75561390893,147698.85493090018,142.36411973364258,71.21766870117187
2020-09-15,BUY,856.1063670959472,163,139684.88317447604,8013.971756424144,139.54533783663942,69.73780001831055
2021-05-17,SELL,1169.7125806274414,163,190472.4874916307,198486.45924805483,190.66315064227297,95.37926495361329
2021-05-27,BUY,1235.0464138183593,152,187914.781955291,10571.677292763838,187.7270549003906,93.81661914062501
2022-01-24,SELL,1558.3558082885743,152,236633.21277700344,247204.89006976728,236.8700828598633,118.49428857421876
2022-03-09,BUY,1628.6685415649413,144,234762.79825533685,12442.09181443043,234.52826998535153,117.2055322265625
2022-04-12,SELL,1563.4254157714845,144,224908.12661122266,237350.2184256531,225.13325987109377,112.62294140625
2022-07-22,BUY,1367.2179353027343,164,224447.96513103807,12902.253294615017,224.22374138964844,112.0558427734375
2022-08-30,SELL,1353.7461281738283,164,221792.35065548733,234694.60395010235,222.01436502050782,111.0627138671875
2022-10-18,BUY,1364.8581134033202,163,222694.3443572259,12000.25959287645,222.4718724847412,111.18034606933594
2022-12-13,SELL,1441.140885498047,163,234671.0583718455,246671.31796472194,234.90596433618168,117.51173803710938
2023-02-10,BUY,1475.9827397460936,158,233438.47815276263,13232.839811959304,233.20527287988278,116.5443642578125
2023-02-28,SELL,1363.5906907348633,158,215231.8818069723,228464.7216189316,215.4473291361084,107.77755334472657
2023-05-23,BUY,1192.907557067871,181,216132.1840971139,12332.537521817692,215.91626782928466,107.90418182373047
2023-06-26,SELL,1180.1419336547851,181,213392.0843015246,225724.62182334228,213.60568999151613,106.85627313232422
2023-07-03,BUY,1240.233087890625,172,213533.4112083047,12191.210615037591,213.32009111718753,106.6067421875
2023-10-26,SELL,1279.261660522461,172,219812.97260425342,232004.183219291,220.0330056098633,110.07153857421875
2023-11-17,BUY,1354.1083564453124,162,219584.9192978847,12419.263921406295,219.3655537441406,109.627962890625
2024-03-05,SELL,1511.739113647461,162,244656.83467447778,257076.09859588408,244.90173641088867,122.51212426757813
2024-05-17,BUY,1360.4665144042967,179,243767.02958444745,13309.06901143663,243.5235060783691,121.70090258789062
2024-10-22,SELL,1777.2428920288087,179,317808.3511954836,331117.42020692024,318.1264776731568,159.1428102416992
2025-05-13,BUY,1524.2743295288085,206,314314.51239481743,16802.907812102814,314.0005118829346,156.9217950439453
2025-07-15,SELL,1560.9114146118166,206,321226.20365862414,338029.11147072696,321.5477514100342,160.85430285644532
2025-10-24,BUY,1503.1512244262694,213,320491.3820135981,17537.72945712885,320.1712108027954,160.00560260009766
2026-02-05,SELL,1519.439851196289,213,323317.0476165048,340854.7770736336,323.64068830480954,161.9012947998047
