Date,Portfolio_Value,Action
2018-01-01,100000.0,BUY
2018-01-02,99628.77197265625,HOLD
2018-01-03,98818.79394531251,HOLD
2018-01-04,98249.89990234375,HOLD
2018-01-05,97922.06787109375,HOLD
2018-01-08,100241.06201171875,HOLD
2018-01-09,100752.0947265625,HOLD
2018-01-10,101803.11279296875,HOLD
2018-01-11,104073.89892578125,HOLD
2018-01-12,104329.404296875,HOLD
2018-01-15,104589.7509765625,HOLD
2018-01-16,108610.62988281251,HOLD
2018-01-17,111431.00341796875,HOLD
2018-01-18,111488.86474609375,HOLD
2018-01-19,110596.95068359375,HOLD
2018-01-22,111228.54003906251,HOLD
2018-01-23,113841.57958984375,HOLD
2018-01-24,114680.517578125,HOLD
2018-01-25,113677.67822265625,HOLD
2018-01-29,114400.85693359375,HOLD
2018-01-30,113219.68017578125,HOLD
2018-01-31,111252.62207031251,HOLD
2018-02-01,110707.83935546875,HOLD
2018-02-02,110577.65869140625,HOLD
2018-02-05,110090.72265625,HOLD
2018-02-06,107154.61181640625,HOLD
2018-02-07,107280.00244140625,HOLD
2018-02-08,109709.85595703125,HOLD
2018-02-09,107289.62646484375,HOLD
2018-02-12,106677.32177734375,HOLD
2018-02-14,106190.3857421875,HOLD
2018-02-15,107800.63720703125,HOLD
2018-02-16,109112.03125,HOLD
2018-02-19,109468.80859375,HOLD
2018-02-20,109970.18798828125,HOLD
2018-02-21,110977.82470703125,HOLD
2018-02-22,112265.05615234375,HOLD
2018-02-23,111773.29345703125,HOLD
2018-02-26,110129.29931640625,HOLD
2018-02-27,111247.81738281251,HOLD
2018-02-28,113407.66357421875,HOLD
2018-03-01,112265.05615234375,HOLD
2018-03-05,111797.412109375,HOLD
2018-03-06,111358.67675781251,HOLD
2018-03-07,110659.609375,HOLD
2018-03-08,111869.73876953125,HOLD
2018-03-09,112520.59814453125,HOLD
2018-03-12,114675.69091796875,HOLD
2018-03-13,114487.6416015625,HOLD
2018-03-14,114198.37158203125,HOLD
2018-03-15,114362.30224609375,HOLD
2018-03-16,113340.20751953125,HOLD
2018-03-19,110915.1513671875,HOLD
2018-03-20,112631.5234375,HOLD
2018-03-21,112915.94482421875,HOLD
2018-03-22,112318.09814453125,HOLD
2018-03-23,112925.59814453125,HOLD
2018-03-26,111734.73144531251,HOLD
2018-03-27,111614.21142578125,HOLD
2018-03-28,109473.62060546875,HOLD
2018-04-02,109989.47265625,HOLD
2018-04-03,110307.68066406251,HOLD
2018-04-04,108740.77392578125,HOLD
2018-04-05,110992.3046875,HOLD
2018-04-06,109010.7666015625,HOLD
2018-04-09,107492.1044921875,HOLD
2018-04-10,107699.41650390625,HOLD
2018-04-11,108745.615234375,HOLD
2018-04-12,112443.45947265625,HOLD
2018-04-13,113296.78955078125,HOLD
2018-04-16,109608.57666015625,HOLD
2018-04-17,108837.21191406251,HOLD
2018-04-18,108909.53125,HOLD
2018-04-19,109574.86328125,HOLD
2018-04-20,113971.767578125,HOLD
2018-04-23,114863.67431640625,HOLD
2018-04-24,111662.42675781251,HOLD
2018-04-25,112226.50146484375,HOLD
2018-04-26,113778.90625,HOLD
2018-04-27,114622.61962890625,HOLD
2018-04-30,116001.4697265625,HOLD
2018-05-02,115765.24902343751,HOLD
2018-05-03,114367.12890625,HOLD
2018-05-04,113455.908203125,HOLD
2018-05-07,114410.49560546875,HOLD
2018-05-08,112727.91015625,HOLD
2018-05-09,113224.47753906251,HOLD
2018-05-10,112964.15283203125,HOLD
2018-05-11,114193.56689453125,HOLD
2018-05-14,115017.98828125,HOLD
2018-05-15,115524.17236328125,HOLD
2018-05-16,115080.63964843751,HOLD
2018-05-17,114400.85693359375,HOLD
2018-05-18,114429.75830078125,HOLD
2018-05-21,114073.0029296875,HOLD
2018-05-22,115456.68701171875,HOLD
2018-05-23,114593.7109375,HOLD
2018-05-24,118074.58984375,HOLD
2018-05-25,118778.49853515625,HOLD
2018-05-28,117438.173828125,HOLD
2018-05-29,117659.98779296875,HOLD
2018-05-30,117177.87109375,HOLD
2018-05-31,119115.9765625,HOLD
2018-06-01,118055.31982421875,HOLD
2018-06-04,119848.779296875,HOLD
2018-06-05,118060.12451171875,HOLD
2018-06-06,119660.7666015625,HOLD
2018-06-07,121107.11669921875,HOLD
2018-06-08,121839.96337890625,HOLD
2018-06-11,122066.50878906251,HOLD
2018-06-12,121690.48339843751,HOLD
2018-06-13,123262.2021484375,HOLD
2018-06-14,122807.74902343751,HOLD
2018-06-15,126912.34375,HOLD
2018-06-18,125544.1650390625,HOLD
2018-06-19,122995.46142578125,HOLD
2018-06-20,123148.58154296875,HOLD
2018-06-21,123484.4482421875,HOLD
2018-06-22,123612.87109375,HOLD
2018-06-25,126043.0322265625,HOLD
2018-06-26,126576.4697265625,HOLD
2018-06-27,125801.025390625,HOLD
2018-06-28,127737.2265625,HOLD
2018-06-29,129475.908203125,HOLD
2018-07-02,132192.548828125,HOLD
2018-07-03,134074.4482421875,HOLD
2018-07-04,133229.7900390625,HOLD
2018-07-05,127184.0576171875,HOLD
2018-07-06,127208.740234375,HOLD
2018-07-09,128651.025390625,HOLD
2018-07-10,128902.9345703125,HOLD
2018-07-11,130784.8193359375,HOLD
2018-07-12,128206.4306640625,HOLD
2018-07-13,130483.515625,HOLD
2018-07-16,132009.7802734375,HOLD
2018-07-17,131520.8154296875,HOLD
2018-07-18,130992.2998046875,HOLD
2018-07-19,130414.3896484375,HOLD
2018-07-20,133516.3134765625,HOLD
2018-07-23,134291.7431640625,HOLD
2018-07-24,136386.07421875,HOLD
2018-07-25,137038.0615234375,HOLD
2018-07-26,136000.7763671875,HOLD
2018-07-27,136020.5224609375,HOLD
2018-07-30,133802.7783203125,HOLD
2018-07-31,135195.6689453125,HOLD
2018-08-01,134104.0966796875,HOLD
2018-08-02,134064.5166015625,HOLD
2018-08-03,135096.8505859375,HOLD
2018-08-06,134756.0693359375,HOLD
2018-08-07,135477.2119140625,HOLD
2018-08-08,134963.5205078125,HOLD
2018-08-09,136662.666015625,HOLD
2018-08-10,137205.9765625,HOLD
2018-08-13,139507.7294921875,HOLD
2018-08-14,139463.271484375,HOLD
2018-08-16,141562.5244140625,HOLD
2018-08-17,141641.5087890625,HOLD
2018-08-20,137087.4560546875,HOLD
2018-08-21,137057.8076171875,HOLD
2018-08-23,138386.4794921875,HOLD
2018-08-24,136499.658203125,HOLD
2018-08-27,140164.6826171875,HOLD
2018-08-28,141083.388671875,HOLD
2018-08-29,139641.0888671875,HOLD
2018-08-30,140243.6669921875,HOLD
2018-08-31,142703.4619140625,HOLD
2018-09-03,142026.77734375,HOLD
2018-09-04,145983.232421875,HOLD
2018-09-05,144550.8203125,HOLD
2018-09-06,144007.4951171875,HOLD
2018-09-07,145123.7939453125,HOLD
2018-09-10,144738.49609375,HOLD
2018-09-11,145420.1318359375,HOLD
2018-09-12,147119.248046875,HOLD
2018-09-14,145301.5966796875,HOLD
2018-09-17,143770.380859375,HOLD
2018-09-18,142417.01171875,HOLD
2018-09-19,142545.44921875,HOLD
2018-09-21,139690.4833984375,HOLD
2018-09-24,142249.08203125,HOLD
2018-09-25,143819.7607421875,HOLD
2018-09-26,142170.0244140625,HOLD
2018-09-27,143543.154296875,HOLD
2018-09-28,144580.4248046875,HOLD
2018-10-01,147860.1953125,HOLD
2018-10-03,144274.19921875,HOLD
2018-10-04,140065.87890625,HOLD
2018-10-05,143503.662109375,HOLD
2018-10-08,141498.26171875,HOLD
2018-10-09,142150.2490234375,HOLD
2018-10-10,138732.2412109375,HOLD
2018-10-11,133378.0029296875,HOLD
2018-10-12,134454.7509765625,HOLD
2018-10-15,138406.2255859375,HOLD
2018-10-16,137704.84375,HOLD
2018-10-17,139700.341796875,HOLD
2018-10-19,135393.232421875,HOLD
2018-10-22,134681.9775390625,HOLD
2018-10-23,130266.162109375,HOLD
2018-10-24,128725.087890625,HOLD
2018-10-25,129913.4716796875,HOLD
2018-10-26,126887.6318359375,HOLD
2018-10-29,129114.5751953125,HOLD
2018-10-30,132080.48828125,HOLD
2018-10-31,137433.173828125,HOLD
2018-11-01,133498.5595703125,HOLD
2018-11-02,132609.765625,HOLD
2018-11-05,133358.740234375,HOLD
2018-11-06,133448.6376953125,HOLD
2018-11-07,135256.15234375,HOLD
2018-11-09,132060.5224609375,HOLD
2018-11-12,132999.2236328125,HOLD
2018-11-13,133298.8134765625,HOLD
2018-11-14,130802.2509765625,HOLD
2018-11-15,131441.40625,HOLD
2018-11-16,130332.9150390625,HOLD
2018-11-19,130502.6611328125,HOLD
2018-11-20,128445.5224609375,HOLD
2018-11-21,123991.591796875,HOLD
2018-11-22,124321.15234375,HOLD
2018-11-26,124460.95703125,HOLD
2018-11-27,127946.1572265625,HOLD
2018-11-28,133438.662109375,HOLD
2018-11-29,132370.1025390625,HOLD
2018-11-30,133648.3544921875,HOLD
2018-12-03,134227.5390625,HOLD
2018-12-04,137203.486328125,HOLD
2018-12-05,136434.53125,HOLD
2018-12-06,133858.0615234375,HOLD
2018-12-07,136714.140625,HOLD
2018-12-10,133997.8515625,HOLD
2018-12-11,135056.435546875,HOLD
2018-12-12,135855.33203125,HOLD
2018-12-13,139700.0341796875,HOLD
2018-12-14,141357.7392578125,HOLD
2018-12-17,139030.99609375,HOLD
2018-12-18,135475.8203125,HOLD
2018-12-19,133129.052734375,HOLD
2018-12-20,133568.4619140625,HOLD
2018-12-21,129404.189453125,HOLD
2018-12-24,129963.408203125,HOLD
2018-12-26,128974.7705078125,HOLD
2018-12-27,131521.2841796875,HOLD
2018-12-28,131551.2255859375,HOLD
2018-12-31,131950.6884765625,HOLD
2019-01-01,133168.9990234375,HOLD
2019-01-02,133967.8955078125,HOLD
2019-01-03,133987.8759765625,HOLD
2019-01-04,132370.1025390625,HOLD
2019-01-07,134497.2021484375,HOLD
2019-01-08,134167.65625,HOLD
2019-01-09,135375.947265625,HOLD
2019-01-10,136094.9951171875,HOLD
2019-01-11,136853.9453125,HOLD
2019-01-14,140528.9013671875,HOLD
2019-01-15,145462.1435546875,HOLD
2019-01-16,147499.31640625,HOLD
2019-01-17,146810.25390625,HOLD
2019-01-18,146330.9423828125,HOLD
2019-01-21,149137.0849609375,HOLD
2019-01-22,149206.9873046875,HOLD
2019-01-23,146470.732421875,HOLD
2019-01-24,147344.3359375,HOLD
2019-01-25,147012.958984375,HOLD
2019-01-28,146531.0107421875,HOLD
2019-01-29,146520.9619140625,HOLD
2019-01-30,146119.3017578125,HOLD
2019-01-31,150868.7646484375,HOLD
2019-02-01,152374.9755859375,HOLD
2019-02-04,152143.9990234375,HOLD
2019-02-05,151933.1494140625,HOLD
2019-02-06,153630.09765625,HOLD
2019-02-07,153770.6787109375,HOLD
2019-02-08,153148.1494140625,HOLD
2019-02-11,153529.7119140625,HOLD
2019-02-12,151049.5263671875,HOLD
2019-02-14,148960.9521484375,HOLD
2019-02-15,149342.5,HOLD
2019-02-18,149161.767578125,HOLD
2019-02-19,145798.0029296875,HOLD
2019-02-20,149091.5283203125,HOLD
2019-02-21,147635.546875,HOLD
2019-02-22,147936.748046875,HOLD
2019-02-25,151943.1689453125,HOLD
2019-02-26,149452.978515625,HOLD
2019-02-27,147996.9970703125,HOLD
2019-02-28,147806.23046875,HOLD
2019-03-01,149332.509765625,HOLD
2019-03-05,147444.765625,HOLD
2019-03-06,147444.765625,HOLD
2019-03-07,145526.875,HOLD
2019-03-08,143398.134765625,HOLD
2019-03-11,143177.236328125,HOLD
2019-03-12,142313.6962890625,HOLD
2019-03-13,142614.94140625,HOLD
2019-03-14,142594.814453125,HOLD
2019-03-15,144643.251953125,HOLD
2019-03-18,142966.3720703125,HOLD
2019-03-19,145386.30859375,HOLD
2019-03-20,148740.0390625,HOLD
2019-03-22,149573.4326171875,HOLD
2019-03-25,147996.9970703125,HOLD
2019-03-26,146490.8154296875,HOLD
2019-03-27,146882.4267578125,HOLD
2019-03-28,148509.0771484375,HOLD
2019-04-01,151983.349609375,HOLD
2019-04-02,152846.904296875,HOLD
2019-04-03,151621.85546875,HOLD
2019-04-04,150537.4462890625,HOLD
2019-04-05,152826.7919921875,HOLD
2019-04-08,154423.3544921875,HOLD
2019-04-09,153087.900390625,HOLD
2019-04-10,151501.38671875,HOLD
2019-04-11,149493.14453125,HOLD
2019-04-12,150507.2998046875,HOLD
2019-04-15,146440.6298828125,HOLD
2019-04-16,145757.8076171875,HOLD
2019-04-18,144342.021484375,HOLD
2019-04-22,145145.2978515625,HOLD
2019-04-23,146581.2109375,HOLD
2019-04-24,148238.0078125,HOLD
2019-04-25,146651.4794921875,HOLD
2019-04-26,148549.2724609375,HOLD
2019-04-30,151230.2294921875,HOLD
2019-05-02,147103.3251953125,HOLD
2019-05-03,145657.4365234375,HOLD
2019-05-06,144613.134765625,HOLD
2019-05-07,145848.203125,HOLD
2019-05-08,144803.9013671875,HOLD
2019-05-09,145145.2978515625,HOLD
2019-05-10,144301.826171875,HOLD
2019-05-13,144874.19921875,HOLD
2019-05-14,143699.3798828125,HOLD
2019-05-15,144151.2255859375,HOLD
2019-05-16,147565.234375,HOLD
2019-05-17,145717.6708984375,HOLD
2019-05-20,145416.4404296875,HOLD
2019-05-21,142785.625,HOLD
2019-05-22,142875.9912109375,HOLD
2019-05-23,141128.828125,HOLD
2019-05-24,142765.5419921875,HOLD
2019-05-27,142544.6142578125,HOLD
2019-05-28,146561.0986328125,HOLD
2019-05-29,146500.8642578125,HOLD
2019-05-30,147655.615234375,HOLD
2019-05-31,148499.0576171875,HOLD
2019-06-03,149884.755859375,HOLD
2019-06-04,148007.0458984375,HOLD
2019-06-06,148067.2802734375,HOLD
2019-06-07,148770.1708984375,HOLD
2019-06-10,151662.0361328125,HOLD
2019-06-11,151943.1689453125,HOLD
2019-06-12,151722.28515625,HOLD
2019-06-13,151589.892578125,HOLD
2019-06-14,151141.826171875,HOLD
2019-06-17,151162.216796875,HOLD
2019-06-18,153117.3583984375,HOLD
2019-06-19,153473.7548828125,HOLD
2019-06-20,154084.7412109375,HOLD
2019-06-21,153127.5537109375,HOLD
2019-06-24,152170.3369140625,HOLD
2019-06-25,152699.86328125,HOLD
2019-06-26,150887.2802734375,HOLD
2019-06-27,149125.5859375,HOLD
2019-06-28,149420.9423828125,HOLD
2019-07-01,149278.3544921875,HOLD
2019-07-02,151050.21484375,HOLD
2019-07-03,149278.3544921875,HOLD
2019-07-04,149787.51953125,HOLD
2019-07-05,146569.66796875,HOLD
2019-07-08,146488.2080078125,HOLD
2019-07-09,146060.546875,HOLD
2019-07-10,146416.9140625,HOLD
2019-07-11,147282.4755859375,HOLD
2019-07-12,148351.73828125,HOLD
2019-07-15,159064.2578125,HOLD
2019-07-16,160184.39453125,HOLD
2019-07-17,162078.4375,HOLD
2019-07-18,161783.125,HOLD
2019-07-19,160296.3818359375,HOLD
2019-07-22,160092.724609375,HOLD
2019-07-23,161243.4326171875,HOLD
2019-07-24,160479.6923828125,HOLD
2019-07-25,162149.7021484375,HOLD
2019-07-26,160622.265625,HOLD
2019-07-29,161528.5498046875,HOLD
2019-07-30,161783.125,HOLD
2019-07-31,161976.6162109375,HOLD
2019-08-01,156925.8203125,HOLD
2019-08-02,158300.5322265625,HOLD
2019-08-05,158524.55078125,HOLD
2019-08-06,158066.3037109375,HOLD
2019-08-07,158402.3388671875,HOLD
2019-08-08,160978.6474609375,HOLD
2019-08-09,161202.666015625,HOLD
2019-08-13,156090.8154296875,HOLD
2019-08-14,158137.5830078125,HOLD
2019-08-16,158086.6943359375,HOLD
2019-08-19,158718.02734375,HOLD
2019-08-20,161793.3056640625,HOLD
2019-08-21,163157.822265625,HOLD
2019-08-22,162394.0966796875,HOLD
2019-08-23,163717.8759765625,HOLD
2019-08-26,163789.19921875,HOLD
2019-08-27,160143.6572265625,HOLD
2019-08-28,163778.9892578125,HOLD
2019-08-29,164685.2734375,HOLD
2019-08-30,166304.3798828125,HOLD
2019-09-03,166172.0166015625,HOLD
2019-09-04,167607.8125,HOLD
2019-09-05,170204.453125,HOLD
2019-09-06,171446.8310546875,HOLD
2019-09-09,169196.34765625,HOLD
2019-09-11,167363.41796875,HOLD
2019-09-12,166609.8876953125,HOLD
2019-09-13,169237.0849609375,HOLD
2019-09-16,168911.23046875,HOLD
2019-09-17,169634.2333984375,HOLD
2019-09-18,169349.1015625,HOLD
2019-09-19,167485.6005859375,HOLD
2019-09-20,164288.1103515625,HOLD
2019-09-23,156009.35546875,HOLD
2019-09-24,162058.046875,HOLD
2019-09-25,161772.9296875,HOLD
2019-09-26,159715.9521484375,HOLD
2019-09-27,159644.6875,HOLD
2019-09-30,164420.546875,HOLD
2019-10-01,161956.2255859375,HOLD
2019-10-03,160337.1484375,HOLD
2019-10-04,161935.8349609375,HOLD
2019-10-07,161141.5966796875,HOLD
2019-10-09,159939.9853515625,HOLD
2019-10-10,159817.7587890625,HOLD
2019-10-11,166284.00390625,HOLD
2019-10-14,160438.984375,HOLD
2019-10-15,156813.8037109375,HOLD
2019-10-16,157455.3173828125,HOLD
2019-10-17,157058.212890625,HOLD
2019-10-18,156722.1630859375,HOLD
2019-10-22,131407.12890625,HOLD
2019-10-23,134510.8251953125,HOLD
2019-10-24,131365.8935546875,HOLD
2019-10-25,131798.974609375,HOLD
2019-10-27,134149.931640625,HOLD
2019-10-29,134521.123046875,HOLD
2019-10-30,136573.046875,HOLD
2019-10-31,141728.6669921875,HOLD
2019-11-01,142202.9541015625,HOLD
2019-11-04,146554.31640625,HOLD
2019-11-05,143893.984375,HOLD
2019-11-06,147234.853515625,HOLD
2019-11-07,148843.4130859375,HOLD
2019-11-08,146379.00390625,HOLD
2019-11-11,145605.6982421875,HOLD
2019-11-13,142914.4580078125,HOLD
2019-11-14,145791.279296875,HOLD
2019-11-15,145502.5732421875,HOLD
2019-11-18,145770.6396484375,HOLD
2019-11-19,147348.2763671875,HOLD
2019-11-20,147379.1845703125,HOLD
2019-11-21,147430.76171875,HOLD
2019-11-22,143295.9765625,HOLD
2019-11-25,144306.4404296875,HOLD
2019-11-26,142759.78515625,HOLD
2019-11-27,143821.8115234375,HOLD
2019-11-28,145079.7900390625,HOLD
2019-11-29,143945.5615234375,HOLD
2019-12-02,143192.8662109375,HOLD
