Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-10-24,BUY,234.431427154541,405,95039.67272558669,4960.327274413314,94.94472799758911,47.44863967895508
2018-11-01,SELL,220.75727244567867,405,89317.28864515937,94277.61591957268,89.40669534049987,44.72571052551268
2019-02-19,BUY,255.01460483551023,351,89599.63642356134,4677.979496011336,89.51012629726408,44.732696800231935
2020-03-31,SELL,258.00252600097656,351,90468.32773971643,95146.30723572777,90.55888662634278,45.30209436035156
2020-11-06,BUY,342.3515406646728,264,90471.1875422091,4675.1196935186745,90.38080673547363,45.16781945800781
2021-07-12,SELL,344.77643911743166,264,90929.95894707495,95605.07864059362,91.02097992700196,45.53325659179688
2021-10-07,BUY,389.2530009155273,233,90786.64516253116,4818.433478062463,90.69594921331786,45.32531195068359
2022-02-18,SELL,363.7888702850342,233,84678.04396963655,89496.47744769901,84.76280677641297,42.40260469055176
2022-09-13,BUY,383.6922995910645,221,84880.79420783487,4615.683239864142,84.79599820962525,42.3768106994629
2023-02-07,SELL,353.8143068389893,221,78114.76884960521,82730.45208946936,78.19296181141664,39.1160389251709
2023-05-29,BUY,389.63701240539547,201,78395.35653297797,4335.095556491389,78.3170394934845,39.13895027160645
2023-09-18,SELL,358.68305654907226,201,72023.19907199717,76358.29462848855,72.09529436636352,36.06568002319336
2024-07-31,BUY,361.34415600585936,200,72341.10003237303,4017.194596115529,72.26883120117186,36.116357421875
2024-12-27,SELL,351.39888917541504,200,70209.49805724793,74226.69265336345,70.27977783508301,35.15746765136719
2025-01-23,BUY,378.72283612060545,186,70512.88996595104,3713.802687412419,70.44244751843262,35.20362194824219
2025-09-29,SELL,398.1208473205567,186,73976.42712402194,77690.22981143436,74.05047760162356,37.04376068115235
2025-10-28,BUY,432.3760836639404,170,73577.43815709272,4112.791654341636,73.50393422286987,36.7336003112793
2026-03-16,SELL,369.6650811004639,170,62780.220723291786,66893.01237763342,62.84306378707886,31.43725051879883
