Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-09-25,BUY,235.67615931701658,403,95072.46969696243,4927.530303037565,94.97749220475768,47.465013595581055
2019-03-18,SELL,267.3340700531006,403,107627.89460116815,112555.42490420572,107.73563023139955,53.894762496948246
2020-03-13,BUY,292.93319760131834,365,107027.53774160567,5527.887162600047,106.9206171244812,53.433591766357424
2020-10-28,SELL,308.82463641357424,365,112608.27129866365,118136.1584612637,112.7209922909546,56.38869049072266
2021-01-29,BUY,341.3353162536621,328,112069.94171493236,6066.216746331338,111.95798373120117,55.95101635742188
2021-09-15,SELL,372.78125904846195,328,122149.98071492762,128216.19746125895,122.27225296789553,61.16670983886719
2021-12-21,BUY,346.20982260131836,351,121641.1673807958,6575.030080463155,121.51964773306275,60.729459136962895
2023-04-12,SELL,367.49539012146,351,128861.89105069982,135436.92113116296,128.99088193263248,64.52770481872558
2023-08-21,BUY,351.4551807861328,366,128761.22876389232,6675.692367270647,128.6325961677246,64.28415600585937
2023-12-06,SELL,363.28036611938484,366,132827.65338569516,139503.3457529658,132.96061399969486,66.5135637817383
2024-04-29,BUY,327.50705548095704,404,132445.16326472093,7058.182488244871,132.31285041430667,66.12336352539063
2024-09-23,SELL,386.3011375732422,404,155909.59392001026,162967.77640825513,156.06565957958986,78.07186572265626
2025-07-29,BUY,394.7372785491943,392,154891.75020447542,8076.026203779707,154.73701319128415,77.32984167480468
2025-10-07,SELL,425.1673148803711,392,166498.92184567236,174574.94804945207,166.6655874331055,83.37448095703125
2026-03-10,BUY,392.04593110656737,423,166001.26428693606,8573.683762516011,165.835428858078,82.87627629089356
