Date,Portfolio_Value,Action
2018-01-01,100000.0,BUY
2018-01-02,100324.58877563477,HOLD
2018-01-03,100014.98278808595,HOLD
2018-01-04,100044.95602416994,HOLD
2018-01-05,100309.61364746095,HOLD
2018-01-08,100614.2483520508,HOLD
2018-01-09,100978.79122924805,HOLD
2018-01-10,100229.72076416017,HOLD
2018-01-11,101767.83111572267,HOLD
2018-01-12,102337.13110351564,HOLD
2018-01-15,103835.29501342775,HOLD
2018-01-16,103325.91851806642,HOLD
2018-01-17,102711.67016601564,HOLD
2018-01-18,104649.2908935547,HOLD
2018-01-19,106052.56381225587,HOLD
2018-01-22,107405.91708374025,HOLD
2018-01-23,107540.74685668947,HOLD
2018-01-24,108005.18264770509,HOLD
2018-01-25,109228.6774291992,HOLD
2018-01-29,111500.8831176758,HOLD
2018-01-30,108799.2014770508,HOLD
2018-01-31,110886.64242553712,HOLD
2018-02-01,112085.17355346684,HOLD
2018-02-02,108589.465423584,HOLD
2018-02-05,106222.36108398436,HOLD
2018-02-06,103380.84774780275,HOLD
2018-02-07,103630.54556274417,HOLD
2018-02-08,105173.65783691405,HOLD
2018-02-09,103201.06195068361,HOLD
2018-02-12,104294.72122192384,HOLD
2018-02-14,104244.78625488284,HOLD
2018-02-15,104214.81301879884,HOLD
2018-02-16,105018.83569335936,HOLD
2018-02-19,105618.10891723634,HOLD
2018-02-20,104579.37887573244,HOLD
2018-02-21,105503.24853515628,HOLD
2018-02-22,107246.10067749025,HOLD
2018-02-23,108080.08892822267,HOLD
2018-02-26,110507.09378051759,HOLD
2018-02-27,109298.58178710936,HOLD
2018-02-28,109048.8992919922,HOLD
2018-03-01,109563.2623901367,HOLD
2018-03-05,109992.74600219727,HOLD
2018-03-06,108239.88235473634,HOLD
2018-03-07,108504.56295776369,HOLD
2018-03-08,108224.9072265625,HOLD
2018-03-09,108239.88235473634,HOLD
2018-03-12,110052.66183471684,HOLD
2018-03-13,108384.7083129883,HOLD
2018-03-14,108169.9856567383,HOLD
2018-03-15,108559.49984741212,HOLD
2018-03-16,106072.5485229492,HOLD
2018-03-19,104898.98870849611,HOLD
2018-03-20,104529.43624877934,HOLD
2018-03-21,105108.732421875,HOLD
2018-03-22,105303.49334716798,HOLD
2018-03-23,103880.23571777345,HOLD
2018-03-26,103935.16494750977,HOLD
2018-03-27,104983.8758544922,HOLD
2018-03-28,104779.14172363284,HOLD
2018-04-02,109648.17251586917,HOLD
2018-04-03,110322.33670043947,HOLD
2018-04-04,107825.39685058595,HOLD
2018-04-05,111820.50061035155,HOLD
2018-04-06,111910.38201904298,HOLD
2018-04-09,111815.49868774417,HOLD
2018-04-10,111356.05715942384,HOLD
2018-04-11,112599.53665161134,HOLD
2018-04-12,113448.50003051759,HOLD
2018-04-13,115096.47650146486,HOLD
2018-04-16,117193.8983154297,HOLD
2018-04-17,116469.78384399417,HOLD
2018-04-18,115381.12649536134,HOLD
2018-04-19,115376.12457275392,HOLD
2018-04-20,115271.25271606447,HOLD
2018-04-23,116884.27700805667,HOLD
2018-04-24,116584.63656616212,HOLD
2018-04-25,116769.41662597655,HOLD
2018-04-26,118552.23818969727,HOLD
2018-04-27,118856.8499145508,HOLD
2018-04-30,121089.11682128905,HOLD
2018-05-02,125658.51483154298,HOLD
2018-05-03,123331.37991333009,HOLD
2018-05-04,123321.39138793947,HOLD
2018-05-07,124479.97607421878,HOLD
2018-05-08,124160.35092163087,HOLD
2018-05-09,125089.21484375,HOLD
2018-05-10,124724.66430664064,HOLD
2018-05-11,126702.2391357422,HOLD
2018-05-14,127131.71508789064,HOLD
2018-05-15,128355.20986938477,HOLD
2018-05-16,128110.50631713869,HOLD
2018-05-17,127041.8106994629,HOLD
2018-05-18,129408.88439941408,HOLD
2018-05-21,127636.07434082034,HOLD
2018-05-22,126242.78994750977,HOLD
2018-05-23,125508.70227050784,HOLD
2018-05-24,127516.24267578128,HOLD
2018-05-25,129553.7639770508,HOLD
2018-05-28,129683.58416748048,HOLD
2018-05-29,128395.15631103517,HOLD
2018-05-30,130292.83825683595,HOLD
2018-05-31,133423.99584960938,HOLD
2018-06-01,131766.02319335938,HOLD
2018-06-04,130362.75793457033,HOLD
2018-06-05,130437.67187500001,HOLD
2018-06-06,131536.33306884766,HOLD
2018-06-07,131011.95080566408,HOLD
2018-06-08,131800.98303222656,HOLD
2018-06-11,132300.37866210938,HOLD
2018-06-12,132894.6346435547,HOLD
2018-06-13,132530.0841064453,HOLD
2018-06-14,133229.20428466797,HOLD
2018-06-15,133963.31494140625,HOLD
2018-06-18,131496.34832763672,HOLD
2018-06-19,130292.83825683595,HOLD
2018-06-20,132425.2352294922,HOLD
