Date,Portfolio_Value,Action
2018-01-01,100000.0,BUY
2018-01-02,100153.37280273439,HOLD
2018-01-03,100553.22436523439,HOLD
2018-01-04,101155.7490234375,HOLD
2018-01-05,101478.92553710938,HOLD
2018-01-08,102059.53979492188,HOLD
2018-01-09,103417.93920898439,HOLD
2018-01-10,103571.30444335939,HOLD
2018-01-11,103067.3955078125,HOLD
2018-01-12,104299.81201171875,HOLD
2018-01-15,104316.24291992188,HOLD
2018-01-16,101446.05615234375,HOLD
2018-01-17,101615.85986328125,HOLD
2018-01-18,101090.01782226562,HOLD
2018-01-19,102360.79077148439,HOLD
2018-01-22,106764.67529296875,HOLD
2018-01-23,108051.87915039062,HOLD
2018-01-24,106200.49951171875,HOLD
2018-01-25,106151.19921875,HOLD
2018-01-29,105997.82641601562,HOLD
2018-01-30,104453.18481445312,HOLD
2018-01-31,105647.27514648439,HOLD
2018-02-01,103735.63623046875,HOLD
2018-02-02,99408.43432617188,HOLD
2018-02-05,99167.42749023439,HOLD
2018-02-06,98066.45825195312,HOLD
2018-02-07,98318.42407226562,HOLD
2018-02-08,99430.35229492188,HOLD
2018-02-09,98696.37280273439,HOLD
2018-02-12,100629.92211914062,HOLD
2018-02-14,102618.228515625,HOLD
2018-02-15,102837.32495117188,HOLD
2018-02-16,101265.30102539062,HOLD
2018-02-19,101889.73608398439,HOLD
2018-02-20,101243.38305664062,HOLD
2018-02-21,102147.173828125,HOLD
2018-02-22,101599.4365234375,HOLD
2018-02-23,102683.95971679689,HOLD
2018-02-26,103171.45288085939,HOLD
2018-02-27,104464.13623046875,HOLD
2018-02-28,104907.80859375,HOLD
2018-03-01,104234.08837890625,HOLD
2018-03-05,101572.0390625,HOLD
2018-03-06,100120.49584960938,HOLD
2018-03-07,97809.0205078125,HOLD
2018-03-08,100186.24975585939,HOLD
2018-03-09,100366.98974609375,HOLD
2018-03-12,102251.23876953125,HOLD
2018-03-13,102421.04248046875,HOLD
2018-03-14,102114.30444335939,HOLD
2018-03-15,100224.59106445312,HOLD
2018-03-16,98937.37963867188,HOLD
2018-03-19,98438.93505859375,HOLD
2018-03-20,97814.5,HOLD
2018-03-21,98592.30029296875,HOLD
2018-03-22,99824.73193359375,HOLD
2018-03-23,98263.65185546875,HOLD
2018-03-26,99052.40356445312,HOLD
2018-03-27,98909.98217773439,HOLD
2018-03-28,97036.69970703125,HOLD
2018-04-02,98159.57177734375,HOLD
2018-04-03,98882.607421875,HOLD
2018-04-04,98373.20385742188,HOLD
2018-04-05,99830.20385742188,HOLD
2018-04-06,100136.94189453125,HOLD
2018-04-09,100684.67919921875,HOLD
2018-04-10,100799.71826171875,HOLD
2018-04-11,102311.50561523439,HOLD
2018-04-12,102075.96313476562,HOLD
2018-04-13,103187.89135742188,HOLD
2018-04-16,102990.69775390625,HOLD
2018-04-17,103779.45703125,HOLD
2018-04-18,103094.77783203125,HOLD
2018-04-19,103565.84008789062,HOLD
2018-04-20,101988.32153320312,HOLD
2018-04-23,102875.673828125,HOLD
2018-04-24,106605.83056640625,HOLD
2018-04-25,106655.11572265625,HOLD
2018-04-26,107186.43725585939,HOLD
2018-04-27,109481.50439453125,HOLD
2018-04-30,105866.37915039062,HOLD
2018-05-02,106896.1376953125,HOLD
2018-05-03,105680.13696289062,HOLD
2018-05-04,104842.09252929689,HOLD
2018-05-07,106709.90307617188,HOLD
2018-05-08,106282.65405273439,HOLD
2018-05-09,107334.33056640625,HOLD
2018-05-10,107821.82373046875,HOLD
2018-05-11,108709.17602539062,HOLD
2018-05-14,108418.861328125,HOLD
2018-05-15,107580.81689453125,HOLD
2018-05-16,105083.08422851562,HOLD
2018-05-17,103899.96044921875,HOLD
2018-05-18,102640.146484375,HOLD
2018-05-21,102366.27783203125,HOLD
2018-05-22,101862.34619140625,HOLD
2018-05-23,100273.8837890625,HOLD
2018-05-24,100668.24829101562,HOLD
2018-05-25,101210.52124023439,HOLD
2018-05-28,101166.7080078125,HOLD
2018-05-29,100843.5390625,HOLD
2018-05-30,100695.63061523439,HOLD
2018-05-31,101270.77294921875,HOLD
2018-06-01,102278.64379882812,HOLD
2018-06-04,103406.98022460938,HOLD
2018-06-05,104151.92626953125,HOLD
2018-06-06,104891.38525390625,HOLD
2018-06-07,106748.23681640625,HOLD
2018-06-08,108172.38256835939,HOLD
2018-06-11,107986.1630859375,HOLD
2018-06-12,109574.60278320312,HOLD
2018-06-13,110160.7041015625,HOLD
2018-06-14,110757.74926757812,HOLD
2018-06-15,111442.43603515625,HOLD
2018-06-18,111590.32177734375,HOLD
2018-06-19,109454.11450195312,HOLD
2018-06-20,111995.64526367188,HOLD
2018-06-21,113386.92163085939,HOLD
2018-06-22,111256.19384765625,HOLD
2018-06-25,110374.3134765625,HOLD
2018-06-26,107580.81689453125,HOLD
2018-06-27,106853.0283203125,HOLD
2018-06-28,104548.1298828125,HOLD
2018-06-29,107580.86987304689,HOLD
2018-07-02,106274.02612304689,HOLD
2018-07-03,107454.05444335939,HOLD
2018-07-04,109527.33837890625,HOLD
2018-07-05,106704.1435546875,HOLD
2018-07-06,108143.32006835939,HOLD
2018-07-09,110299.31103515625,HOLD
2018-07-10,113453.37182617188,HOLD
2018-07-11,114898.06567382812,HOLD
2018-07-12,119700.81787109375,HOLD
2018-07-13,121625.23974609375,HOLD
2018-07-16,119022.60205078125,HOLD
2018-07-17,120803.6337890625,HOLD
2018-07-18,120825.69555664062,HOLD
2018-07-19,122182.15747070312,HOLD
2018-07-20,124806.8720703125,HOLD
2018-07-23,123886.00708007812,HOLD
2018-07-24,122854.87866210938,HOLD
2018-07-25,123318.06225585939,HOLD
2018-07-26,122821.78979492188,HOLD
2018-07-27,124939.20483398439,HOLD
2018-07-30,127315.77563476562,HOLD
2018-07-31,131131.51538085938,HOLD
2018-08-01,131831.80053710938,HOLD
2018-08-02,129185.03930664062,HOLD
