Date,Action,Price,Shares,Value,Cash_After,Cost_Paid,Slippage
2018-10-24,BUY,1537.7848656005858,61,93898.68167843737,6101.318321562634,93.80487680163574,46.87899890136719
2020-03-18,SELL,1426.8141901245117,61,86948.62993199762,93049.94825356026,87.03566559759521,43.53960260009766
2020-07-10,BUY,1938.2509898071287,45,87308.5158358621,5741.432417698161,87.22129454132079,43.58885284423828
2022-05-09,SELL,3059.6551981201173,45,137546.7994314899,143288.23184918804,137.68448391540528,68.87668029785156
2023-01-05,BUY,2978.929638427734,45,134185.88556297726,9102.346286210784,134.05183372924802,66.99242065429688
2023-05-19,SELL,2962.476028808594,45,133178.10987509033,142280.45616130112,133.31142129638673,66.68905517578125
2023-06-07,BUY,3013.3330620117185,44,132719.24138324414,9561.21477805698,132.58665472851564,66.260197265625
2025-02-24,SELL,3551.041462158203,44,156089.57851062596,165650.79328868294,156.24582433496093,78.16199316406251
2026-01-22,BUY,3151.9751022949217,49,154601.2267924636,11049.56649621934,154.44678001245117,77.18479760742187
2026-02-17,SELL,2716.0412023925783,49,132952.9328983191,144002.49939453843,133.08601891723634,66.57629760742188
